"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YALV_DYNAMIC","N/A","   46","   18","   28","61 %","creating dynamic alv editale columns",
"YALV_DYNAMIC","2000","    6","    2","    4","67 %","dyanmic ALV",
"[Totle]"," ","   52","   20","   32","62 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YALV_TCODE","N/A","   13","    2","   11","85 %","DISPLAY THE LIST OF TCODES USING ALV",
"[Totle]"," ","   13","    2","   11","85 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YAM_AUTO_INSTALL_EQUI","N/A","  269","  174","   95","35 %","Automatic  /  Semi-automatic installation of equipments",
"YAM_AUTO_INSTALL_EQUI_F01","N/A","  437","  280","  157","36 %","Include YAM_AUTO_INSTALL_EQUI_F01",
"YAM_AUTO_INSTALL_EQUI_F02","N/A","  338","  186","  152","45 %","Include YAM_AUTO_INSTALL_EQUI_F02",
"YAM_AUTO_INSTALL_EQUI_F03","N/A","3,152","2,005","1,147","36 %","Include YAM_AUTO_INSTALL_EQUI_F03",
"[Totle]"," ","4,196","2,645","1,551","37 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YAM_AUTO_INSTALL_EQUI_COPY","N/A","  271","  174","   97","36 %","Automatic  /  Semi-automatic installation of equipments",
"YAM_AUTO_INSTALL_EQUI_F01_COPY","N/A","  437","  280","  157","36 %","Include YAM_AUTO_INSTALL_EQUI_F01",
"YAM_AUTO_INSTALL_EQUI_F02_COPY","N/A","  338","  186","  152","45 %","Include YAM_AUTO_INSTALL_EQUI_F02",
"YAM_AUTO_INSTALL_EQUI_F03_COPY","N/A","3,154","2,006","1,148","36 %","Include YAM_AUTO_INSTALL_EQUI_F03",
"[Totle]"," ","4,200","2,646","1,554","37 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YAM_BACKLOG","N/A","1,339","  865","  474","35 %","AM: Backlog report",
"EAMCC_MIOLXF14","N/A","   13","    7","    6","46 %","AM: Backlog report",
"MIOLXF14","N/A","1,087","  685","  402","37 %","Central forms for output list editing PM (single-level lists",
"MIOLXF16","N/A","2,410","1,673","  737","31 %","Central Functions List Editing PM, QM, SM from Release 4.0",
"MIOLXTOP","N/A","  285","  197","   88","31 %","Operand for Object Master Data Lists in PM",
"[Totle]"," ","5,134","3,427","1,707","33 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YAM_BACK_BILLING","N/A","  109","   69","   40","37 %","AM: Back-billing",
"YAM_BACK_BILLING_F01","N/A","  674","  449","  225","33 %","Include YAM_BACK_BILLING_F01",
"YAM_BACK_BILLING_F02","N/A","  107","   57","   50","47 %","Include YAM_BACK_BILLING_F02",
"YAM_BACK_BILLING_F03","N/A","  636","  456","  180","28 %","Include YAM_BACK_BILLING_F03",
"[Totle]"," ","1,526","1,031","  495","32 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
