[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_BLOCK_LIST_INVOICE,N/A,392,252,140,36%,VisiTour: Orders fixed but not released
[Totle], ,392,252,140,36%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_DELIVERY_BLOCK_AUTO_RDC,N/A,23,5,18,78%,CC SO Delivery Block auto sync RDC SO
YRD_DELIVERY_BLOCK_EVENT,N/A,9,3,6,67%,Include YRD_DELIVERY_BLOCK_EVENT
YRD_DELIVERY_BLOCK_FORMS,N/A,133,95,38,29%,Include YRD_DELIVERY_BLOCK_FORMS
YRD_DELIVERY_BLOCK_GLDAT,N/A,16,11,5,31%,Include YRD_DELIVERY_BLOCK_GLDAT
[Totle], ,181,114,67,37%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_FICO_STD_COST_ESTIMATE_RP,N/A,415,277,138,33%,Standard Cost Estimate Report
[Totle], ,415,277,138,33%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_FIND_USEREXIT_AND_BADI,N/A,192,146,46,24%,Standard Cost Estimate Report
[Totle], ,192,146,46,24%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_FI_VENDOR_EXPENDITURE,N/A,210,110,100,48%,Financial Vendor Expenditure Report
[Totle], ,210,110,100,48%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_MM_EXPLODE_BOM_BOTTOMLEVEL,N/A,33,9,24,73%,Explode BOM: Bottom Level BOM
YRD_MM_EXPLODE_BOM_FRM,N/A,269,202,67,25%,Include YRD_MM_EXPLODE_BOM_FRM
YRD_MM_EXPLODE_BOM_TOP,N/A,35,28,7,20%,Include YRD_MM_EXPLODE_BOM_TOP
[Totle], ,337,239,98,29%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_MM_INVOICE_REPORT,N/A,404,226,178,44%,RDC Invoice with price variance Report
RMMCR_FRSEG_ENH,N/A,42,2,40,95%,RDC Invoice with price variance Report
RMRM_IDOC_DATA_ERS_SBO,N/A,30,1,29,97%,RDC Invoice with price variance Report
RMRM_UPD_ARSEG_NFM,N/A,31,1,30,97%,"Erweiterungs-H??lle f.ADD-On-L#sungen,Typgruppe MRM"
YRD_MRM_CONST_COMMON,N/A,131,88,43,33%,Generally valid constants
YRD_MRM_CONST_MRM,N/A,303,189,114,38%,Constants from Logistics IV
YRD_RM08RELEASE_F0A,N/A,241,179,62,26%,Include YRD_RM08RELEASE_F0A
YRD_RM08RELEASE_F0B,N/A,23,11,12,52%,Include YRD_RM08RELEASE_F0B
YRD_RM08RELEASE_F0C,N/A,35,22,13,37%,Include YRD_RM08RELEASE_F0C
YRD_RM08RELEASE_F0D,N/A,256,214,42,16%,Include YRD_RM08RELEASE_F0D
YRD_RM08RELEASE_F0E,N/A,190,161,29,15%,Include YRD_RM08RELEASE_F0E
YRD_RM08RELEASE_F0F,N/A,67,43,24,36%,Include YRD_RM08RELEASE_F0F
YRD_RM08RELEASE_F0G,N/A,44,29,15,34%,Include YRD_RM08RELEASE_F0G
YRD_RM08RELEASE_F0H,N/A,259,217,42,16%,Include YRD_RM08RELEASE_F0H
YRD_RM08RELEASE_F0I,N/A,199,142,57,29%,Include YRD_RM08RELEASE_F0I
