"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"Z05_ABAP_OO_99","N/A","   12","    2","   10","83 %","Program Z05_ABAP_OO_99",
"Z_05_ABAP_OO_VEHICLE","N/A","  244","  148","   96","39 %","Include Z_05_ABAP_OO_VEHICLE",
"[Totle]"," ","  256","  150","  106","41 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"Z158124","N/A","   75","   43","   32","43 %","OSS 158124: correction incorrect planned revenues SD",
"[Totle]"," ","   75","   43","   32","43 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"Z312788","N/A","  414","  357","   57","14 %","OSS312788: Delete double dynamic items",
"[Totle]"," ","  414","  357","   57","14 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"Z583602","N/A","  344","  280","   64","19 %","OSS583602: Analysis of the planned revenue update",
"[Totle]"," ","  344","  280","   64","19 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"Z9MSV005","N/A","  359","  249","  110","31 %","Unix Printers Monitoring",
"[Totle]"," ","  359","  249","  110","31 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"Z9SAPEXP","N/A","   51","   38","   13","25 %","Password Distribution : Export",
"[Totle]"," ","   51","   38","   13","25 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"Z9SAPIMP","N/A","   48","   40","    8","17 %","Distribution password",
"[Totle]"," ","   48","   40","    8","17 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"ZA954","N/A","  111","   82","   29","26 %","SAMPLE",
"[Totle]"," ","  111","   82","   29","26 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
