AM: Accounting indicator default


MANDT	 SWERK	 AUART_PM	 AUART_SD	 BEMOT_NW	 BEMOT_CW	 BEMOT_VW
X	 X	 X	 X	 	 	
MANDT-CLNT(3)	 WERKS-CHAR(4)	 AUFART-CHAR(4)	 AUART-CHAR(4)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)
100	 ADEA	 ZSM1	 ZSM1	 SB	 GL	 PG
100	 ADEA	 ZSM1	 ZSM2	 CH	 GL	 PG
100	 ADEA	 ZSM1	 ZSM3	 CH	 GL	 PG
100	 ADEA	 ZSM1	 ZSM4	 CW	 GL	 PG
100	 ADEA	 ZSM1	 ZSM5	 CH	 GL	 PG
100	 ADEA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 ADEA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 ADEA	 ZSM2	 	 CH	 GL	 PG
100	 ADEA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 ADEA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 ADEA	 ZSM3	 ZSM3	 SP	 SP	 SP
100	 ADEA	 ZSM3	 ZSM4	 CW	 CW	 CW
100	 ADEA	 ZSM3	 ZSM5	 SP	 SP	 SP
100	 ADEA	 ZSM3	 ZSM6	 FW	 FW	 FW
100	 ADEA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 ADEA	 ZSM4	 	 PG	 PG	 PG
100	 ADEA	 ZSM5	 	 NP	 NP	 NP
100	 AFRA	 ZSM1	 ZSM1	 SB	 SB	 PG
100	 AFRA	 ZSM1	 ZSM2	 SB	 SB	 PG
100	 AFRA	 ZSM1	 ZSM3	 SB	 SB	 PG
100	 AFRA	 ZSM1	 ZSM4	 CW	 CW	 PG
100	 AFRA	 ZSM1	 ZSM5	 SB	 SB	 PG
100	 AFRA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 AFRA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 AFRA	 ZSM2	 	 FP	 GL	 PG
100	 AFRA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 AFRA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 AFRA	 ZSM3	 ZSM3	 SP	 SP	 SP
100	 AFRA	 ZSM3	 ZSM4	 CW	 CW	 CW
100	 AFRA	 ZSM3	 ZSM5	 SP	 SP	 SP
