BEMOT for one Button


MANDT	 AUART	 ZZBEMOT	 BEMOT_TXT
X	 X	 X	
MANDT-CLNT(3)	 AUART-CHAR(4)	 ZZBEMOT-CHAR(2)	 TEXT25-CHAR(25)
100	 ZAM1	 1A	 Service for a asset
100	 ZAM1	 1C	 Service for a contract
100	 ZAM1	 1E	 External
100	 ZAM1	 1G	 Goodwill
100	 ZAM1	 1I	 Service for a other sales
100	 ZAM1	 1S	 Service for a cost center
100	 ZAM1	 1W	 PC Product Warranty
100	 ZAM1	 2G	 Service Goodwill
100	 ZAM1	 2W	 CC Product Warranty
100	 ZAM1	 3W	 CC Service Warranty
100	 ZAM1	 4W	 PC Service Warranty
100	 ZAM2	 1A	 Service for a asset
100	 ZAM2	 1C	 Service for a contract
100	 ZAM2	 1E	 External
100	 ZAM2	 1G	 Goodwill
100	 ZAM2	 1I	 Service for a other sales
100	 ZAM2	 1S	 Service for a cost center
100	 ZAM2	 1W	 PC Product Warranty
100	 ZAM2	 2G	 Service Goodwill
100	 ZAM2	 2W	 CC Product Warranty
100	 ZAM2	 3W	 CC Service Warranty
100	 ZAM2	 4W	 PC Service Warranty
100	 ZSM1	 AF	 Atlas Stationery Fleet
100	 ZSM1	 CH	 Chargeable
100	 ZSM1	 CI	 Covercare Invoice
100	 ZSM1	 CW	 Covercare Soc (Warranty)
100	 ZSM1	 EX	 Service Exchange
100	 ZSM1	 FP	 Fixed Price Repair
100	 ZSM1	 FW	 Contract - ComfortAir
100	 ZSM1	 GC	 Service Commisioning-DE
100	 ZSM1	 GL	 Local Sales Guarantee
100	 ZSM1	 ZM	 Consumables Airpower
100	 ZSM2	 AF	 Atlas Stationery Fleet
100	 ZSM2	 CH	 Chargeable
100	 ZSM2	 CI	 Covercare Invoice
100	 ZSM2	 CW	 Covercare Soc (Warranty)
100	 ZSM2	 EX	 Service Exchange
100	 ZSM2	 FP	 Fixed Price Repair
100	 ZSM2	 FW	 Contract - ComfortAir
100	 ZSM2	 GC	 Service Commisioning-DE
100	 ZSM2	 GL	 Local Sales Guarantee
100	 ZSM2	 GW	 Sales Goodwill
100	 ZSM2	 HM	 Hire Fleet Maintenance
100	 ZSM2	 HS	 Hire Fleet Startup/Invoic
100	 ZSM2	 IC	 GAC Commisioning-COGS AC
100	 ZSM2	 IE	 Installation Work
100	 ZSM2	 NC	 Non chargeable orders
100	 ZSM2	 NP	 Non Productive Hours
100	 ZSM2	 PG	 Product Division Guarante
100	 ZSM2	 RS	 Renovation secnd-hnd (eq)
100	 ZSM2	 SB	 Serviceplan Breakdown
100	 ZSM2	 SG	 Service Goodwill
100	 ZSM2	 SI	 Serviceplan Invoice
100	 ZSM2	 SP	 Serviceplan planned
100	 ZSM2	 TD	 Transport Damages
100	 ZSM2	 WE	 Workshop Equipment Renewa
100	 ZSM2	 WG	 Service/Workshop Guarante
100	 ZSM2	 ZM	 Consumables Airpower
100	 ZSM3	 AF	 Atlas Stationery Fleet
100	 ZSM3	 CH	 Chargeable
100	 ZSM3	 CI	 Covercare Invoice
100	 ZSM3	 CW	 Covercare Soc (Warranty)
100	 ZSM3	 EX	 Service Exchange
100	 ZSM3	 FP	 Fixed Price Repair
100	 ZSM3	 FW	 Contract - ComfortAir
100	 ZSM3	 GC	 Service Commisioning-DE
100	 ZSM3	 GL	 Local Sales Guarantee
100	 ZSM3	 GW	 Sales Goodwill
100	 ZSM3	 HM	 Hire Fleet Maintenance
100	 ZSM3	 HS	 Hire Fleet Startup/Invoic
100	 ZSM3	 IC	 GAC Commisioning-COGS AC
100	 ZSM3	 IE	 Installation Work
100	 ZSM3	 NC	 Non chargeable orders
100	 ZSM3	 NP	 Non Productive Hours
100	 ZSM3	 PG	 Product Division Guarante
100	 ZSM3	 RS	 Renovation secnd-hnd (eq)
100	 ZSM3	 SB	 Serviceplan Breakdown
100	 ZSM3	 SG	 Service Goodwill
100	 ZSM3	 SI	 Serviceplan Invoice
100	 ZSM3	 SP	 Serviceplan planned
100	 ZSM3	 TD	 Transport Damages
100	 ZSM3	 WE	 Workshop Equipment Renewa
100	 ZSM3	 WG	 Service/Workshop Guarante
100	 ZSM3	 ZM	 Consumables Airpower
100	 ZSM4	 PG	 Product Division Guarante
