AM: Cost Centre Substitution


MANDT	 BUKRS	 SAKNR	 KOSTL
X	 X	 X	
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 SAKNR-CHAR(10)	 KOSTL-CHAR(10)
100	 ADEA	 0004511001	 0475004999
100	 ADEA	 0004550001	 0475004999
100	 AFRA	 0004511001	 0503002999
100	 AFRA	 0004550001	 0503002999
100	 BGAA	 0004511001	 0640699999
100	 BGAA	 0004550001	 0640699999
100	 CHAA	 0004511001	 6520003999
100	 CHAA	 0004550001	 6520003999
100	 CPRA	 0004511001	 0432610999
100	 CPRA	 0004550001	 0432610999
100	 ESAA	 0004511001	 6300009999
100	 ESAA	 0004550001	 6300009999
100	 GBAA	 0004511001	 0621000399
100	 GBAA	 0004550001	 0621000399
100	 IYAA	 0004511001	 0609033999
100	 IYAA	 0004550001	 0609033999
100	 NLAA	 0004511001	 0662699999
100	 NLAA	 0004550001	 0662699999
100	 NNAA	 0004511001	 0521619999
100	 NNAA	 0004550001	 0521619999
