Characteristic Values for Models


MANDT	 ZNAME	 ZVALUE	 ATNAM	 INDCT
X	 X	 X	 	
MANDT-CLNT(3)	 ZCHAR_1-CHAR(2)	 ZCHAR3-CHAR(3)	 ATNAM-CHAR(30)	 X-CHAR(1)
100	 **	 010	 ZAM_RHRSTOTAL	 X
100	 **	 020	 ZAM_RHRSLOADED	 X
100	 **	 040	 ZAM_WORKPRESS	
100	 **	 050	 ZAM_AMBPRESS	
100	 **	 060	 ZAM_AMBTEMP	
100	 **	 070	 ZAM_DPAIRFILTER	
100	 **	 080	 ZAM_INLTEMP_ELT1	
100	 **	 090	 ZAM_INLPRESS_ELT1	
100	 **	 100	 ZAM_OUTLTEMP_ELT1	
100	 **	 120	 ZAM_INLTEMP_ELT2	
100	 **	 130	 ZAM_INLPRESS_ELT2	
100	 **	 140	 ZAM_OUTLTEMP_ELT2	
100	 **	 220	 ZAM_IC1INTEMP	
100	 **	 230	 ZAM_IC1OUTTEMP	
100	 **	 260	 ZAM_ACINTEMP	
100	 **	 270	 ZAM_ACOUTTEMP	
100	 **	 280	 ZAM_OCINTEMP	
100	 **	 330	 ZAM_COOLCOMPRINPRESS	
100	 **	 340	 ZAM_COOLCOMPOUTPRESS	
100	 AQ	 010	 ZAM_RHRSTOTAL	 X
100	 AQ	 020	 ZAM_RHRSLOADED	 X
100	 AQ	 040	 ZAM_WORKPRESS	
100	 AQ	 050	 ZAM_AMBPRESS	
100	 AQ	 060	 ZAM_AMBTEMP	
100	 AQ	 070	 ZAM_DPAIRFILTER	
100	 AQ	 080	 ZAM_INLTEMP_ELT1	
100	 AQ	 090	 ZAM_INLPRESS_ELT1	
100	 AQ	 100	 ZAM_OUTLTEMP_ELT1	
100	 AQ	 120	 ZAM_INLTEMP_ELT2	
100	 AQ	 130	 ZAM_INLPRESS_ELT2	
100	 AQ	 140	 ZAM_OUTLTEMP_ELT2	
100	 AQ	 210	 ZAM_COOLCOMPRINTEMP	
100	 AQ	 220	 ZAM_COOLCOMPROUTTEMP	
100	 AQ	 230	 ZAM_IC1INTEMP	
100	 AQ	 240	 ZAM_IC1OUTTEMP	
100	 AQ	 270	 ZAM_ACINTEMP	
100	 AQ	 280	 ZAM_ACOUTTEMP	
100	 AQ	 290	 ZAM_OCINTEMP	
100	 AQ	 340	 ZAM_COOLCOMPRINPRESS	
100	 AQ	 350	 ZAM_COOLCOMPOUTPRESS	
100	 AQ	 450	 ZAM_ATMOSDEWP	
100	 AQ	 460	 ZAM_PRESSDEWP	
100	 AQ	 480	 ZAM_DINLTEMP	
100	 AQ	 490	 ZAM_DOUTLTEMP	
100	 AQ	 500	 ZAM_DOUTLPRESS	
100	 AQ	 580	 ZAM_DCOOLINLTEMP	
100	 AQ	 590	 ZAM_DCOOLINLPRESS	
100	 AQ	 600	 ZAM_DCOOLOUTLTEMP	
100	 AQ	 610	 ZAM_DCOOLOUTLETPRESS	
100	 GA	 010	 ZAM_RHRSTOTAL	 X
100	 GA	 020	 ZAM_RHRSLOADED	 X
100	 GA	 040	 ZAM_WORKPRESS	
100	 GA	 050	 ZAM_AMBPRESS	
100	 GA	 060	 ZAM_AMBTEMP	
100	 GA	 070	 ZAM_DPAIRFILTER	
100	 GA	 080	 ZAM_INLTEMP_ELT1	
100	 GA	 090	 ZAM_INLPRESS_ELT1	
100	 GA	 100	 ZAM_OUTLTEMP_ELT1	
100	 GA	 120	 ZAM_INLTEMP_ELT2	
100	 GA	 130	 ZAM_INLPRESS_ELT2	
100	 GA	 140	 ZAM_OUTLTEMP_ELT2	
100	 GA	 210	 ZAM_COOLCOMPRINTEMP	
100	 GA	 220	 ZAM_COOLCOMPROUTTEMP	
100	 GA	 230	 ZAM_IC1INTEMP	
100	 GA	 240	 ZAM_IC1OUTTEMP	
100	 GA	 270	 ZAM_ACINTEMP	
100	 GA	 280	 ZAM_ACOUTTEMP	
100	 GA	 290	 ZAM_OCINTEMP	
100	 GA	 340	 ZAM_COOLCOMPRINPRESS	
100	 GA	 350	 ZAM_COOLCOMPOUTPRESS	
100	 GA	 450	 ZAM_ATMOSDEWP	
100	 GA	 460	 ZAM_PRESSDEWP	
100	 GA	 480	 ZAM_DINLTEMP	
100	 GA	 490	 ZAM_DOUTLTEMP	
100	 GA	 500	 ZAM_DOUTLPRESS	
100	 GA	 580	 ZAM_DCOOLINLTEMP	
100	 GA	 590	 ZAM_DCOOLINLPRESS	
100	 GA	 600	 ZAM_DCOOLOUTLTEMP	
100	 GA	 610	 ZAM_DCOOLOUTLETPRESS	
100	 GR	 010	 ZAM_RHRSTOTAL	 X
100	 GR	 020	 ZAM_RHRSLOADED	 X
100	 GR	 030	 ZAM_ACCVOL	 X
100	 GR	 040	 ZAM_WORKPRESS	
100	 GR	 050	 ZAM_AMBPRESS	
100	 GR	 060	 ZAM_AMBTEMP	
100	 GR	 070	 ZAM_DPAIRFILTER	
100	 GR	 080	 ZAM_INLTEMP_ELT1	
100	 GR	 090	 ZAM_INLPRESS_ELT1	
100	 GR	 100	 ZAM_OUTLTEMP_ELT1	
100	 GR	 110	 ZAM_OUTLPRESS_ELT1	
100	 GR	 120	 ZAM_INLTEMP_ELT2	
100	 GR	 130	 ZAM_INLPRESS_ELT2	
100	 GR	 140	 ZAM_OUTLTEMP_ELT2	
100	 GR	 150	 ZAM_OUTLPRESS_ELT2	
100	 GR	 210	 ZAM_COOLCOMPRINTEMP	
100	 GR	 220	 ZAM_COOLCOMPROUTTEMP	
100	 GR	 270	 ZAM_ACINTEMP	
100	 GR	 280	 ZAM_ACOUTTEMP	
100	 GR	 290	 ZAM_OCINTEMP	
100	 GR	 300	 ZAM_OCOUTTEMP	
100	 GR	 340	 ZAM_COOLCOMPRINPRESS	
100	 GR	 350	 ZAM_COOLCOMPOUTPRESS	
100	 GR	 390	 ZAM_OILINJPRESS1	
100	 GR	 400	 ZAM_OILINJPRESS2	
100	 GR	 410	 ZAM_DPOILSEP1	
100	 GR	 420	 ZAM_DPOILSEP2	
100	 GR	 430	 ZAM_OILSEPTEMP1	
100	 GR	 440	 ZAM_OILSEPTEMP2	
100	 GR	 450	 ZAM_ATMOSDEWP	
100	 GR	 460	 ZAM_PRESSDEWP	
100	 GR	 470	 ZAM_LAT	
100	 GR	 480	 ZAM_DINLTEMP	
100	 GR	 490	 ZAM_DOUTLTEMP	
100	 GR	 500	 ZAM_DOUTLPRESS	
100	 GR	 580	 ZAM_DCOOLINLTEMP	
100	 GR	 590	 ZAM_DCOOLINLPRESS	
100	 GR	 600	 ZAM_DCOOLOUTLTEMP	
100	 GR	 610	 ZAM_DCOOLOUTLETPRESS	
100	 GR	 620	 ZAM_MOTWINDU1TEMP	
100	 GR	 630	 ZAM_MOTWINDV1TEMP	
100	 GR	 640	 ZAM_MOTWINDW1TEMP	
100	 GR	 650	 ZAM_MOTDETEMP	
100	 GR	 660	 ZAM_MOTNDETEMP	
100	 GR	 670	 ZAM_SPMMOTDE	
100	 GR	 680	 ZAM_SPMLMOTNDE	
100	 GR	 690	 ZAM_SPMELTP1	
100	 GR	 700	 ZAM_SPMELTP2	
100	 GR	 710	 ZAM_SPMELTP3	
100	 GR	 720	 ZAM_SPMELTP4	
100	 GR	 730	 ZAM_SPMGEARBOX	
100	 GT	 010	 ZAM_RHRSTOTAL	 X
100	 GT	 020	 ZAM_RHRSLOADED	 X
100	 GT	 040	 ZAM_WORKPRESS	
100	 GT	 050	 ZAM_AMBPRESS	
100	 GT	 060	 ZAM_AMBTEMP	
100	 GT	 070	 ZAM_DPAIRFILTER	
100	 GT	 080	 ZAM_INLTEMP_ELT1	
100	 GT	 090	 ZAM_INLPRESS_ELT1	
100	 GT	 100	 ZAM_OUTLTEMP_ELT1	
100	 GT	 120	 ZAM_INLTEMP_ELT2	
100	 GT	 130	 ZAM_INLPRESS_ELT2	
100	 GT	 140	 ZAM_OUTLTEMP_ELT2	
100	 GT	 210	 ZAM_COOLCOMPRINTEMP	
100	 GT	 220	 ZAM_COOLCOMPROUTTEMP	
100	 GT	 230	 ZAM_IC1INTEMP	
100	 GT	 240	 ZAM_IC1OUTTEMP	
100	 GT	 270	 ZAM_ACINTEMP	
100	 GT	 280	 ZAM_ACOUTTEMP	
100	 GT	 290	 ZAM_OCINTEMP	
100	 GT	 340	 ZAM_COOLCOMPRINPRESS	
100	 GT	 350	 ZAM_COOLCOMPOUTPRESS	
100	 GT	 450	 ZAM_ATMOSDEWP	
100	 GT	 460	 ZAM_PRESSDEWP	
100	 GT	 480	 ZAM_DINLTEMP	
100	 GT	 490	 ZAM_DOUTLTEMP	
100	 GT	 500	 ZAM_DOUTLPRESS	
100	 GT	 580	 ZAM_DCOOLINLTEMP	
100	 GT	 590	 ZAM_DCOOLINLPRESS	
100	 GT	 600	 ZAM_DCOOLOUTLTEMP	
100	 GT	 610	 ZAM_DCOOLOUTLETPRESS	
100	 GX	 010	 ZAM_RHRSTOTAL	 X
100	 GX	 020	 ZAM_RHRSLOADED	 X
100	 GX	 040	 ZAM_WORKPRESS	
100	 GX	 050	 ZAM_AMBPRESS	
100	 GX	 060	 ZAM_AMBTEMP	
100	 GX	 070	 ZAM_DPAIRFILTER	
100	 GX	 080	 ZAM_INLTEMP_ELT1	
100	 GX	 090	 ZAM_INLPRESS_ELT1	
100	 GX	 100	 ZAM_OUTLTEMP_ELT1	
100	 GX	 120	 ZAM_INLTEMP_ELT2	
100	 GX	 130	 ZAM_INLPRESS_ELT2	
100	 GX	 140	 ZAM_OUTLTEMP_ELT2	
100	 GX	 210	 ZAM_COOLCOMPRINTEMP	
100	 GX	 220	 ZAM_COOLCOMPROUTTEMP	
100	 GX	 230	 ZAM_IC1INTEMP	
100	 GX	 240	 ZAM_IC1OUTTEMP	
100	 GX	 270	 ZAM_ACINTEMP	
100	 GX	 280	 ZAM_ACOUTTEMP	
100	 GX	 290	 ZAM_OCINTEMP	
100	 GX	 340	 ZAM_COOLCOMPRINPRESS	
100	 GX	 350	 ZAM_COOLCOMPOUTPRESS	
100	 GX	 450	 ZAM_ATMOSDEWP	
100	 GX	 460	 ZAM_PRESSDEWP	
100	 GX	 480	 ZAM_DINLTEMP	
100	 GX	 490	 ZAM_DOUTLTEMP	
100	 GX	 500	 ZAM_DOUTLPRESS	
100	 GX	 580	 ZAM_DCOOLINLTEMP	
100	 GX	 590	 ZAM_DCOOLINLPRESS	
100	 GX	 600	 ZAM_DCOOLOUTLTEMP	
100	 GX	 610	 ZAM_DCOOLOUTLETPRESS	
100	 LE	 010	 ZAM_RHRSTOTAL	 X
100	 LE	 020	 ZAM_RHRSLOADED	 X
100	 LE	 040	 ZAM_WORKPRESS	
100	 LE	 050	 ZAM_AMBPRESS	
100	 LE	 060	 ZAM_AMBTEMP	
100	 LE	 070	 ZAM_DPAIRFILTER	
100	 LE	 080	 ZAM_INLTEMP_ELT1	
100	 LE	 090	 ZAM_INLPRESS_ELT1	
100	 LE	 100	 ZAM_OUTLTEMP_ELT1	
100	 LE	 120	 ZAM_INLTEMP_ELT2	
100	 LE	 130	 ZAM_INLPRESS_ELT2	
100	 LE	 140	 ZAM_OUTLTEMP_ELT2	
100	 LE	 210	 ZAM_COOLCOMPRINTEMP	
100	 LE	 220	 ZAM_COOLCOMPROUTTEMP	
100	 LE	 230	 ZAM_IC1INTEMP	
100	 LE	 240	 ZAM_IC1OUTTEMP	
100	 LE	 270	 ZAM_ACINTEMP	
100	 LE	 280	 ZAM_ACOUTTEMP	
100	 LE	 290	 ZAM_OCINTEMP	
100	 LE	 340	 ZAM_COOLCOMPRINPRESS	
100	 LE	 350	 ZAM_COOLCOMPOUTPRESS	
100	 LE	 450	 ZAM_ATMOSDEWP	
100	 LE	 460	 ZAM_PRESSDEWP	
100	 LE	 480	 ZAM_DINLTEMP	
100	 LE	 490	 ZAM_DOUTLTEMP	
100	 LE	 500	 ZAM_DOUTLPRESS	
100	 LE	 580	 ZAM_DCOOLINLTEMP	
100	 LE	 590	 ZAM_DCOOLINLPRESS	
100	 LE	 600	 ZAM_DCOOLOUTLTEMP	
100	 LE	 610	 ZAM_DCOOLOUTLETPRESS	
100	 LF	 010	 ZAM_RHRSTOTAL	 X
100	 LF	 020	 ZAM_RHRSLOADED	 X
100	 LF	 040	 ZAM_WORKPRESS	
100	 LF	 050	 ZAM_AMBPRESS	
100	 LF	 060	 ZAM_AMBTEMP	
100	 LF	 070	 ZAM_DPAIRFILTER	
100	 LF	 080	 ZAM_INLTEMP_ELT1	
100	 LF	 090	 ZAM_INLPRESS_ELT1	
100	 LF	 100	 ZAM_OUTLTEMP_ELT1	
100	 LF	 120	 ZAM_INLTEMP_ELT2	
100	 LF	 130	 ZAM_INLPRESS_ELT2	
100	 LF	 140	 ZAM_OUTLTEMP_ELT2	
100	 LF	 210	 ZAM_COOLCOMPRINTEMP	
100	 LF	 220	 ZAM_COOLCOMPROUTTEMP	
100	 LF	 230	 ZAM_IC1INTEMP	
100	 LF	 240	 ZAM_IC1OUTTEMP	
100	 LF	 270	 ZAM_ACINTEMP	
100	 LF	 280	 ZAM_ACOUTTEMP	
100	 LF	 290	 ZAM_OCINTEMP	
100	 LF	 340	 ZAM_COOLCOMPRINPRESS	
100	 LF	 350	 ZAM_COOLCOMPOUTPRESS	
100	 LF	 450	 ZAM_ATMOSDEWP	
100	 LF	 460	 ZAM_PRESSDEWP	
100	 LF	 480	 ZAM_DINLTEMP	
100	 LF	 490	 ZAM_DOUTLTEMP	
100	 LF	 500	 ZAM_DOUTLPRESS	
100	 LF	 580	 ZAM_DCOOLINLTEMP	
100	 LF	 590	 ZAM_DCOOLINLPRESS	
100	 LF	 600	 ZAM_DCOOLOUTLTEMP	
100	 LF	 610	 ZAM_DCOOLOUTLETPRESS	
100	 LT	 010	 ZAM_RHRSTOTAL	 X
100	 LT	 020	 ZAM_RHRSLOADED	 X
100	 LT	 040	 ZAM_WORKPRESS	
100	 LT	 050	 ZAM_AMBPRESS	
100	 LT	 060	 ZAM_AMBTEMP	
100	 LT	 070	 ZAM_DPAIRFILTER	
100	 LT	 080	 ZAM_INLTEMP_ELT1	
100	 LT	 090	 ZAM_INLPRESS_ELT1	
100	 LT	 100	 ZAM_OUTLTEMP_ELT1	
100	 LT	 120	 ZAM_INLTEMP_ELT2	
100	 LT	 130	 ZAM_INLPRESS_ELT2	
100	 LT	 140	 ZAM_OUTLTEMP_ELT2	
100	 LT	 210	 ZAM_COOLCOMPRINTEMP	
100	 LT	 220	 ZAM_COOLCOMPROUTTEMP	
100	 LT	 230	 ZAM_IC1INTEMP	
100	 LT	 240	 ZAM_IC1OUTTEMP	
100	 LT	 270	 ZAM_ACINTEMP	
100	 LT	 280	 ZAM_ACOUTTEMP	
100	 LT	 290	 ZAM_OCINTEMP	
100	 LT	 340	 ZAM_COOLCOMPRINPRESS	
100	 LT	 350	 ZAM_COOLCOMPOUTPRESS	
100	 LT	 450	 ZAM_ATMOSDEWP	
100	 LT	 460	 ZAM_PRESSDEWP	
100	 LT	 480	 ZAM_DINLTEMP	
100	 LT	 490	 ZAM_DOUTLTEMP	
100	 LT	 500	 ZAM_DOUTLPRESS	
100	 LT	 580	 ZAM_DCOOLINLTEMP	
100	 LT	 590	 ZAM_DCOOLINLPRESS	
100	 LT	 600	 ZAM_DCOOLOUTLTEMP	
100	 LT	 610	 ZAM_DCOOLOUTLETPRESS	
100	 LX	 010	 ZAM_RHRSTOTAL	 X
100	 LX	 020	 ZAM_RHRSLOADED	 X
100	 LX	 040	 ZAM_WORKPRESS	
100	 LX	 050	 ZAM_AMBPRESS	
100	 LX	 060	 ZAM_AMBTEMP	
100	 LX	 070	 ZAM_DPAIRFILTER	
100	 LX	 080	 ZAM_INLTEMP_ELT1	
100	 LX	 090	 ZAM_INLPRESS_ELT1	
100	 LX	 100	 ZAM_OUTLTEMP_ELT1	
100	 LX	 120	 ZAM_INLTEMP_ELT2	
100	 LX	 130	 ZAM_INLPRESS_ELT2	
100	 LX	 140	 ZAM_OUTLTEMP_ELT2	
100	 LX	 210	 ZAM_COOLCOMPRINTEMP	
100	 LX	 220	 ZAM_COOLCOMPROUTTEMP	
100	 LX	 230	 ZAM_IC1INTEMP	
100	 LX	 240	 ZAM_IC1OUTTEMP	
100	 LX	 270	 ZAM_ACINTEMP	
100	 LX	 280	 ZAM_ACOUTTEMP	
100	 LX	 290	 ZAM_OCINTEMP	
100	 LX	 340	 ZAM_COOLCOMPRINPRESS	
100	 LX	 350	 ZAM_COOLCOMPOUTPRESS	
100	 LX	 450	 ZAM_ATMOSDEWP	
100	 LX	 460	 ZAM_PRESSDEWP	
