AM: Column headings for HR-reporting


MANDT	 WERKS	 ZREPTP	 ZCOLNR	 ZCOLHD
X	 X	 X	 X	
MANDT-CLNT(3)	 WERKS-CHAR(4)	 CHAR50-CHAR(50)	 ZCHAR3-CHAR(3)	 CHAR20S-CHAR(20)
100	 ADEA	 TIME REPORT	 001	 Fahrtkosten
100	 ADEA	 TIME REPORT	 002	 Zusatzkosten
100	 ADEA	 TIME REPORT	 003	 Reisespesen
100	 ADEA	 TIME REPORT	 004	 Fremdrechnung
100	 ADEA	 TIME REPORT	 005	 Labour
100	 ADEA	 TIME REPORT	 006	 Labour #-Std 125%
100	 ADEA	 TIME REPORT	 007	 Labour #-Std 150%
100	 ADEA	 TIME REPORT	 008	 Travel
100	 ADEA	 TIME REPORT	 009	 Travel #-Std 125%
100	 ADEA	 TIME REPORT	 010	 Travel #-Std 150%
100	 AFRA	 LEGAL TIME MANAGEMENT	 001	 Trajet
100	 AFRA	 LEGAL TIME MANAGEMENT	 002	 Travail
100	 AFRA	 LEGAL TIME MANAGEMENT	 003	 Trajet 150%
100	 AFRA	 LEGAL TIME MANAGEMENT	 004	 Travail 150%
100	 AFRA	 LEGAL TIME MANAGEMENT	 005	 Trajet 200%
100	 AFRA	 LEGAL TIME MANAGEMENT	 006	 Travail 200%
100	 AFRA	 LEGAL TIME MANAGEMENT	 007	 Trajet 300%
100	 AFRA	 LEGAL TIME MANAGEMENT	 008	 Travail 300%
100	 AFRA	 LEGAL TIME MANAGEMENT	 009	 Congés
100	 AFRA	 LEGAL TIME MANAGEMENT	 010	 Maladie
100	 AFRA	 LEGAL TIME MANAGEMENT	 011	 Surveillance
100	 AFRA	 LEGAL TIME MANAGEMENT	 012	 Nettoyage
100	 AFRA	 LEGAL TIME MANAGEMENT	 013	 Formation
100	 AFRA	 LEGAL TIME MANAGEMENT	 014	 Visite client
100	 AFRA	 LEGAL TIME MANAGEMENT	 015	 Réunion d'équipe
100	 AFRA	 LEGAL TIME MANAGEMENT	 016	 RHS
100	 AFRA	 LEGAL TIME MANAGEMENT	 017	 Congés exceptionnels
100	 AFRA	 LEGAL TIME MANAGEMENT	 018	 Heures d'attente
100	 AFRA	 LEGAL TIME MANAGEMENT	 019	 Délégation
100	 AFRA	 LEGAL TIME MANAGEMENT	 020	 Safety Procedure
100	 AFRA	 LEGAL TIME MANAGEMENT	 021	 Total heures NP
100	 AFRA	 PROD ON FSE LEVEL	 001	 Labour Site
100	 AFRA	 PROD ON FSE LEVEL	 002	 Labour Workshop
100	 AFRA	 PROD ON FSE LEVEL	 003	 Safety Procedure
100	 AFRA	 PROD ON FSE LEVEL	 004	 Total Labour Site
100	 AFRA	 PROD ON FSE LEVEL	 005	 Labour Travel
100	 AFRA	 PROD ON FSE LEVEL	 006	 Branch maintenance
100	 AFRA	 PROD ON FSE LEVEL	 007	 Branch Workshop
100	 AFRA	 PROD ON FSE LEVEL	 008	 Customer visit
100	 AFRA	 PROD ON FSE LEVEL	 009	 Supervision
100	 AFRA	 PROD ON FSE LEVEL	 010	 Training
100	 AFRA	 PROD ON FSE LEVEL	 011	 Union
100	 AFRA	 PROD ON FSE LEVEL	 012	 Total non productive
100	 AFRA	 PROD ON FSE LEVEL	 013	 Holiday
100	 AFRA	 PROD ON FSE LEVEL	 014	 Sick
100	 AFRA	 PROD ON FSE LEVEL	 015	 Total absence
100	 AFRA	 PROD ON FSE LEVEL	 016	 Total Productive
100	 AFRA	 PROD ON FSE LEVEL	 017	 Total Disponible
100	 AFRA	 PROD ON FSE LEVEL	 018	 Total Disp. + Abs.
100	 AFRA	 PROD ON FSE LEVEL	 021	 Productivité
100	 BGAA	 TIME_SHEET	 001	 Normal Hours
100	 BGAA	 TIME_SHEET	 002	 Overtime Week
100	 BGAA	 TIME_SHEET	 003	 Overtime Sunday
100	 BGAA	 TIME_SHEET	 004	 Overtime Week SH
100	 BGAA	 TIME_SHEET	 005	 Overtime Sunday SH
100	 BGAA	 TIME_SHEET	 006	 Hours Emergency
100	 BGAA	 TIME_SHEET	 007	 Kilometers
100	 BGAA	 TIME_SHEET	 008	 Recup. Hours
100	 BGAA	 TIME_SHEET	 009	 Training Hours
100	 BGAA	 TIME_SHEET	 010	 Other Hours
100	 BGAA	 TIME_SHEET	 011	 Illness Hours
100	 BGAA	 TIME_SHEET	 012	 Holidays Hours
100	 BGAA	 TIME_SHEET	 013	 Add. Expenses
100	 BGAA	 TIME_SHEET	 014	 Meals
100	 BGAA	 TIME_SHEET	 015	 Overnight Stay
100	 BGAA	 TIME_SHEET	 016	 Fee Emergency Call
100	 BGAA	 TIME_SHEET	 017	 Fee planned OOOHI 1
100	 BGAA	 TIME_SHEET	 018	 Fee planned OOOHI 2
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 001	 Training Normal Hr
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 002	 Training OT NormDay
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 003	 Training OT Weekend
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 004	 Meeting
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 005	 Meeting OT NormDay
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 006	 Meeting  OT Weekend
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 007	 Travel - NP
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 008	 Travel NP OT NormDay
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 009	 Travel NP OT Weekend
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 010	 Customer Visit
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 011	 Administration
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 012	 Branch Maintenance
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 013	 Total NP (NormHr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 014	 Total NP Hr (OT)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 016	 Sick (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 018	 Accident (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 020	 Rest (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 021	 Rest (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 023	 Lieu Day (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 025	 Holiday / Leave (Day
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 027	 Public Holiday (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 028	 Total NP Hr(NormHr+O
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 029	 Sick (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 030	 Accident  (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 100	 Lieu Day (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 101	 Holiday / Leave (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 102	 Public Holiday (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 001	 Training Normal Hr
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 002	 Training OT NormDay
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 003	 Training OT Weekend
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 004	 Meeting
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 005	 Meeting OT NormDay
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 006	 Meeting  OT Weekend
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 007	 Travel - NP
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 008	 Travel NP OT NormDay
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 009	 Travel NP OT Weekend
