AM: Consignee Code texts


MANDT	 SPRAS	 BUKRS	 ZZCON	 DESCR
X	 X	 X	 X	
MANDT-CLNT(3)	 SPRAS-LANG(1)	 BUKRS-CHAR(4)	 ZZCON-CHAR(2)	 TEXT30-CHAR(30)
100	 1	 ADEA	 2	 Innight
100	 1	 ADEA	 3	 TNT Parcel
100	 1	 ADEA	 9	 Special Instructions
100	 1	 AFRA	 2	 TNT Express Belgium
100	 1	 AFRA	 3	 FRET INDUSTRIE
100	 1	 AFRA	 4	 GALLIKER (Livraisons directes)
100	 1	 AFRA	 6	 TNT SOA
100	 1	 AFRA	 9	 SPECIAL INSTRUCTIONS
100	 1	 BGAA	 1	 AFHALING AIRPOWER
100	 1	 BGAA	 2	 TNT EXPRESS BELGIUM
100	 1	 BGAA	 3	 TNT EXPRESS BELGIUM
100	 1	 BGAA	 4	 TRUCK
100	 1	 BGAA	 5	 TNT - INNIGHT
100	 1	 BGAA	 9	 WAITING FOR SHIP INSTRUCTIONS
100	 1	 CHAA	 1	 Galliker Truck Transport
100	 1	 CHAA	 2	 TNT EXPRESS BELGIUM
100	 1	 CHAA	 4	 TRUCK
100	 1	 CHAA	 5	 TNT - INNIGHT
100	 1	 CHAA	 9	 SPECIAL INSTRUCTIONS
100	 1	 CJAL	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 CODA	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 CONA	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 CPRA	 1	 Air Freight
100	 1	 CPRA	 4	 DHL-Danzas-AFG
100	 1	 CPRA	 9	 SPECIAL INSTRUCTIONS
100	 1	 CQCA	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 CQZA	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 ESAA	 2	 TNT Parcel
100	 1	 ESAA	 5	 CAT-Truck
100	 1	 ESAA	 9	 Special Instructions
100	 1	 GBAA	 1	 TNT Truck
100	 1	 GBAA	 2	 London Service
100	 1	 GBAA	 3	 TNT Parcel
100	 1	 HKGA	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 HKKA	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 IYAA	 2	 AC Italia
100	 1	 IYAA	 4	 AC Italia / Sioli Fontana
100	 1	 IYAA	 6	 Bartolini
100	 1	 NLAA	 1	 TNT - EXPRESS - SERVICE
100	 1	 NLAA	 2	 TNT - INNIGHT
100	 1	 NLAA	 3	 SPEEDCOLLI
100	 1	 NLAA	 9	 Special Instructions
100	 1	 NNAA	 1	 TNT Norge AS
100	 1	 NNAA	 2	 DHL Express Norge AS
100	 1	 NNAA	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 POLA	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 SHTA	 9	 "SPECIAL INSTRUCTIONS"
100	 1	 SSCA	 9	 "SPECIAL INSTRUCTIONS"
100	 E	 ADEA	 2	 Innight
100	 E	 ADEA	 3	 TNT Parcel
100	 E	 ADEA	 9	 Special Instructions
100	 E	 AFRA	 2	 TNT Express Belgium
100	 E	 AFRA	 3	 FRET INDUSTRIE
100	 E	 AFRA	 4	 GALLIKER (Livraisons directes)
100	 E	 AFRA	 6	 TNT SOA
100	 E	 AFRA	 9	 SPECIAL INSTRUCTIONS
100	 E	 BGAA	 1	 AFHALING AIRPOWER
100	 E	 BGAA	 2	 DHL  BELGIUM
100	 E	 BGAA	 3	 DHL LUXEMBOURG
100	 E	 BGAA	 4	 TRUCK
100	 E	 BGAA	 5	 TNT - INNIGHT
100	 E	 BGAA	 9	 WAITING FOR SHIP INSTRUCTIONS
100	 E	 CHAA	 1	 Galliker Truck Transport
100	 E	 CHAA	 2	 TNT EXPRESS BELGIUM
100	 E	 CHAA	 4	 TRUCK
100	 E	 CHAA	 5	 TNT - INNIGHT
100	 E	 CHAA	 9	 SPECIAL INSTRUCTIONS
100	 E	 CJAL	 9	 "SPECIAL INSTRUCTIONS"
100	 E	 CODA	 9	 "SPECIAL INSTRUCTIONS"
100	 E	 CONA	 9	 "SPECIAL INSTRUCTIONS"
100	 E	 CPRA	 1	 Air Freight
100	 E	 CPRA	 2	 TNT 24 hours
100	 E	 CPRA	 4	 DHL-Danzas-AFG
100	 E	 CPRA	 9	 SPECIAL INSTRUCTIONS
100	 E	 CQCA	 9	 "SPECIAL INSTRUCTIONS"
100	 E	 CQZA	 9	 "SPECIAL INSTRUCTIONS"
100	 E	 ESAA	 2	 TNT Parcel
100	 E	 ESAA	 5	 CAT-Truck
100	 E	 ESAA	 9	 Special Instructions
100	 E	 GBAA	 1	 TNT Truck
100	 E	 GBAA	 2	 London Service
100	 E	 GBAA	 3	 TNT Parcel
100	 E	 HKGA	 9	 "SPECIAL INSTRUCTIONS"
100	 E	 HKKA	 9	 "SPECIAL INSTRUCTIONS"
100	 E	 IYAA	 2	 AC Italia
100	 E	 IYAA	 4	 AC Italia / Sioli Fontana
100	 E	 IYAA	 6	 Bartolini
