Generated Table for View YAM_EQUI_EQUZ


MANDT	 EQUNR	 MATNR	 SERNR	 HEQUI
X	 X	 X	 X	 X
MANDT-CLNT(3)	 EQUNR-CHAR(18)	 MATNR-CHAR(18)	 GERNR-CHAR(18)	 EQUNR-CHAR(18)
100	 000000000010000001	 	 	
100	 000000000010000002	 000000010000100009	 AML300321	
100	 000000000010000003	 	 	
100	 000000000010000004	 	 	
100	 000000000010000004	 	 	
100	 000000000010000004	 	 	
100	 000000000010000005	 000000010000100041	 AIP512286	
100	 000000000010000006	 000000010001000034	 000000000000000011	
100	 000000000010000007	 000000010001000034	 AIP455554	
100	 000000000010000008	 000000010001000034	 000000000000000012	
100	 000000000010000009	 000000010001000031	 000000000000000012	
100	 000000000010000010	 	 	
100	 000000000010000011	 	 	
100	 000000000010000012	 	 	
100	 000000000010000013	 000000010001000000	 COD1308¡ì	
100	 000000000010000014	 000000010001000000	 000000000000000001	
100	 000000000010000015	 000000010001000000	 000000000000009999	
100	 000000000010000016	 000000009753400126	 000000000000012345	
100	 000000000010000017	 000000000000000002	 000000000000000004	
100	 000000000010000018	 000000000000000003	 000000000000000005	
100	 000000000010000019	 000000000000000004	 000000000000000006	
100	 000000000010000020	 000000000000000123	 000000000000001234	
