AM: HR report formulas


MANDT	 WERKS	 ZREPTP	 ZCOLNR	 ZFRM
X	 X	 X	 X	
MANDT-CLNT(3)	 WERKS-CHAR(4)	 CHAR50-CHAR(50)	 ZCHAR3-CHAR(3)	 CHAR100-CHAR(100)
100	 AFRA	 LEGAL TIME MANAGEMENT	 021	 C011+C012+C013+C014+C015+C016+C017+C018+C019
100	 AFRA	 PROD ON FSE LEVEL	 021	 IF C017>0 THEN C016*100/C017
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 021	 C020/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 023	 C100/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 025	 C101/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 027	 C102/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 028	 C013+C014
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 029	 C016/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE	 030	 C018/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 021	 C020/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 023	 C100/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 025	 C101/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 027	 C102/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 028	 C013+C014
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 029	 C016/8
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 030	 C018/8
100	 CD01	 PRODUCTIVE HOURS	 021	 C001+C005
100	 CD01	 PRODUCTIVE HOURS	 022	 C007+C011
100	 CD01	 PRODUCTIVE HOURS	 023	 C005+C011
100	 CD01	 PRODUCTIVE HOURS	 024	 C008+C009+C010
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 021	 C001+C005
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 022	 C007+C011
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 023	 C005+C011
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 024	 C013+C005+C011
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 025	 C016-C100
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 026	 IF (C016-C100)<0 AND C016<>0 THEN 1+(C016-C100)/C016*100
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 027	 IF (C016-C100)>0 AND C100<>0 THEN C016/C100*100
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 021	 C020/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 023	 C100/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 025	 C101/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 027	 C102/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 028	 C013+C014
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 029	 C016/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 030	 C018/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 021	 C020/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 023	 C100/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 025	 C101/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 027	 C102/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 028	 C013+C014
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 029	 C016/8
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 030	 C018/8
