AM: KPI group texts


MANDT	 SPRAS	 KPIGR	 BEZEI
X	 X	 X	
MANDT-CLNT(3)	 SPRAS-LANG(1)	 YAM_KPIGR-CHAR(1)	 TEXT20-CHAR(20)
100	 1	 1	 FSE Efficiency
100	 1	 2	 Admin Efficiency
100	 1	 3	 WIP Reduction
100	 1	 4	 Warranty Cost
100	 E	 1	 FSE Efficiency
100	 E	 2	 Admin Efficiency
100	 E	 3	 WIP Reduction
100	 E	 4	 Warranty Cost
100	 L	 1	 FSE Efficiency
100	 L	 2	 Admin Efficiency
100	 L	 3	 WIP Reduction
100	 L	 4	 Warranty Cost
100	 R	 1	 FSE Efficiency
100	 R	 2	 Admin Efficiency
100	 R	 3	 WIP Reduction
100	 R	 4	 Warranty Cost
