AM: KPI results


MANDT	 BUKRS	 VKORG	 DATUM	 KPITY	 KPIFR	 WERT	 WAERS	 MENGE	 KMEIN	 NUMB
X	 X	 X	 X	 X	 X	 	 	 	 	
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 VKORG-CHAR(4)	 DATUM-DATS(8)	 YAM_KPITY-CHAR(1)	 NUMC(3)	 WERT-CURR(13)	 WAERS-CUKY(5)	 MENG13-QUAN(13)	 MEINS-UNIT(3)	 INT4(10)
100	 BGAA	 	 20081016	 N	 001	 0.00 	 	 0.000 	 	 0
100	 BGAA	 	 20081016	 N	 002	 0.00 	 	 0.000 	 	 0
100	 BGAA	 	 20081016	 N	 003	 0.00 	 	 0.000 	 	 0
100	 BGAA	 	 20081016	 N	 009	 0.00 	 	 0.000 	 	 0
100	 BGAA	 	 20081016	 N	 011	 0.00 	 	 0.000 	 	 0
100	 BGAA	 	 20081016	 N	 012	 0.00 	 	 0.000 	 	 0
100	 BGAA	 	 20081016	 N	 013	 0.00 	 	 0.000 	 	 0
100	 BGAA	 	 20081016	 N	 014	 0.00 	 	 0.000 	 	 0
100	 BGAA	 BGAA	 20081016	 C	 001	 0.00 	 	 0.000 	 	 0
100	 BGAA	 BGAA	 20081016	 C	 002	 0.00 	 	 0.000 	 	 0
100	 BGAA	 BGAA	 20081016	 C	 003	 0.00 	 	 0.000 	 	 0
100	 BGAA	 BGAA	 20081016	 C	 004	 0.00 	 	 0.000 	 	 0
100	 BGAA	 BGAA	 20081016	 C	 005	 0.00 	 	 0.000 	 	 0
100	 BGAA	 BGAA	 20081016	 C	 006	 0.00 	 	 0.000 	 	 0
100	 BGAA	 BGAA	 20081016	 N	 008	 0.00 	 	 0.000 	 	 0
100	 BGAA	 BGAA	 20081016	 N	 015	 0.00 	 	 0.000 	 	 0
100	 BGAA	 BGAA	 20081016	 N	 016	 0.00 	 	 0.000 	 	 0
