Generated Table for View YAM_MAT1


MANDT	 MATNR	 MTART	 VKORG	 VTWEG	 SPRAS	 MAKTG	 BISMT
X	 X	 X	 X	 X	 X	 	
MANDT-CLNT(3)	 MATNR-CHAR(18)	 MTART-CHAR(4)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPRAS-LANG(1)	 CHAR40-CHAR(40)	 BISMT-CHAR(18)
100	 000000001620991234	 ZMAT	 CN01	 01	 1	 测试	 1620991234
100	 000000001620991234	 ZMAT	 PL04	 01	 1	 测试	 1620991234
100	 000000001620991234	 ZMAT	 CN01	 01	 E	 DELETED	 1620991234
100	 000000001620991234	 ZMAT	 PL04	 01	 E	 DELETED	 1620991234
100	 000000008431027700	 ZMAT	 CN03	 01	 1	 两个	 8431027700
100	 000000008431027700	 ZMAT	 PL04	 01	 1	 两个	 8431027700
100	 000000008431027700	 ZMAT	 CN03	 01	 E	 TESTING123	 8431027700
100	 000000008431027700	 ZMAT	 PL04	 01	 E	 TESTING123	 8431027700
100	 000000008431027700	 ZMAT	 CN03	 01	 F	 HEURE DE D閜LACEMENT	 8431027700
100	 000000008431027700	 ZMAT	 PL04	 01	 F	 HEURE DE D閜LACEMENT	 8431027700
100	 000000008431027700	 ZMAT	 CN03	 01	 R	 DIS FOR RU	 8431027700
100	 000000008431027700	 ZMAT	 PL04	 01	 R	 DIS FOR RU	 8431027700
100	 000000009753400126	 ZMAT	 PL01	 11	 E	 AIR RECEIVER	 9753400126
100	 000000009753400126	 ZMAT	 PL01	 21	 E	 AIR RECEIVER	 9753400126
100	 000000009753400126	 ZMAT	 PL01	 22	 E	 AIR RECEIVER	 9753400126
100	 000000009753400126	 ZMAT	 PL01	 11	 L	 ZP 2500 L. ZBIORNIK POWIETRZA	 9753400126
100	 000000009753400126	 ZMAT	 PL01	 21	 L	 ZP 2500 L. ZBIORNIK POWIETRZA	 9753400126
100	 000000009753400126	 ZMAT	 PL01	 22	 L	 ZP 2500 L. ZBIORNIK POWIETRZA	 9753400126
100	 000000009753400217	 ZMAT	 PL01	 11	 E	 FUEL_TANK	 9753400217
100	 000000009753400217	 ZMAT	 PL01	 21	 E	 FUEL_TANK	 9753400217
100	 000000009753400217	 ZMAT	 PL01	 22	 E	 FUEL_TANK	 9753400217
100	 000000009753400217	 ZMAT	 PL01	 11	 L	 ZBIORNIK PALIWA	 9753400217
100	 000000009753400217	 ZMAT	 PL01	 21	 L	 ZBIORNIK PALIWA	 9753400217
100	 000000009753400217	 ZMAT	 PL01	 22	 L	 ZBIORNIK PALIWA	 9753400217
100	 000000009753400244	 ZMAT	 PL01	 11	 E	 AIR RECEIVER	 9753400244
100	 000000009753400244	 ZMAT	 PL01	 21	 E	 AIR RECEIVER	 9753400244
100	 000000009753400244	 ZMAT	 PL01	 22	 E	 AIR RECEIVER	 9753400244
100	 000000009753400244	 ZMAT	 PL01	 11	 L	 ZP 300 ZBIORNIK POWIETRZA 300 L	 9753400244
100	 000000009753400244	 ZMAT	 PL01	 21	 L	 ZP 300 ZBIORNIK POWIETRZA 300 L	 9753400244
100	 000000009753400244	 ZMAT	 PL01	 22	 L	 ZP 300 ZBIORNIK POWIETRZA 300 L	 9753400244
100	 000000009833173507	 ZMAT	 CN01	 02	 E	 BVB	 9833173507
100	 000000010000000021	 ZDIE	 GBAA	 11	 E	 REPAIR HOUR	
100	 000000010000000022	 ZDIE	 GBAA	 11	 E	 OVER TIME 1*5	
100	 000000010000100000	 ZDIE	 GBAA	 11	 E	 REPAIR HOUR	
100	 000000010000100001	 ZDIE	 GBAA	 11	 E	 MILEAGE (GB)	
100	 000000010000100002	 ZDIE	 GBAA	 11	 E	 OVER TIME 1*5	
100	 000000010000100003	 ZDIE	 GBAA	 11	 E	 OVER TIME 2*0	
100	 000000010000100004	 ZDIE	 GBAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS GB)	
100	 000000010000100005	 ZDIE	 GBAA	 11	 E	 CONSUMABLES & OTHERS (GB)	
100	 000000010000100006	 ZDIE	 GBAA	 11	 E	 GAP WARRANTY LABOUR	
100	 000000010000100007	 ZDIE	 GBAA	 11	 E	 GAP REPAIR HOUR OFFSHORE DAILY RATE	
100	 000000010000100008	 ZDIE	 GBAA	 11	 E	 GAP REPAIR HOUR SITE / TRAVEL	
100	 000000010000100009	 ZDIE	 GBAA	 11	 E	 GAP REPAIR HOUR OFFSHORE	
100	 000000010000100010	 ZDIE	 GBAA	 11	 E	 OFFSHORE RATE HOURLY	
100	 000000010000100011	 ZDIE	 GBAA	 11	 E	 OFFSHORE RATE OVERTIME	
100	 000000010000100012	 ZDIE	 GBAA	 11	 E	 DAILY OFFSHORE / OVERSEA RATE	
100	 000000010000100013	 ZDIE	 GBAA	 11	 E	 GAP REPAIR HOUR ONSHORE DAILY RATE	
100	 000000010000100041	 ZDIE	 PL01	 11	 E	 ATLAS COPCO SERVICE	
100	 000000010000100041	 ZDIE	 PL01	 21	 E	 ATLAS COPCO SERVICE	
100	 000000010000100084	 ZDIE	 PL01	 11	 E	 ATLAS COPCO SERVICE	
100	 000000010001000000	 ZDIP	 ADEA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 ZDIP	 CHAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 ZDIP	 CPRA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 ZDIP	 ESAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 ZDIP	 GBAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 ZDIP	 IYAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 ZDIP	 NLAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 ZDIP	 NNAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 ZDIP	 ADEA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 ZDIP	 CHAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 ZDIP	 CPRA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 ZDIP	 ESAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 ZDIP	 GBAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 ZDIP	 IYAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 ZDIP	 NLAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 ZDIP	 NNAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 ZDIP	 ADEA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 ZDIP	 CHAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 ZDIP	 CPRA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 ZDIP	 ESAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 ZDIP	 GBAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 ZDIP	 IYAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 ZDIP	 NLAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 ZDIP	 NNAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000001	 ZDIP	 ADEA	 11	 D	 KILOMETER	
100	 000000010001000001	 ZDIP	 CHAA	 11	 D	 KILOMETER	
100	 000000010001000001	 ZDIP	 CPRA	 11	 D	 KILOMETER	
100	 000000010001000001	 ZDIP	 ESAA	 11	 D	 KILOMETER	
100	 000000010001000001	 ZDIP	 GBAA	 11	 D	 KILOMETER	
100	 000000010001000001	 ZDIP	 IYAA	 11	 D	 KILOMETER	
100	 000000010001000001	 ZDIP	 NLAA	 11	 D	 KILOMETER	
100	 000000010001000001	 ZDIP	 NNAA	 11	 D	 KILOMETER	
100	 000000010001000001	 ZDIP	 ADEA	 11	 E	 MILEAGE	
100	 000000010001000001	 ZDIP	 CHAA	 11	 E	 MILEAGE	
100	 000000010001000001	 ZDIP	 CPRA	 11	 E	 MILEAGE	
100	 000000010001000001	 ZDIP	 ESAA	 11	 E	 MILEAGE	
100	 000000010001000001	 ZDIP	 GBAA	 11	 E	 MILEAGE	
100	 000000010001000001	 ZDIP	 IYAA	 11	 E	 MILEAGE	
100	 000000010001000001	 ZDIP	 NLAA	 11	 E	 MILEAGE	
100	 000000010001000001	 ZDIP	 NNAA	 11	 E	 MILEAGE	
100	 000000010001000001	 ZDIP	 ADEA	 11	 S	 KILOMETROS	
100	 000000010001000001	 ZDIP	 CHAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 ZDIP	 CPRA	 11	 S	 KILOMETROS	
100	 000000010001000001	 ZDIP	 ESAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 ZDIP	 GBAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 ZDIP	 IYAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 ZDIP	 NLAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 ZDIP	 NNAA	 11	 S	 KILOMETROS	
100	 000000010001000004	 ZDIP	 ADEA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 ZDIP	 CHAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 ZDIP	 CPRA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 ZDIP	 ESAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 ZDIP	 GBAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 ZDIP	 IYAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 ZDIP	 NLAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 ZDIP	 NNAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 ZDIP	 ADEA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 ZDIP	 CHAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 ZDIP	 CPRA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 ZDIP	 ESAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 ZDIP	 GBAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 ZDIP	 IYAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 ZDIP	 NLAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 ZDIP	 NNAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 ZDIP	 ADEA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 ZDIP	 CHAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 ZDIP	 CPRA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 ZDIP	 ESAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 ZDIP	 GBAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 ZDIP	 IYAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 ZDIP	 NLAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 ZDIP	 NNAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000005	 ZDIP	 ADEA	 11	 D	 SPESEN	
100	 000000010001000005	 ZDIP	 CHAA	 11	 D	 SPESEN	
100	 000000010001000005	 ZDIP	 CPRA	 11	 D	 SPESEN	
100	 000000010001000005	 ZDIP	 ESAA	 11	 D	 SPESEN	
100	 000000010001000005	 ZDIP	 GBAA	 11	 D	 SPESEN	
100	 000000010001000005	 ZDIP	 IYAA	 11	 D	 SPESEN	
100	 000000010001000005	 ZDIP	 NLAA	 11	 D	 SPESEN	
100	 000000010001000005	 ZDIP	 NNAA	 11	 D	 SPESEN	
100	 000000010001000005	 ZDIP	 ADEA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 ZDIP	 CHAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 ZDIP	 CPRA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 ZDIP	 ESAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 ZDIP	 GBAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 ZDIP	 IYAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 ZDIP	 NLAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 ZDIP	 NNAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 ZDIP	 ADEA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 ZDIP	 CHAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 ZDIP	 CPRA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 ZDIP	 ESAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 ZDIP	 GBAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 ZDIP	 IYAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 ZDIP	 NLAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 ZDIP	 NNAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000013	 ZDIP	 ADEA	 11	 D	 ARBEITSVORBEREITUNG	
100	 000000010001000013	 ZDIP	 ESAA	 11	 D	 ARBEITSVORBEREITUNG	
100	 000000010001000013	 ZDIP	 IYAA	 11	 D	 ARBEITSVORBEREITUNG	
100	 000000010001000013	 ZDIP	 ADEA	 11	 E	 WORK PREPARATION	
100	 000000010001000013	 ZDIP	 ESAA	 11	 E	 WORK PREPARATION	
100	 000000010001000013	 ZDIP	 IYAA	 11	 E	 WORK PREPARATION	
100	 000000010001000013	 ZDIP	 ADEA	 11	 S	 PREPARACION	
100	 000000010001000013	 ZDIP	 ESAA	 11	 S	 PREPARACION	
100	 000000010001000013	 ZDIP	 IYAA	 11	 S	 PREPARACION	
100	 000000010001000014	 ZDIP	 ADEA	 11	 1	 而且是不	
100	 000000010001000014	 ZDIP	 CHAA	 11	 1	 而且是不	
100	 000000010001000014	 ZDIP	 CPRA	 11	 1	 而且是不	
100	 000000010001000014	 ZDIP	 ESAA	 11	 1	 而且是不	
100	 000000010001000014	 ZDIP	 IYAA	 11	 1	 而且是不	
100	 000000010001000014	 ZDIP	 NNAA	 11	 1	 而且是不	
100	 000000010001000014	 ZDIP	 ADEA	 11	 D	 REISESTUNDEN	
100	 000000010001000014	 ZDIP	 CHAA	 11	 D	 REISESTUNDEN	
100	 000000010001000014	 ZDIP	 CPRA	 11	 D	 REISESTUNDEN	
100	 000000010001000014	 ZDIP	 ESAA	 11	 D	 REISESTUNDEN	
