Generated Table for View YAM_MAT2


MANDT	 MATNR	 MATKL	 VKORG	 VTWEG	 SPRAS	 MAKTG	 BISMT
X	 X	 X	 X	 X	 X	 	
MANDT-CLNT(3)	 MATNR-CHAR(18)	 MATKL-CHAR(9)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPRAS-LANG(1)	 CHAR40-CHAR(40)	 BISMT-CHAR(18)
100	 000000001620991234	 02	 CN01	 01	 1	 测试	 1620991234
100	 000000001620991234	 02	 PL04	 01	 1	 测试	 1620991234
100	 000000001620991234	 02	 CN01	 01	 E	 DELETED	 1620991234
100	 000000001620991234	 02	 PL04	 01	 E	 DELETED	 1620991234
100	 000000008431027700	 01	 CN03	 01	 1	 两个	 8431027700
100	 000000008431027700	 01	 PL04	 01	 1	 两个	 8431027700
100	 000000008431027700	 01	 CN03	 01	 E	 TESTING123	 8431027700
100	 000000008431027700	 01	 PL04	 01	 E	 TESTING123	 8431027700
100	 000000008431027700	 01	 CN03	 01	 F	 HEURE DE D閜LACEMENT	 8431027700
100	 000000008431027700	 01	 PL04	 01	 F	 HEURE DE D閜LACEMENT	 8431027700
100	 000000008431027700	 01	 CN03	 01	 R	 DIS FOR RU	 8431027700
100	 000000008431027700	 01	 PL04	 01	 R	 DIS FOR RU	 8431027700
100	 000000009753400126	 01	 PL01	 11	 E	 AIR RECEIVER	 9753400126
100	 000000009753400126	 01	 PL01	 21	 E	 AIR RECEIVER	 9753400126
100	 000000009753400126	 01	 PL01	 22	 E	 AIR RECEIVER	 9753400126
100	 000000009753400126	 01	 PL01	 11	 L	 ZP 2500 L. ZBIORNIK POWIETRZA	 9753400126
100	 000000009753400126	 01	 PL01	 21	 L	 ZP 2500 L. ZBIORNIK POWIETRZA	 9753400126
100	 000000009753400126	 01	 PL01	 22	 L	 ZP 2500 L. ZBIORNIK POWIETRZA	 9753400126
100	 000000009753400217	 02	 PL01	 11	 E	 FUEL_TANK	 9753400217
100	 000000009753400217	 02	 PL01	 21	 E	 FUEL_TANK	 9753400217
100	 000000009753400217	 02	 PL01	 22	 E	 FUEL_TANK	 9753400217
100	 000000009753400217	 02	 PL01	 11	 L	 ZBIORNIK PALIWA	 9753400217
100	 000000009753400217	 02	 PL01	 21	 L	 ZBIORNIK PALIWA	 9753400217
100	 000000009753400217	 02	 PL01	 22	 L	 ZBIORNIK PALIWA	 9753400217
100	 000000009753400244	 01	 PL01	 11	 E	 AIR RECEIVER	 9753400244
100	 000000009753400244	 01	 PL01	 21	 E	 AIR RECEIVER	 9753400244
100	 000000009753400244	 01	 PL01	 22	 E	 AIR RECEIVER	 9753400244
100	 000000009753400244	 01	 PL01	 11	 L	 ZP 300 ZBIORNIK POWIETRZA 300 L	 9753400244
100	 000000009753400244	 01	 PL01	 21	 L	 ZP 300 ZBIORNIK POWIETRZA 300 L	 9753400244
100	 000000009753400244	 01	 PL01	 22	 L	 ZP 300 ZBIORNIK POWIETRZA 300 L	 9753400244
100	 000000009833173507	 	 CN01	 02	 E	 BVB	 9833173507
100	 000000010000000021	 7450	 GBAA	 11	 E	 REPAIR HOUR	
100	 000000010000000022	 7450	 GBAA	 11	 E	 OVER TIME 1*5	
100	 000000010000100000	 7450	 GBAA	 11	 E	 REPAIR HOUR	
100	 000000010000100001	 7450	 GBAA	 11	 E	 MILEAGE (GB)	
100	 000000010000100002	 7450	 GBAA	 11	 E	 OVER TIME 1*5	
100	 000000010000100003	 7450	 GBAA	 11	 E	 OVER TIME 2*0	
100	 000000010000100004	 7450	 GBAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS GB)	
100	 000000010000100005	 7450	 GBAA	 11	 E	 CONSUMABLES & OTHERS (GB)	
100	 000000010000100006	 7450	 GBAA	 11	 E	 GAP WARRANTY LABOUR	
100	 000000010000100007	 7450	 GBAA	 11	 E	 GAP REPAIR HOUR OFFSHORE DAILY RATE	
100	 000000010000100008	 7450	 GBAA	 11	 E	 GAP REPAIR HOUR SITE / TRAVEL	
100	 000000010000100009	 7450	 GBAA	 11	 E	 GAP REPAIR HOUR OFFSHORE	
100	 000000010000100010	 7450	 GBAA	 11	 E	 OFFSHORE RATE HOURLY	
100	 000000010000100011	 7450	 GBAA	 11	 E	 OFFSHORE RATE OVERTIME	
100	 000000010000100012	 7450	 GBAA	 11	 E	 DAILY OFFSHORE / OVERSEA RATE	
100	 000000010000100013	 7450	 GBAA	 11	 E	 GAP REPAIR HOUR ONSHORE DAILY RATE	
100	 000000010000100041	 044Z	 PL01	 11	 E	 ATLAS COPCO SERVICE	
100	 000000010000100041	 044Z	 PL01	 21	 E	 ATLAS COPCO SERVICE	
100	 000000010000100084	 044Z	 PL01	 11	 E	 ATLAS COPCO SERVICE	
100	 000000010001000000	 7450	 ADEA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 7450	 CHAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 7450	 CPRA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 7450	 ESAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 7450	 GBAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 7450	 IYAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 7450	 NLAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 7450	 NNAA	 11	 D	 ARBEITSSTUNDEN	
100	 000000010001000000	 7450	 ADEA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 7450	 CHAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 7450	 CPRA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 7450	 ESAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 7450	 GBAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 7450	 IYAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 7450	 NLAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 7450	 NNAA	 11	 E	 REPAIR HOUR	
100	 000000010001000000	 7450	 ADEA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 7450	 CHAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 7450	 CPRA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 7450	 ESAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 7450	 GBAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 7450	 IYAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 7450	 NLAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000000	 7450	 NNAA	 11	 S	 HORAS EN MAQUINA	
100	 000000010001000001	 7450	 ADEA	 11	 D	 KILOMETER	
100	 000000010001000001	 7450	 CHAA	 11	 D	 KILOMETER	
100	 000000010001000001	 7450	 CPRA	 11	 D	 KILOMETER	
100	 000000010001000001	 7450	 ESAA	 11	 D	 KILOMETER	
100	 000000010001000001	 7450	 GBAA	 11	 D	 KILOMETER	
100	 000000010001000001	 7450	 IYAA	 11	 D	 KILOMETER	
100	 000000010001000001	 7450	 NLAA	 11	 D	 KILOMETER	
100	 000000010001000001	 7450	 NNAA	 11	 D	 KILOMETER	
100	 000000010001000001	 7450	 ADEA	 11	 E	 MILEAGE	
100	 000000010001000001	 7450	 CHAA	 11	 E	 MILEAGE	
100	 000000010001000001	 7450	 CPRA	 11	 E	 MILEAGE	
100	 000000010001000001	 7450	 ESAA	 11	 E	 MILEAGE	
100	 000000010001000001	 7450	 GBAA	 11	 E	 MILEAGE	
100	 000000010001000001	 7450	 IYAA	 11	 E	 MILEAGE	
100	 000000010001000001	 7450	 NLAA	 11	 E	 MILEAGE	
100	 000000010001000001	 7450	 NNAA	 11	 E	 MILEAGE	
100	 000000010001000001	 7450	 ADEA	 11	 S	 KILOMETROS	
100	 000000010001000001	 7450	 CHAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 7450	 CPRA	 11	 S	 KILOMETROS	
100	 000000010001000001	 7450	 ESAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 7450	 GBAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 7450	 IYAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 7450	 NLAA	 11	 S	 KILOMETROS	
100	 000000010001000001	 7450	 NNAA	 11	 S	 KILOMETROS	
100	 000000010001000004	 7450	 ADEA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 7450	 CHAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 7450	 CPRA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 7450	 ESAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 7450	 GBAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 7450	 IYAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 7450	 NLAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 7450	 NNAA	 11	 D	 FREMDARBEIT	
100	 000000010001000004	 7450	 ADEA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 7450	 CHAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 7450	 CPRA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 7450	 ESAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 7450	 GBAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 7450	 IYAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 7450	 NLAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 7450	 NNAA	 11	 E	 EXTERNAL SERVICE (CONTRACTORS)	
100	 000000010001000004	 7450	 ADEA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 7450	 CHAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 7450	 CPRA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 7450	 ESAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 7450	 GBAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 7450	 IYAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 7450	 NLAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000004	 7450	 NNAA	 11	 S	 TALLERES AJENOS	
100	 000000010001000005	 7450	 ADEA	 11	 D	 SPESEN	
100	 000000010001000005	 7450	 CHAA	 11	 D	 SPESEN	
100	 000000010001000005	 7450	 CPRA	 11	 D	 SPESEN	
100	 000000010001000005	 7450	 ESAA	 11	 D	 SPESEN	
100	 000000010001000005	 7450	 GBAA	 11	 D	 SPESEN	
100	 000000010001000005	 7450	 IYAA	 11	 D	 SPESEN	
100	 000000010001000005	 7450	 NLAA	 11	 D	 SPESEN	
100	 000000010001000005	 7450	 NNAA	 11	 D	 SPESEN	
100	 000000010001000005	 7450	 ADEA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 7450	 CHAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 7450	 CPRA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 7450	 ESAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 7450	 GBAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 7450	 IYAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 7450	 NLAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 7450	 NNAA	 11	 E	 CONSUMABLES & OTHERS	
100	 000000010001000005	 7450	 ADEA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 7450	 CHAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 7450	 CPRA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 7450	 ESAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 7450	 GBAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 7450	 IYAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 7450	 NLAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000005	 7450	 NNAA	 11	 S	 GASTOS VARIOS	
100	 000000010001000013	 7450	 ADEA	 11	 D	 ARBEITSVORBEREITUNG	
100	 000000010001000013	 7450	 ESAA	 11	 D	 ARBEITSVORBEREITUNG	
100	 000000010001000013	 7450	 IYAA	 11	 D	 ARBEITSVORBEREITUNG	
100	 000000010001000013	 7450	 ADEA	 11	 E	 WORK PREPARATION	
100	 000000010001000013	 7450	 ESAA	 11	 E	 WORK PREPARATION	
100	 000000010001000013	 7450	 IYAA	 11	 E	 WORK PREPARATION	
100	 000000010001000013	 7450	 ADEA	 11	 S	 PREPARACION	
100	 000000010001000013	 7450	 ESAA	 11	 S	 PREPARACION	
100	 000000010001000013	 7450	 IYAA	 11	 S	 PREPARACION	
100	 000000010001000014	 7450	 ADEA	 11	 1	 而且是不	
100	 000000010001000014	 7450	 CHAA	 11	 1	 而且是不	
100	 000000010001000014	 7450	 CPRA	 11	 1	 而且是不	
100	 000000010001000014	 7450	 ESAA	 11	 1	 而且是不	
100	 000000010001000014	 7450	 IYAA	 11	 1	 而且是不	
100	 000000010001000014	 7450	 NNAA	 11	 1	 而且是不	
100	 000000010001000014	 7450	 ADEA	 11	 D	 REISESTUNDEN	
100	 000000010001000014	 7450	 CHAA	 11	 D	 REISESTUNDEN	
100	 000000010001000014	 7450	 CPRA	 11	 D	 REISESTUNDEN	
100	 000000010001000014	 7450	 ESAA	 11	 D	 REISESTUNDEN	
100	 000000010001000014	 7450	 IYAA	 11	 D	 REISESTUNDEN	
100	 000000010001000014	 7450	 NNAA	 11	 D	 REISESTUNDEN	
100	 000000010001000014	 7450	 ADEA	 11	 E	 TESTING1	
100	 000000010001000014	 7450	 CHAA	 11	 E	 TESTING1	
100	 000000010001000014	 7450	 CPRA	 11	 E	 TESTING1	
100	 000000010001000014	 7450	 ESAA	 11	 E	 TESTING1	
100	 000000010001000014	 7450	 IYAA	 11	 E	 TESTING1	
100	 000000010001000014	 7450	 NNAA	 11	 E	 TESTING1	
100	 000000010001000014	 7450	 ADEA	 11	 F	 HEURE DE D?LACEMENT	
100	 000000010001000014	 7450	 CHAA	 11	 F	 HEURE DE D?LACEMENT	
100	 000000010001000014	 7450	 CPRA	 11	 F	 HEURE DE D?LACEMENT	
100	 000000010001000014	 7450	 ESAA	 11	 F	 HEURE DE D?LACEMENT	
100	 000000010001000014	 7450	 IYAA	 11	 F	 HEURE DE D?LACEMENT	
100	 000000010001000014	 7450	 NNAA	 11	 F	 HEURE DE D?LACEMENT	
100	 000000010001000014	 7450	 ADEA	 11	 N	 REISTIJD	
100	 000000010001000014	 7450	 CHAA	 11	 N	 REISTIJD	
100	 000000010001000014	 7450	 CPRA	 11	 N	 REISTIJD	
100	 000000010001000014	 7450	 ESAA	 11	 N	 REISTIJD	
100	 000000010001000014	 7450	 IYAA	 11	 N	 REISTIJD	
100	 000000010001000014	 7450	 NNAA	 11	 N	 REISTIJD	
100	 000000010001000014	 7450	 ADEA	 11	 R	 DIS FOR RU	
100	 000000010001000014	 7450	 CHAA	 11	 R	 DIS FOR RU	
100	 000000010001000014	 7450	 CPRA	 11	 R	 DIS FOR RU	
100	 000000010001000014	 7450	 ESAA	 11	 R	 DIS FOR RU	
100	 000000010001000014	 7450	 IYAA	 11	 R	 DIS FOR RU	
