AM: Quotation - calculation of valid-to date


MANDT	 VKORG	 VTWEG	 SPART	 ZZNRDAYS
X	 X	 X	 X	
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 ANZTA-NUMC(3)
100	 ADEA	 11	 01	 030
100	 ADEA	 11	 08	 030
100	 AFRA	 11	 01	 030
100	 BGAA	 11	 01	 030
100	 CHAA	 11	 01	 030
100	 CN01	 11	 01	 030
100	 CN01	 21	 01	 030
100	 CN02	 11	 01	 030
100	 CN03	 11	 01	 030
100	 CPRA	 11	 01	 030
100	 ESAA	 11	 01	 030
100	 GBAA	 11	 01	 030
100	 IYAA	 11	 01	 030
100	 NLAA	 11	 01	 030
100	 NNAA	 11	 01	 030
100	 PL01	 11	 01	 030
100	 PL01	 21	 01	 030
100	 PL02	 11	 01	 030
100	 RU01	 11	 01	 030
100	 RU01	 11	 03	 030
100	 RU01	 11	 04	 030
100	 RU01	 11	 36	 030
100	 RU02	 11	 01	 030
100	 RU03	 11	 01	 030
100	 RU03	 11	 15	 030
100	 RU04	 11	 41	 030
