AM: Reports and Transactions


MANDT	 REPORT	 TCODE	 MARK	 LANGCMT
X	 X	 X	 	
MANDT-CLNT(3)	 YREPORT-CHAR(2)	 TCODE-CHAR(20)	 XFELD-CHAR(1)	 TEXT100-CHAR(100)
100	 AM	 YAM_BACKLOG	 	
100	 AM	 YAM_COMMISSION	 	
100	 AM	 YAM_CONTRACT_GP	 	
100	 AM	 YAM_FIFI	 X	 First Time Fix report
100	 AM	 YAM_HR_REPORT	 	
100	 AM	 YAM_KPI_LIST	 	
100	 AM	 YAM_ONE2ONE	 	
100	 AM	 YAM_PLAN_ACTUAL	 	 Compare Planned to Actual hour
100	 AM	 YAM_PLAN_CAPACITY	 	
100	 AM	 YAM_RECON_INV_PROF	 	 Can also be used for credit note report (select variant)
100	 AM	 YAM_SPAREPART_RETURN	 X	
100	 AM	 YSE_FI_REP_VENWAR	 	 Replacement for YAM_VEN_WAR
100	 BC	 YAM_BILL_DUE_LIST	 	
100	 BC	 YAM_COMMISSION	 	
100	 BC	 YAM_CONTRACT_DATES	 	 To check if the contract end date is align with the billing end and settlement end date
100	 BC	 YAM_CONTRACT_GP	 	
100	 BC	 YAM_COST_PROV	 	
100	 BC	 YAM_PLAN_ACTUAL	 	 Compare Planned to Actual hour
100	 BC	 YAM_RECON_INV_PROF	 	 Can also be used for credit note report (select variant)
100	 CO	 YAM_BACKLOG	 	
100	 CO	 YAM_BILL_DUE_LIST	 	
100	 CO	 YAM_CHECK_CONT_MP	 	
100	 CO	 YAM_CONTRACT_DATES	 	 To check if the contract end date is align with the billing end and settlement end date
100	 CO	 YAM_CONTRACT_GP	 	
100	 CO	 YAM_CONTRACT_PROF	 	
100	 CO	 YAM_ECHR	 	
100	 CO	 YAM_EQUI_HOURS	 	
100	 CO	 YAM_EXP_MPLAN	 	
100	 CO	 YAM_INDEX	 	
100	 CO	 YAM_ONE2ONE	 	
100	 CO	 YAM_PLAN_ACTUAL	 	 Compare Planned to Actual hour
100	 CO	 YAM_PLAN_CAPACITY	 	
100	 CO	 YAM_PO_MASS_CHANGE	 	
100	 CO	 YAM_Z4_TOSO	 	
100	 MA	 YAM_CONTRACT_GP	 	
100	 MA	 YAM_CONTRACT_PROF	 	
100	 MA	 YAM_ECHR	 	
100	 MA	 YAM_EQUI_HOURS	 	
100	 MA	 YAM_ONE2ONE	 	
100	 SE	 YAM_BACKLOG	 	
100	 SE	 YAM_FIFI	 X	 First Time Fix report
100	 SE	 YAM_HR_REPORT	 	
100	 SE	 YAM_JOBS_ERRLOG	 	
100	 SE	 YAM_PLAN_ACTUAL	 	 Compare Planned to Actual hour
100	 SE	 YAM_SPAREPART_RETURN	 X	
100	 SE	 YAM_Z4_TOSO	 	
100	 SE	 YSE_FI_REP_VENWAR	 	 Replacement for YAM_VEN_WAR
