AM: HR report types per plant


WERKS	 ZREPTP	 ZLEVEL
X	 X	
WERKS-CHAR(4)	 CHAR50-CHAR(50)	 CHAR001-CHAR(1)
ADEA	 TIME REPORT	
AFRA	 LEGAL TIME MANAGEMENT	
AFRA	 PROD ON FSE LEVEL	 1
BGAA	 TIME_SHEET	
CD01	 NON-PRODUCTIVE AND ABSENCE	
CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 1
CD01	 PRODUCTIVE HOURS	
CD01	 PRODUCTIVE HOURS - OVERVIEW	 1
CHAA	 HR REPORT	
CHAA	 HR REPORT NON PROD	
CN01	 NON-PRODUCTIVE AND ABSENCE	
CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 1
CN01	 PRODUCTIVE HOURS	
CN01	 PRODUCTIVE HOURS - OVERVIEW	 1
CN01	 PRODUCTIVITY AND UTILIZATION	 1
CN11	 TIME REPORT	
CN11	 TIME REPORT CONSOLIDATED	 1
CN20	 GM周末加班210％	
CN20	 GM周末加班210％ - CONSOLIDATED	 1
CN20	 GM国定假日加班315％	
CN20	 GM国定假日加班315％ - CONSOLIDATED	 1
CN20	 GM翻班110％	
CN20	 GM翻班110％ - CONSOLIDATED	 1
CN20	 NO REASON CODE	
CN20	 NO REASON CODE - CONSOLIDATED	 1
CN20	 NON PRODUCTIVE	
CN20	 NON PRODUCTIVE GM	
CN20	 PRODUCTIVE HOURS	
CN20	 PRODUCTIVE HOURS 1	
CN20	 PRODUCTIVE HOURS 2	
CN20	 PRODUCTIVE HOURS GM 1	
CN20	 PRODUCTIVE HOURS GM 2	
CN20	 PRODUCTIVE KM LCU AU	
CN20	 周末加班200％	
CN20	 周末加班200％ - CONSOLIDATED	 1
CN20	 国定假日加班300％	
CN20	 国定假日加班300％ - CONSOLIDATED	 1
CN20	 正常工作日加班150%	
CN20	 正常工作日加班150% - CONSOLIDATED	 1
CPRA	 HR REPORT	
CPRA	 SALARY-REPORT	
ESAA	 HORAS TECNICOS	
ESAA	 LIQUIDACION GASTOS	
GBAA	 HR REPORT	
HK04	 TIME REPORT	
HK04	 TIME REPORT CONSOLIDATED	 1
IYAA	 HR REPORT	
NLAA	 HR REPORT	
NNAA	 INTERNAL HOURS & ABSENCE	
NNAA	 TIMER	
NNAA	 TRAVEL EXPENCES	
PL01	 LEGAL TIME MANAGEMENT	
PL01	 PROD ON FSE LEVEL	 1
PL02	 LEGAL TIME MANAGEMENT	
PL02	 PROD ON FSE LEVEL	 1
PL07	 LEGAL TIME MANAGEMENT	
PL07	 PROD ON FSE LEVEL	 1
PL09	 LEGAL TIME MANAGEMENT	
PL09	 PROD ON FSE LEVEL	 1
PL10	 LEGAL TIME MANAGEMENT	
PL10	 PROD ON FSE LEVEL	 1
RU50	 HR REPORT CMT RUSSIA	
