AM: Speed delivery code


MANDT	 SPRAS	 BUKRS	 ZZSDC	 DESCR
X	 X	 X	 X	
MANDT-CLNT(3)	 SPRAS-LANG(1)	 BUKRS-CHAR(4)	 ZZSDC-CHAR(2)	 TEXT30-CHAR(30)
100	 1	 ADEA	 EC	 Economy
100	 1	 ADEA	 EX	 Express Delivery
100	 1	 ADEA	 TR	 Truck
100	 1	 AFRA	 EC	 Economy
100	 1	 AFRA	 EX	 Express
100	 1	 BGAA	 EC	 Economy
100	 1	 BGAA	 EX	 Express
100	 1	 CHAA	 EC	 Economy
100	 1	 CHAA	 EX	 Express
100	 1	 CPRA	 EC	 Economy
100	 1	 CPRA	 EX	 Express
100	 1	 ESAA	 EC	 Economy
100	 1	 ESAA	 EX	 Express
100	 1	 GBAA	 EC	 Economy
100	 1	 GBAA	 EX	 Express Delivery
100	 1	 GBAA	 TR	 Truck
100	 1	 IYAA	 EC	 Economy
100	 1	 IYAA	 EX	 Express Delivery
100	 1	 NLAA	 EC	 Economy
100	 1	 NLAA	 EX	 Express
100	 1	 NNAA	 EC	 Economy
100	 1	 NNAA	 EX	 Express
100	 E	 ADEA	 EC	 Economy
100	 E	 ADEA	 EX	 Express Delivery
100	 E	 ADEA	 TR	 Truck
100	 E	 AFRA	 EC	 Economy
100	 E	 AFRA	 EX	 Express
100	 E	 BGAA	 EC	 Economy
100	 E	 BGAA	 EX	 Express
100	 E	 CHAA	 EC	 Economy
100	 E	 CHAA	 EX	 Express
100	 E	 CPRA	 EC	 Economy
100	 E	 CPRA	 EX	 Express
100	 E	 ESAA	 EC	 Economy
100	 E	 ESAA	 EX	 Express
100	 E	 GBAA	 EC	 Economy
100	 E	 GBAA	 EX	 Express Delivery
100	 E	 GBAA	 TR	 Truck
100	 E	 IYAA	 EC	 Economy
100	 E	 IYAA	 EX	 Express Delivery
100	 E	 NLAA	 EC	 Economy
100	 E	 NLAA	 EX	 Express
100	 E	 NNAA	 EC	 Economy
100	 E	 NNAA	 EX	 Express
100	 F	 ADEA	 EC	 Economy
100	 F	 ADEA	 EX	 Express Delivery
100	 F	 ADEA	 TR	 Truck
100	 F	 AFRA	 EC	 Economy
100	 F	 AFRA	 EX	 Express Delivery
100	 F	 BGAA	 EC	 Economy
100	 F	 BGAA	 EX	 Express Delivery
100	 F	 CHAA	 EC	 Economy
100	 F	 CHAA	 EX	 Express Delivery
100	 F	 CPRA	 EC	 Economy
100	 F	 CPRA	 EX	 Express Delivery
100	 F	 ESAA	 EC	 Economy
100	 F	 ESAA	 EX	 Express Delivery
100	 F	 GBAA	 EC	 Economy
100	 F	 GBAA	 EX	 Express Delivery
100	 F	 GBAA	 TR	 Truck
100	 F	 IYAA	 EC	 Economy
100	 F	 NLAA	 EC	 Economy
100	 F	 NLAA	 EX	 Express Delivery
100	 F	 NNAA	 EC	 Economy
100	 F	 NNAA	 EX	 Express Delivery
100	 I	 ADEA	 EC	 Economy
100	 I	 ADEA	 EX	 Express Delivery
100	 I	 ADEA	 TR	 Truck
100	 I	 AFRA	 EC	 Economy
100	 I	 AFRA	 EX	 Express Delivery
100	 I	 BGAA	 EC	 Economy
100	 I	 BGAA	 EX	 Express Delivery
100	 I	 CHAA	 EC	 Economy
100	 I	 CHAA	 EX	 Express Delivery
100	 I	 CPRA	 EC	 Economy
