Branch Office Storage Location Assigment Table


MANDT	 WERKS	 ARBPL	 LGORT	 ZZLGRET	 ZZRECON
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 WERKS-CHAR(4)	 ARBPL-CHAR(8)	 LGORT-CHAR(4)	 LGORT-CHAR(4)	 CHAR1-CHAR(1)
100	 ADEA	 D_00_001	 0200	 0200	 X
100	 ADEA	 D_00_002	 0200	 0200	 X
100	 ADEA	 D_00_003	 2003	 2003	 X
100	 ADEA	 D_00_004	 0200	 0200	 X
100	 ADEA	 D_10	 0100	 0100	 X
100	 ADEA	 D_10_101	 2101	 2101	 X
100	 ADEA	 D_10_102	 2102	 2102	 X
100	 ADEA	 D_10_103	 2103	 2103	 X
100	 ADEA	 D_10_104	 2104	 2104	 X
100	 ADEA	 D_10_105	 2105	 2105	 X
100	 ADEA	 D_10_106	 2106	 2106	 X
100	 ADEA	 D_10_107	 2107	 2107	 X
100	 ADEA	 D_10_108	 2108	 2108	 X
100	 ADEA	 D_10_109	 2109	 2109	 X
100	 ADEA	 D_10_110	 2110	 2110	 X
100	 ADEA	 D_10_111	 2111	 2111	 X
100	 ADEA	 D_10_112	 2112	 2112	 X
100	 ADEA	 D_10_113	 2113	 2113	 X
100	 ADEA	 D_10_114	 2114	 2114	 X
100	 ADEA	 D_10_115	 2115	 2115	 X
100	 ADEA	 D_10_116	 2116	 2116	 X
100	 ADEA	 D_10_117	 2117	 2117	 X
100	 ADEA	 D_10_118	 2118	 2118	 X
100	 ADEA	 D_10_119	 2119	 2119	 X
100	 ADEA	 D_10_120	 2120	 2120	 X
100	 ADEA	 D_10_121	 2121	 2121	 X
100	 ADEA	 D_10_122	 2122	 2122	 X
100	 ADEA	 D_10_123	 2123	 2123	 X
100	 ADEA	 D_10_124	 2124	 2124	 X
100	 ADEA	 D_10_999	 1999	 1999	 X
100	 ADEA	 D_10_SUB	 0100	 0100	 X
100	 ADEA	 D_20	 0200	 0200	 X
100	 ADEA	 D_20_201	 2201	 2201	 X
100	 ADEA	 D_20_202	 2202	 2202	 X
100	 ADEA	 D_20_203	 2203	 2203	 X
100	 ADEA	 D_20_204	 2204	 2204	 X
100	 ADEA	 D_20_205	 2205	 2205	 X
100	 ADEA	 D_20_206	 2206	 2206	 X
100	 ADEA	 D_20_207	 2207	 2207	 X
100	 ADEA	 D_20_208	 2208	 2208	 X
100	 ADEA	 D_20_209	 2209	 2209	 X
100	 ADEA	 D_20_210	 2210	 2210	 X
100	 ADEA	 D_20_211	 2211	 2211	 X
100	 ADEA	 D_20_212	 2212	 2212	 X
100	 ADEA	 D_20_213	 2213	 2213	 X
100	 ADEA	 D_20_214	 2214	 2214	 X
100	 ADEA	 D_20_215	 2215	 2215	 X
100	 ADEA	 D_20_216	 2216	 2216	 X
100	 ADEA	 D_20_217	 2217	 2217	 X
100	 ADEA	 D_20_218	 2218	 2218	 X
100	 ADEA	 D_20_219	 2219	 2219	 X
100	 ADEA	 D_20_220	 2220	 2220	 X
100	 ADEA	 D_20_221	 2221	 2221	 X
100	 ADEA	 D_20_222	 2222	 2222	 X
100	 ADEA	 D_20_223	 2223	 2223	 X
100	 ADEA	 D_20_224	 2224	 2224	 X
100	 ADEA	 D_20_225	 2225	 2225	 X
100	 ADEA	 D_20_226	 2226	 2226	 X
100	 ADEA	 D_20_227	 2227	 2227	 X
100	 ADEA	 D_20_228	 2228	 2228	 X
100	 ADEA	 D_20_229	 2229	 2229	 X
100	 ADEA	 D_20_230	 2230	 2230	 X
100	 ADEA	 D_20_231	 2231	 2231	 X
100	 ADEA	 D_20_232	 2232	 2232	 X
100	 ADEA	 D_20_233	 2233	 2233	 X
100	 ADEA	 D_20_234	 2234	 2234	 X
100	 ADEA	 D_20_235	 2235	 2235	 X
100	 ADEA	 D_20_236	 2236	 2236	 X
100	 ADEA	 D_20_237	 2237	 2237	 X
100	 ADEA	 D_20_238	 2238	 2238	 X
100	 ADEA	 D_20_999	 2999	 2999	 X
100	 ADEA	 D_20_SUB	 0200	 0200	 X
100	 ADEA	 D_30	 0300	 0300	 X
100	 ADEA	 D_30_301	 2301	 2301	 X
100	 ADEA	 D_30_302	 2302	 2302	 X
100	 ADEA	 D_30_303	 2303	 2303	 X
100	 ADEA	 D_30_304	 2304	 2304	 X
100	 ADEA	 D_30_305	 2305	 2305	 X
