DBI: File Format table


YHFNO	 YHDESC
X	 X
CHAR3-CHAR(3)	 CHAR50-CHAR(50)
01	 DB: GIRO PAYMENT (SG)
02	 DB: CREDIT NOTA  (ID)
03	 DB: WIRE TRANSFER
04	 DB: DEMAND DRAFT
05	 DB: BULK CHEQUES
06	 DB: GIRO COLLECTIONS (SG)
07	 DB: MEDIA CLEARING DR (TH)
08	 DB: MEDIA CLEARING CR (TH)
09	 DB: GIRO AUTO CR (HK)
10	 DB: GIRO AUTO DR (HK)
11	 DB: KFTC PAYMENTS (KR)
12	 DB: PROMISSORY NOTES (KR)
13	 DB: MEPS (SG)
14	 DB: CORPORATE CHEQUES
15	 DB: LIRS (TW)
16	 DB: HOUSE TRANSFER
17	 DB: ANSER (JP)
18	 DB: ZENGIN (JP)
19	 DB: LOCAL DEMAND DRAFT
20	 DB: ECS CREDIT (IN)
21	 DB: ECS DEBIT  (IN)
22	 DB: SLIPS CREDIT (S.LANKA)
23	 DB: SLIPS DEBIT  (S.LANKA)
24	 DB: EUROPE DIRECT DEBIT
25	 DB: EUROPE PAYMENTS TN67
26	 DB: EUROPE PAYMENTS TN77
27	 DB: GIRO PAYMENT (MY)
28	 DB: BAHTNET (TH)
29	 DB: RTGS PAYMENT (ID)
30	 DB: BILLYET GIRO (ID)
31	 DB: DIRECT DR (TW)
32	 DB: DIRECT CR (TW)
33	 DB: CMS DIRECT DR (KR)
34	 DB: NETS (AU/NZ)
35	 DB: CORT (AU/NZ)
36	 DB: RTGS PAYMENT (AU/NZ)
37	 DB: AU/NZ CHEQUE (AU/NZ)
38	 DB: BULK DEMAND DRAFT
39	 DB: GIRO COLLECTIONS (MYC)
40	 DB: RMB GIRO
41	 DB: BEPS PAYMENT (CN)
42	 DB: BEPS COLLECTIONS (CN)
43	 DB: CHATS PAYMENT FOR HONGKONG
44	 DB: RENTAS FOR MALAYSIA
45	 DB: LOCAL TRANSFER PAYMENTS+PAYROLL FOR VN
46	 DB: LOCAL CASH DISBURSEMENT FOR VN
47	 DB: EPCS FOR PHILIPPINES
48	 DB: PDDTS FOR PHILIPPINES
49	 DB: BOK WIRE TRANSFER FOR KOREA
50	 DB: RTGS FOR INDIA
51	 DB: NEFT FOR INDIA
52	 DB: CENTRAL BANK TRANSFER (RTGS) FOR SRILANKA
53	 DB: PRISM (RTGS) PAYMENT FOR PAKISTAN
92	 DB: TREASURY TT (ALL)
97	 DB: WITHHOLDING TAX (PK)
98	 DB: WITHHOLDING TAX (PH)
99	 DB: WITHHOLDING TAX (TH)
EP1	 DB:EXTPD FORMAT 1
G01	 GIRO PAYMENT (SG) GLOBAL CSV
G02	 CREDIT NOTA  (ID) GLOBAL CSV
G03	 WIRE TRANSFER GLOBAL CSV
G04	 DEMAND DRAFT GLOBAL CSV
G05	 BULK CHEQUES GLOBAL CSV
G06	 GIRO COLLECTIONS (SG) GLOBAL CSV
G07	 MEDIA CLEARING DR (TH) GLOBAL CSV
G08	 MEDIA CLEARING CR (TH) GLOBAL CSV
G09	 GIRO AUTO CR (HK) GLOBAL CSV
G10	 GIRO AUTO DR (HK) GLOBAL CSV
G11	 KFTC PAYMENTS (KR) GLOBAL CSV
G12	 PROMISSORY NOTES (KR) GLOBAL CSV
G13	 MEPS (SG) GLOBAL CSV
G14	 CORPORATE CHEQUES GLOBAL CSV
G15	 LIRS (TW) GLOBAL CSV
G16	 HOUSE TRANSFER GLOBAL CSV
G17	 ANSER (JP) GLOBAL CSV
G18	 ZENGIN (JP) GLOBAL CSV
G19	 LOCAL DEMAND DRAFT GLOBAL CSV
G20	 ECS CREDIT (IN) GLOBAL CSV
G21	 ECS DEBIT  (IN) GLOBAL CSV
G22	 SLIPS CREDIT (S.LANKA) GLOBAL CSV
G23	 SLIPS DEBIT  (S.LANKA) GLOBAL CSV
G24	 EUROPE DIRECT DEBIT GLOBAL CSV
G25	 EUROPE PAYMENTS TN67 GLOBAL CSV
G26	 EUROPE PAYMENTS TN77 GLOBAL CSV
G27	 GIRO PAYMENT (MY) GLOBAL CSV
G28	 BAHTNET (TH) GLOBAL CSV
G29	 RTGS PAYMENT (ID) GLOBAL CSV
G30	 BILLYET GIRO (ID) GLOBAL CSV
G31	 DIRECT DR (TW) GLOBAL CSV
G32	 DIRECT CR (TW) GLOBAL CSV
G33	 CMS DIRECT DR (KR) GLOBAL CSV
G34	 NETS (AU/NZ) GLOBAL CSV
G35	 CORT (AU/NZ) GLOBAL CSV
G36	 RTGS PAYMENT (AU/NZ) GLOBAL CSV
G37	 AU/NZ CHEQUE (AU/NZ) GLOBAL CSV
G38	 BULK DEMAND DRAFT GLOBAL CSV
G39	 GIRO COLLECTIONS (MYC) GLOBAL CSV
G40	 RMB GIRO GLOBAL CSV
G41	 BEPS PAYMENT (CN) GLOBAL CSV
G42	 BEPS COLLECTIONS (CN) GLOBAL CSV
G43	 CHATS PAYMENT FOR HONGKONG GLOBAL CSV
G44	 RENTAS FOR MALAYSIA GLOBAL CSV
G45	 LOCAL TRAN. PAYMENTS+PAYROLL FOR VN GLOBAL CSV
G46	 LOCAL CASH DISBURSEMENT FOR VN GLOBAL CSV
G47	 EPCS FOR PHILIPPINES GLOBAL CSV
G48	 PDDTS FOR PHILIPPINES GLOBAL CSV
G49	 BOK WIRE TRANSFER FOR KOREA GLOBAL CSV
G50	 RTGS FOR INDIA GLOBAL CSV
G51	 NEFT FOR INDIA GLOBAL CSV
G52	 CENTRAL BANK TRAN.(RTGS) FOR SRILANKA GLOBAL CSV
G53	 PRISM (RTGS) PAYMENT FOR PAKISTAN GLOBAL CSV
G54	 EUROPEAN DIRECT DEBIT GLOBAL CSV
