DBI: Format Detail Structure


FORMAT_NO	 COLUMN_NO	 COLUMN_NME	 MAX_LENGTH	 SOURCE_TYP	 SOURCE_VAL	 DEFAULT_V
X	 X	 X	 	 	 	
CHAR3-CHAR(3)	 NUM4-NUMC(4)	 CHAR032-CHAR(32)	 NUM4-NUMC(4)	 YHFSTYPE-CHAR(10)	 CHAR60-CHAR(60)	 CHAR50-CHAR(50)
01	 0010	 CREDIT/DEBIT ACCOUNT	 0035	 TABLE	 REGUH-UBKNT	
01	 0020	 CREDIT/DEBIT ACCOUNT CURRENCY	 0003	 TABLE	 T012K-WAERS	
01	 0030	 CHARGE ACCOUNT	 0035	 TABLE	 T012D-DTGBK	 REGUH-UBKNT
01	 0040	 CHARGE ACCOUNT CURRENCY	 0003	 TABLE	 T012D-DTGIS	 T012K-WAERS
01	 0050	 PAYMENT MODE	 0003	 	 GIR	
01	 0060	 INSTRUCTION FOR CHARGES	 0003	 TABLE	 T042I-GEBKZ	 15
01	 0070	 URGENT/SINGLE PAYMENT FLAG	 0001	 	 N	
01	 0080	 SINGLE DEBIT FLAG	 0001	 	 	
01	 0090	 TRANSACTION CURRENCY	 0003	 TABLE	 REGUH-WAERS	
01	 0100	 TRANSACTION DATE	 0008	 TABLE	 REGUH-VALUT+6(2),REGUH-VALUT+4(2),REGUH-VALUT+0(4)	
01	 0110	 TRANSACTION DATE TYPE	 0002	 	 	
01	 0120	 BULK REFERENCE/ORDERER REFERENCE	 0035	 TABLE	 REGUH-LAUFI,REGUH-LAUFD	 OUT,SY-DATUM,SY-UZEIT
01	 0130	 BUSINESS CATEGORY	 0003	 	 	
01	 0140	 BUSINESS DESCRIPTIONS	 0035	 	 	
01	 0150	 SCHEDULE DATE	 0008	 	 	
01	 0160	 RESTRICTED PAYMENT FLAG	 0001	 FUNCTION	 FN_RPF	
01	 0170	 RESERVE	 0100	 	 	
01	 0180	 TRANSACTION AMOUNT	 0015	 FUNCTION	 FN_TA	
01	 0190	 PAYMENT INSTRUCTIONS	 0008	 	 	
01	 0200	 PAYMENT DETAILS LINE 1	 0035	 	 	
01	 0210	 PAYMENT DETAILS LINE 2	 0035	 	 	
01	 0220	 PAYMENT DETAILS LINE 3	 0035	 	 	
01	 0230	 PAYMENT DETAILS LINE 4	 0035	 	 	
01	 0240	 SPECIAL INSTRUCTIONS LINE1	 0035	 	 	
01	 0250	 SPECIAL INSTRUCTIONS LINE2	 0035	 	 	
01	 0260	 BENEFICIARY CODE	 0012	 FUNCTION	 FN_BEN	
01	 0270	 BENEFICIARY NAME	 0024	 TABLE	 BSEC-NAME1,,BSEC-NAME2	 ADRC-NAME1,,ADRC-NAME2
01	 0280	 BENEFICIARY ACCOUNT	 0035	 TABLE	 REGUH-ZBNKN	
01	 0290	 BANEFICIARY ACCOUNT CCY	 0003	 	 	
01	 0300	 BENEFICIARY ACCOUNT TYPE	 0035	 	 	
01	 0310	 BENEFICIARY ADDRESS LINE1	 0035	 	 	
01	 0320	 BENEFICIARY ADDRESS LINE2	 0035	 	 	
01	 0330	 BENEFICIARY ADDRESS LINE3	 0035	 	 	
01	 0340	 BENEFICIARY COUNTRY OF RESIDENCE	 0002	 	 	
01	 0350	 BENEFICIARY BRANCH CODE	 0003	 TABLE	 REGUH-ZBNKY+4(3)	
01	 0360	 BENEFICIARY BRANCH NAME	 0035	 TABLE	 BNKA-BRNCH	
01	 0370	 BENEFICIARY BANK NAME	 0035	 TABLE	 BNKA-BANKA	
01	 0380	 BENEFICIARY BANK SWIFT	 0011	 	 	
01	 0390	 BENEFICIARY BANK CLEARING CODE	 0004	 TABLE	 REGUH-ZBNKY+0(4)	
01	 0400	 BENEFICIARY BANK CLEARING CODE T	 0008	 	 	
01	 0410	 BENEFICIARY BANK ADDRESS LINE 1	 0035	 	 	
01	 0420	 BENEFICIARY BANK ADDRESS LINE 2	 0035	 	 	
01	 0430	 BENEFICIARY BANK ADDRESS LINE 3	 0035	 	 	
01	 0440	 BENEFICIARY BANK COUNTRY	 0002	 	 	
01	 0450	 INTERMEDIARY BANK NAME	 0035	 	 	
01	 0460	 INTERMEDIARY BANK ADDRESS LINE 1	 0035	 	 	
01	 0470	 INTERMEDIARY BANK ADDRESS LINE 2	 0035	 	 	
01	 0480	 INTERMEDIARY BANK ADDRESS LINE 3	 0035	 	 	
01	 0490	 INTERMEDIARY BANK COUNTRY	 0002	 	 	
01	 0500	 INTERMEDIARY BANK SWIFT	 0011	 	 	
01	 0510	 INTERMEDIARY BANK CLEARING CODE	 0017	 	 	
01	 0520	 INTERMEDIARY BANK CLEARING CTYPE	 0008	 	 	
01	 0530	 SENDER INFO/SPECIAL INSTR 3	 0035	 	 	
01	 0540	 RECEIVER INFO/SPECIAL INSTR 4	 0015	 	 	
01	 0550	 ORDER INFO/SPECIAL INSTR 5	 0070	 	 	
01	 0560	 DEBTOR REFERENCE/SPECIAL INSTR 6	 0070	 	 	
01	 0570	 ORDER PARTY REFERENCE(CUST REF)	 0035	 FUNCTION	 FN_REF	
01	 0580	 MAILING NAME	 0070	 TABLE	 LFB1-ZSABE	
01	 0590	 FAX NUMBER	 0035	 FUNCTION	 FN_FAX	
01	 0600	 REMARKS/YOUR/SENDER REFERENCE	 0040	 FUNCTION	 FN_PDL1	
01	 0610	 PARTICULARS/MISC/RECEIVER REF	 0012	 	 	
01	 0620	 ORDER DATE	 0008	 	 	
01	 0630	 TRANSACTION TYPE	 0003	 TABLE	 T042N-BKTCP	
01	 0640	 PAYMENT ID	 0025	 TABLE	 REGUH-ZBUKR,BKPF-GJAHR,REGUH-VBLNR	
01	 0650	 NO OF WTX RECORD	 0010	 	 	
01	 0660	 EXTENDED PAYMENT DETAILS	 0000	 FUNCTION	 INSERT_DETAILS	
01	 0670	 RESERVE	 0100	 	 	
02	 0010	 CREDIT/DEBIT ACCOUNT	 0035	 TABLE	 REGUH-UBKNT	
02	 0020	 CREDIT/DEBIT ACCOUNT CURRENCY	 0003	 TABLE	 T012K-WAERS	
02	 0030	 CHARGE ACCOUNT	 0035	 TABLE	 T012D-DTGBK	 REGUH-UBKNT
02	 0040	 CHARGE ACCOUNT CURRENCY	 0003	 TABLE	 T012D-DTGIS	 T012K-WAERS
02	 0050	 PAYMENT MODE	 0003	 	 CNS	
02	 0060	 INSTRUCTION FOR CHARGES	 0003	 TABLE	 T042I-GEBKZ	 15
02	 0070	 URGENT/SINGLE PAYMENT FLAG	 0001	 	 	
02	 0080	 SINGLE DEBIT FLAG	 0001	 	 	
02	 0090	 TRANSACTION CURRENCY	 0003	 TABLE	 REGUH-WAERS	
02	 0100	 TRANSACTION DATE	 0008	 TABLE	 REGUH-VALUT+6(2),REGUH-VALUT+4(2),REGUH-VALUT+0(4)	
02	 0110	 TRANSACTION DATE TYPE	 0002	 	 	
02	 0120	 BULK REFERENCE/ORDERER REFERENCE	 0035	 TABLE	 REGUH-LAUFI,REGUH-LAUFD	 OUT,SY-DATUM,SY-UZEIT
02	 0130	 BUSINESS CATEGORY	 0003	 	 	
02	 0140	 BUSINESS DESCRIPTIONS	 0035	 	 	
02	 0150	 SCHEDULE DATE	 0008	 	 	
02	 0160	 RESTRICTED PAYMENT FLAG	 0001	 FUNCTION	 FN_RPF	
02	 0170	 RESERVE	 0100	 	 	
02	 0180	 TRANSACTION AMOUNT	 0015	 FUNCTION	 FN_TA	
02	 0190	 PAYMENT INSTRUCTIONS	 0008	 	 	
02	 0200	 PAYMENT DETAILS LINE 1	 0035	 TABLE	 LFBK-BKREF	
02	 0210	 PAYMENT DETAILS LINE 2	 0035	 FUNCTION	 FN_PDL1	
02	 0220	 PAYMENT DETAILS LINE 3	 0035	 FUNCTION	 FN_PDL2	
02	 0230	 PAYMENT DETAILS LINE 4	 0035	 FUNCTION	 FN_PDL3	
02	 0240	 SPECIAL INSTRUCTIONS LINE1	 0035	 	 	
02	 0250	 SPECIAL INSTRUCTIONS LINE2	 0035	 	 	
02	 0260	 BENEFICIARY CODE	 0012	 FUNCTION	 FN_BEN	
02	 0270	 BENEFICIARY NAME	 0035	 TABLE	 BSEC-NAME1,,BSEC-NAME2	 ADRC-NAME1,,ADRC-NAME2
02	 0280	 BENEFICIARY ACCOUNT	 0035	 TABLE	 REGUH-ZBNKN	
02	 0290	 BANEFICIARY ACCOUNT CCY	 0003	 	 	
02	 0300	 BENEFICIARY ACCOUNT TYPE	 0035	 	 	
02	 0310	 BENEFICIARY ADDRESS LINE1	 0035	 	 	
02	 0320	 BENEFICIARY ADDRESS LINE2	 0035	 	 	
02	 0330	 BENEFICIARY ADDRESS LINE3	 0035	 	 	
02	 0340	 BENEFICIARY COUNTRY OF RESIDENCE	 0002	 	 	
02	 0350	 BENEFICIARY BRANCH CODE	 0010	 	 	
02	 0360	 BENEFICIARY BRANCH NAME	 0035	 TABLE	 BNKA-BRNCH	
02	 0370	 BENEFICIARY BANK NAME	 0035	 TABLE	 BNKA-BANKA	
02	 0380	 BENEFICIARY BANK SWIFT	 0011	 	 	
02	 0390	 BENEFICIARY BANK CLEARING CODE	 0007	 TABLE	 REGUH-ZBNKY	
02	 0400	 BENEFICIARY BANK CLEARING CODE T	 0008	 	 	
02	 0410	 BENEFICIARY BANK ADDRESS LINE 1	 0035	 	 	
02	 0420	 BENEFICIARY BANK ADDRESS LINE 2	 0035	 	 	
02	 0430	 BENEFICIARY BANK ADDRESS LINE 3	 0035	 TABLE	 BNKA-PROVZ	
02	 0440	 BENEFICIARY BANK COUNTRY	 0002	 TABLE	 REGUH-ZBNKS	
02	 0450	 INTERMEDIARY BANK NAME	 0035	 	 	
02	 0460	 INTERMEDIARY BANK ADDRESS LINE 1	 0035	 	 	
02	 0470	 INTERMEDIARY BANK ADDRESS LINE 2	 0035	 	 	
02	 0480	 INTERMEDIARY BANK ADDRESS LINE 3	 0035	 	 	
02	 0490	 INTERMEDIARY BANK COUNTRY	 0002	 	 	
02	 0500	 INTERMEDIARY BANK SWIFT	 0011	 	 	
02	 0510	 INTERMEDIARY BANK CLEARING CODE	 0017	 	 	
02	 0520	 INTERMEDIARY BANK CLEARING CTYPE	 0008	 	 	
02	 0530	 SENDER INFO/SPECIAL INSTR 3	 0035	 	 	
02	 0540	 RECEIVER INFO/SPECIAL INSTR 4	 0070	 	 	
02	 0550	 ORDER INFO/SPECIAL INSTR 5	 0070	 	 	
02	 0560	 DEBTOR REFERENCE/SPECIAL INSTR 6	 0070	 	 	
02	 0570	 ORDER PARTY REFERENCE(CUST REF)	 0012	 TABLE	 REGUH-VBLNR	
02	 0580	 MAILING NAME	 0070	 	 	
02	 0590	 FAX NUMBER	 0035	 FUNCTION	 FN_FAX	
02	 0600	 REMARKS/YOUR/SENDER REFERENCE	 0070	 	 	
02	 0610	 PARTICULARS/MISC/RECEIVER REF	 0105	 	 	
02	 0620	 ORDER DATE	 0008	 	 	
02	 0630	 TRANSACTION TYPE	 0003	 	 	
02	 0640	 PAYMENT ID	 0025	 TABLE	 REGUH-ZBUKR,BKPF-GJAHR,REGUH-VBLNR	
02	 0650	 NO OF WTX RECORD	 0010	 	 	
02	 0660	 EXTENDED PAYMENT DETAILS	 0000	 FUNCTION	 INSERT_DETAILS	
02	 0670	 RESERVE	 0100	 	 	
03	 0010	 CREDIT/DEBIT ACCOUNT	 0035	 TABLE	 REGUH-UBKNT	
03	 0020	 CREDIT/DEBIT ACCOUNT CURRENCY	 0003	 TABLE	 T012K-WAERS	
03	 0030	 CHARGE ACCOUNT	 0035	 TABLE	 T012D-DTGBK	 REGUH-UBKNT
03	 0040	 CHARGE ACCOUNT CURRENCY	 0003	 TABLE	 T012D-DTGIS	 T012K-WAERS
03	 0050	 PAYMENT MODE	 0003	 	 WT	
03	 0060	 INSTRUCTION FOR CHARGES	 0003	 TABLE	 T042I-GEBKZ	 15
03	 0070	 URGENT/SINGLE PAYMENT FLAG	 0001	 	 Y	
03	 0080	 SINGLE DEBIT FLAG	 0001	 	 	
03	 0090	 TRANSACTION CURRENCY	 0003	 TABLE	 REGUH-WAERS	
03	 0100	 TRANSACTION DATE	 0008	 TABLE	 REGUH-VALUT+6(2),REGUH-VALUT+4(2),REGUH-VALUT+0(4)	
03	 0110	 TRANSACTION DATE TYPE	 0002	 	 	
03	 0120	 BULK REFERENCE/ORDERER REFERENCE	 0035	 FUNCTION	 FN_BULK	
03	 0130	 BUSINESS CATEGORY	 0003	 	 	
03	 0140	 BUSINESS DESCRIPTIONS	 0035	 	 	
03	 0150	 SCHEDULE DATE	 0008	 	 	
03	 0160	 RESTRICTED PAYMENT FLAG	 0001	 FUNCTION	 FN_RPF	
03	 0170	 RESERVE	 0100	 	 	
03	 0180	 TRANSACTION AMOUNT	 0015	 FUNCTION	 FN_TA	
03	 0190	 PAYMENT INSTRUCTIONS	 0008	 TABLE	 REGUH-DTAWS	
