SEED-AM: Derivation table for accounting indicator


MANDT	 MTPOS_CONT	 DISMM_CONT	 MATKL_CONT	 MTPOS_EXEC	 DISMM_EXEC	 MATKL_EXEC	 VTWEG	 SERV_CONTR_CHE	 WARR_CHECK	 BEMOT	 Z_BEMOT_PC_PROD	 Z_BEMOT_CC_PROD	 Z_BEMOT_CC_SERV
X	 X	 X	 X	 X	 X	 X	 X	 	 	 	 	 	
MANDT-CLNT(3)	 MTPOS-CHAR(4)	 DISMM-CHAR(2)	 MATKL-CHAR(9)	 MTPOS-CHAR(4)	 DISMM-CHAR(2)	 MATKL-CHAR(9)	 VTWEG-CHAR(2)	 XCHAR-CHAR(1)	 XCHAR-CHAR(1)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)
100	 	 	 	 ZS00	 Z2	 	 11	 X	 X	 1E	 1W	 2W	 3W
100	 	 	 	 ZS00	 Z3	 	 11	 X	 X	 1E	 1W	 2W	 3W
100	 	 	 	 ZS02	 Z2	 	 11	 X	 X	 1E	 1W	 2W	 3W
100	 	 	 	 ZS02	 Z3	 	 11	 X	 X	 1E	 1W	 2W	 3W
100	 	 	 	 ZS02	 Z3	 042ZECB1	 11	 	 	 1W	 	 	
100	 	 	 	 ZS03	 Z2	 	 11	 X	 X	 1E	 1W	 2W	 3W
100	 	 	 	 ZS03	 Z2	 042ZFTF	 11	 X	 X	 1S	 	 	
100	 	 	 	 ZS03	 Z2	 043CSP	 21	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z2	 043ZECB1	 11	 	 	 1W	 	 	
100	 	 	 	 ZS03	 Z3	 	 11	 X	 X	 1E	 1W	 2W	 3W
100	 	 	 	 ZS03	 Z3	 043XIS	 	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z3	 043XSUP	 	 	 	 1S	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS	 	 	 	 1S	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS01	 	 	 	 1S	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS02	 	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS03	 	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS04	 	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS05	 	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS06	 	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS07	 	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS08	 	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS09	 	 	 	 1I	 	 	
100	 	 	 	 ZS03	 Z3	 043YIS10	 	 	 	 1S	 	 	
100	 	 	 	 ZS03	 Z3	 043ZECB1	 11	 	 	 1W	 	 	
100	 	 	 	 ZS03	 Z3	 043ZIS01	 	 	 	 1S	 	 	
100	 	 	 	 ZS03	 Z3	 043ZIS02	 	 	 	 1I	 	 	
