Adv Ship SO: stor.locations not to be copied from SEO


MANDT	 WERKS	 LGORT
X	 X	 X
MANDT-CLNT(3)	 WERKS-CHAR(4)	 LGORT-CHAR(4)
100	 PL01	 2111
100	 PL01	 2121
100	 PL01	 2122
100	 PL01	 2131
100	 PL01	 2132
100	 PL01	 2133
100	 PL01	 2134
100	 PL01	 2135
100	 PL01	 2136
100	 PL01	 2137
100	 PL01	 2138
100	 PL01	 2139
100	 PL01	 213A
100	 PL01	 2140
100	 PL01	 2141
100	 PL01	 2142
100	 PL01	 2143
100	 PL01	 2144
100	 PL01	 2145
100	 PL01	 2146
100	 PL01	 2147
100	 PL01	 2148
100	 PL01	 2149
100	 PL01	 2211
100	 PL01	 2212
100	 PL01	 2213
100	 PL01	 2214
100	 PL01	 2215
100	 PL01	 2216
100	 PL01	 2311
100	 PL01	 2312
100	 PL01	 2313
100	 PL01	 2321
100	 PL01	 2411
100	 PL01	 2412
100	 PL01	 2413
100	 PL02	 2111
100	 PL02	 2112
100	 PL02	 2121
100	 PL02	 2122
100	 PL02	 2123
100	 PL02	 2124
100	 PL02	 2125
100	 PL02	 2126
100	 PL02	 2127
100	 PL02	 2128
100	 PL02	 2129
100	 PL02	 212A
100	 PL02	 212B
100	 PL02	 213A
100	 PL02	 213B
100	 PL02	 2211
100	 PL02	 2212
100	 PL02	 2311
100	 PL07	 2702
100	 PL07	 2703
100	 PL07	 2704
100	 PL07	 2705
100	 PL07	 2706
100	 PL07	 2707
100	 PL07	 2708
100	 PL07	 2709
100	 PL07	 270A
100	 PL07	 270B
100	 PL07	 270C
100	 PL07	 270D
100	 PL07	 270E
100	 PL07	 270F
100	 PL07	 270G
100	 PL07	 4010
100	 PL07	 4020
100	 PL07	 4030
100	 PL09	 2111
100	 PL09	 2121
100	 PL09	 2122
100	 PL09	 2123
100	 PL09	 2124
100	 PL09	 2125
100	 PL09	 2126
100	 PL09	 2127
100	 PL09	 2128
100	 PL09	 2129
100	 PL09	 212B
100	 PL09	 212C
100	 PL09	 2211
100	 PL09	 2311
100	 PL09	 2312
100	 PL10	 2111
100	 PL10	 2121
100	 PL10	 2122
100	 PL10	 2123
100	 PL10	 2124
100	 PL10	 2125
100	 PL10	 2126
100	 PL10	 2127
100	 PL10	 2128
100	 PL10	 2129
100	 PL10	 212A
100	 PL10	 212B
100	 PL10	 212C
100	 PL10	 2130
100	 PL10	 2311
100	 PL10	 2312
100	 PL10	 2313
