YSE: mapping CC- Segment - FAM code


MANDT	 BUKRS	 SEGMENT	 ZFAM
X	 X	 X	
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 FB_SEGMENT-CHAR(10)	 ZFAM-CHAR(3)
100	 CJAL	 0000002110	 CJB
100	 CJAL	 0000002120	 CJB
100	 CJAL	 0000002200	 CJB
100	 CJAL	 0000002310	 CJB
100	 CJAL	 0000002510	 CJB
100	 CJAL	 0000002610	 CJB
100	 CJAL	 0000002910	 CJB
100	 CJAL	 0000005310	 CJB
100	 CJAL	 MRS	 CJB
100	 CJAL	 SED	 CJB
100	 CJAL	 UMR	 CJB
100	 CJAL	 URE	 CJB
100	 CODA	 0000001110	 COD
100	 CODA	 0000001210	 COD
100	 CODA	 0000001310	 COD
100	 CODA	 0000001330	 COD
100	 CODA	 0000001410	 COD
100	 CODA	 0000001510	 COD
100	 CODA	 0000001610	 COD
100	 CODA	 0000002110	 COD
100	 CODA	 0000002120	 COD
100	 CODA	 0000002200	 COD
100	 CODA	 0000002510	 COD
100	 CODA	 0000002710	 COD
100	 CODA	 0000002740	 COD
100	 CODA	 0000003100	 COD
100	 CODA	 0000003110	 COD
100	 CODA	 0000003120	 COD
100	 CODA	 0000003130	 COD
100	 CODA	 0000005310	 COD
100	 CODA	 CTB	 COD
100	 CODA	 CTV	 COD
100	 CONA	 0000002710	 CON
100	 CONA	 0000002740	 CON
100	 CQCA	 0000001110	 CQC
100	 CQCA	 0000001120	 CQC
100	 CQCA	 0000001210	 CQC
100	 CQCA	 0000001211	 CQC
100	 CQCA	 0000001220	 CQC
100	 CQCA	 0000001310	 CQC
100	 CQCA	 0000001320	 CQC
100	 CQCA	 0000001330	 CQC
100	 CQCA	 0000001410	 CQC
100	 CQCA	 0000001510	 CQC
100	 CQCA	 0000001610	 CQC
100	 CQCA	 0000001611	 CQC
100	 CQCA	 0000001910	 CQC
100	 CQCA	 0000001911	 CQC
100	 CQCA	 0000002110	 CQC
100	 CQCA	 0000002120	 CQC
100	 CQCA	 0000002200	 CQC
100	 CQCA	 0000002310	 CQC
100	 CQCA	 0000002410	 CQC
100	 CQCA	 0000002420	 CQC
100	 CQCA	 0000002510	 CQC
100	 CQCA	 0000002610	 CQC
100	 CQCA	 0000002710	 CQC
100	 CQCA	 0000002740	 CQC
100	 CQCA	 0000002910	 CQC
100	 CQCA	 0000003100	 CQC
100	 CQCA	 0000003110	 CQC
100	 CQCA	 0000003120	 CQC
100	 CQCA	 0000003130	 CQC
100	 CQCA	 0000003300	 CQC
100	 CQCA	 0000003310	 CQC
100	 CQCA	 0000003320	 CQC
100	 CQCA	 0000003330	 CQC
100	 CQCA	 0000003910	 CQC
100	 CQCA	 0000005310	 CQC
100	 CQCA	 APE	 CQC
100	 CQCA	 AVR	 CQC
100	 CQCA	 CR	 CQC
100	 CQCA	 CRS	 CQC
100	 CQCA	 CTB	 CQC
100	 CQCA	 CTV	 CQC
100	 CQCA	 GAE	 CQC
100	 CQCA	 GAS	 CQC
100	 CQCA	 GPP	 CQC
100	 CQCA	 MRS	 CQC
100	 CQCA	 QAA	 CQC
100	 CQCA	 QAM	 CQC
100	 CQCA	 SED	 CQC
100	 CQCA	 UMR	 CQC
100	 CQCA	 URE	 CQC
100	 CQZA	 0000005310	 CQZ
100	 CQZA	 0000005410	 CQZ
100	 HKGA	 0000001110	 HKA
100	 HKGA	 0000001120	 HKA
100	 HKGA	 0000001210	 HKA
100	 HKGA	 0000001211	 HKA
100	 HKGA	 0000001220	 HKA
100	 HKGA	 0000001310	 HKB
100	 HKGA	 0000001320	 HKB
100	 HKGA	 0000001330	 HKB
100	 HKGA	 0000001410	 HKB
100	 HKGA	 0000001510	 HKA
100	 HKGA	 0000001610	 HKA
100	 HKGA	 0000001611	 HKA
100	 HKGA	 0000001910	 HKA
100	 HKGA	 0000001911	 HKA
100	 HKGA	 0000002110	 HKC
100	 HKGA	 0000002120	 HKC
100	 HKGA	 0000002200	 HKC
100	 HKGA	 0000002310	 HKC
100	 HKGA	 0000002410	 HKB
100	 HKGA	 0000002420	 HKB
100	 HKGA	 0000002510	 HKC
100	 HKGA	 0000002610	 HKC
100	 HKGA	 0000002710	 HKB
100	 HKGA	 0000002910	 HKC
100	 HKGA	 0000003100	 HKI
100	 HKGA	 0000003110	 HKI
100	 HKGA	 0000003120	 HKI
100	 HKGA	 0000003130	 HKI
100	 HKGA	 0000003300	 HKI
100	 HKGA	 0000003310	 HKI
100	 HKGA	 0000003320	 HKI
100	 HKGA	 0000003330	 HKI
100	 HKGA	 0000003910	 HKI
100	 HKGA	 0000005210	 HKH
100	 HKGA	 0000005310	 HKH
100	 HKGA	 0000009010	 HKH
100	 HKGA	 APE	 HKB
100	 HKGA	 AVR	 HKA
100	 HKGA	 CR	 HKB
100	 HKGA	 CRS	 HKB
100	 HKGA	 CTB	 HKA
100	 HKGA	 CTV	 HKA
100	 HKGA	 GAE	 HKA
100	 HKGA	 GAS	 HKA
100	 HKGA	 MRS	 HKC
100	 HKGA	 QAA	 HKA
100	 HKGA	 QAM	 HKA
100	 HKGA	 SED	 HKC
100	 HKGA	 UMR	 HKC
100	 HKGA	 URE	 HKC
100	 MRUA	 0000001110	 RUA
100	 MRUA	 0000001120	 RUJ
100	 MRUA	 0000001210	 RUA
100	 MRUA	 0000001211	 RUJ
100	 MRUA	 0000001220	 RUA
100	 MRUA	 0000001310	 RUE
100	 MRUA	 0000001320	 RUE
100	 MRUA	 0000001330	 RUE
100	 MRUA	 0000001410	 RUE
100	 MRUA	 0000001510	 RUA
100	 MRUA	 0000001610	 RUA
100	 MRUA	 0000001611	 RUJ
100	 MRUA	 0000001910	 RUA
100	 MRUA	 0000001911	 RUJ
100	 MRUA	 0000002110	 RUC
100	 MRUA	 0000002120	 RUC
100	 MRUA	 0000002200	 RUC
100	 MRUA	 0000002310	 RUC
100	 MRUA	 0000002410	 RUE
100	 MRUA	 0000002420	 RUE
100	 MRUA	 0000002510	 RUC
100	 MRUA	 0000002610	 RUC
100	 MRUA	 0000002710	 RUE
100	 MRUA	 0000002740	 RUE
100	 MRUA	 0000002910	 RUC
100	 MRUA	 0000003100	 RUI
100	 MRUA	 0000003110	 RUI
100	 MRUA	 0000003120	 RUI
100	 MRUA	 0000003130	 RUI
100	 MRUA	 0000003300	 RUI
100	 MRUA	 0000003310	 RUI
100	 MRUA	 0000003320	 RUI
100	 MRUA	 0000003330	 RUI
100	 MRUA	 0000003910	 RUI
100	 MRUA	 0000005210	 RUH
100	 MRUA	 0000005310	 RUH
100	 MRUA	 0000009010	 RUH
100	 MRUA	 0000009910	 RUH
100	 MRUA	 0000009920	 RUH
100	 MRUA	 ADH	 RUI
100	 MRUA	 APE	 RUE
100	 MRUA	 AVR	 RUA
100	 MRUA	 CR	 RUE
100	 MRUA	 CRS	 RUE
100	 MRUA	 CTB	 RUA
100	 MRUA	 CTV	 RUA
