Plant mapping for company code CJAL


MANDT	 ORIGINAL	 OLD_LGORT	 NEW_WERKS	 NEW_LGORT
X	 X	 X	 	
MANDT-CLNT(3)	 WERKS-CHAR(4)	 LGORT-CHAR(4)	 WERKS-CHAR(4)	 LGORT-CHAR(4)
100	 CN11	 1000	 CN71	 1000
100	 CN12	 1000	 CN72	 1000
100	 CN13	 1000	 CN73	 1000
100	 CN14	 1000	 CN84	 1000
100	 CN15	 1000	 CN79	 1000
100	 CN16	 1000	 CN80	 1000
100	 CN22	 1000	 CN74	 1000
100	 CN23	 1000	 CN81	 1000
100	 CN31	 1000	 CN83	 1000
100	 CN32	 1000	 CN82	 1001
100	 CN32	 1005	 CN82	 1002
100	 CN32	 1008	 CN82	 1003
100	 CN32	 1010	 CN82	 1004
100	 CN33	 1000	 CN75	 1000
100	 CN34	 1000	 CN76	 1000
100	 CN35	 1000	 CN85	 1000
100	 CN36	 1000	 CN77	 1000
100	 CN37	 1000	 CN78	 1000
100	 CN91	 1000	 CN93	 1000
