SEED Data upload STOCK


MANDT	 OLD_PRODH	 NEW_PRODH	 NEW_PRCTR
X	 X	 	
MANDT-CLNT(3)	 PRODH-CHAR(18)	 PRODH-CHAR(18)	 PRCTR-CHAR(10)
100	 43  430	 43  430	 0000001610
100	 43  431	 43  431	 0000001610
100	 43  432	 43  432	 0000001610
100	 43  433	 43  433	 0000001610
100	 43  434	 43  434	 0000001610
100	 43  435	 43  435	 0000001610
100	 43  436	 43  436	 0000001610
100	 43  437	 43  437	 0000001610
100	 43  438	 43  438	 0000001610
100	 43  439	 43  439	 0000001610
100	 43  43I	 43  43I	 0000001610
100	 43X 430X	 43X 430X	 0000001610
100	 43X 431X	 43X 431X	 0000001610
100	 43X 432X	 43X 432X	 0000001610
100	 43X 433X	 43X 433X	 0000001610
100	 43X 434X	 43X 434X	 0000001610
100	 43X 435X	 43X 435X	 0000001610
100	 43X 436X	 43X 436X	 0000001610
100	 43X 437X	 43X 437X	 0000001610
100	 43X 438X	 43X 438X	 0000001610
100	 43X 439X	 43X 439X	 0000001610
100	 49H 49H0	 49H 49H0	 0000001610
100	 49H 49H1	 49H 49H1	 0000001610
100	 49H 49H2	 49H 49H2	 0000001610
100	 49H 49H3	 49H 49H3	 0000001610
100	 49H 49H4	 49H 49H4	 0000001610
100	 49H 49H9	 49H 49H9	 0000001610
100	 49J 49AM	 49J 49AM	 0000001610
100	 49J 49BM	 49J 49BM	 0000001610
100	 49J 49CM	 49J 49CM	 0000001610
100	 49M 490M	 49M 490M	 0000001610
100	 49M 491M	 49M 491M	 0000001610
100	 49M 492M	 49M 492M	 0000001610
100	 49M 494M	 49M 494M	 0000001610
100	 49M 495M	 49M 495M	 0000001610
100	 49M 496M	 49M 496M	 0000001610
100	 49M 498M	 49M 498M	 0000001610
100	 49M 49AM	 49J 49AM	 0000001610
100	 49M 49BM	 49J 49BM	 0000001610
100	 49M 49CM	 49J 49CM	 0000001610
100	 49M 49EM	 49V 49EM	 0000001610
100	 49M 49KM	 49M 49KM	 0000001610
100	 49M 49WM	 49V 49WM	 0000001610
100	 49M 49ZM	 49M 49ZM	 0000001610
100	 49P 490	 49P 490	 0000001610
100	 49P 491	 49P 491	 0000001610
100	 49P 492	 49P 492	 0000001610
100	 49P 494	 49P 494	 0000001610
100	 49P 495	 49P 495	 0000001610
100	 49P 496	 49P 496	 0000001610
100	 49P 498	 49P 498	 0000001610
100	 49P 499	 49P 499	 0000001610
100	 49P 49A	 49S 49A	 0000001610
100	 49P 49B	 49S 49B	 0000001610
100	 49P 49C	 49S 49C	 0000001610
100	 49P 49E	 49T 49E	 0000001610
100	 49P 49K	 49P 49K	 0000001610
100	 49P 49W	 49T 49W	 0000001610
100	 49P 49Z	 49P 49Z	 0000001610
100	 49Q 497	 49Q 497	 0000001610
100	 49Q 49D	 49Q 49D	 0000001610
