EM: Sales Order History 12 month (migration)


MANDT	 PERIOD	 MATNR	 VKORG	 VTWEG	 BZIRK	 WERKS	 ZMENG	 ZLINE
X	 X	 X	 X	 X	 X	 X	 	
MANDT-CLNT(3)	 ZPER-ACCP(6)	 MATNR-CHAR(18)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 BZIRK-CHAR(6)	 WERKS-CHAR(4)	 ZMENG13-QUAN(13)	 ZLINE-DEC(6)
100	 000001	 38	 	 	 	 	 0.000 	 0
100	 000002	 38	 	 	 	 	 0.000 	 0
100	 000003	 38	 	 	 	 	 0.000 	 0
100	 000017	 38	 	 	 	 	 0.000 	 0
100	 000090	 38	 	 	 	 	 0.000 	 0
100	 201201	 1620991234	 PL01	 11	 CH0010	 AFRA	 10.000 	 1
100	 201202	 8431027700	 HK01	 11	 CH0020	 BGAA	 20.000 	 2
100	 201203	 1620991234	 PL01	 11	 CH0010	 AFRA	 100.000 	 1
100	 201203	 8431027700	 HK01	 11	 CH0020	 BGAA	 20.000 	 2
100	 201203	 9753400126	 HK01	 11	 CH0030	 CHAA	 30.000 	 3
100	 201203	 9753400217	 HK01	 11	 CH0040	 CN01	 40.000 	 4
100	 201203	 9753400244	 PL01	 21	 CH0050	 CN02	 50.000 	 5
100	 201204	 9753400217	 HK01	 11	 CH0040	 CN01	 40.000 	 4
100	 201205	 9753400217	 HK01	 11	 CH0040	 CN01	 40.000 	 4
100	 201205	 9753400244	 PL01	 21	 CH0050	 CN02	 50.000 	 5
100	 201206	 9753400244	 PL01	 21	 CH0050	 CN02	 50.000 	 5
100	 201209	 9753400126	 HK01	 11	 CH0030	 CHAA	 0.000 	 3
100	 201209	 9753400217	 HK01	 11	 CH0040	 CN01	 40.000 	 4
100	 201211	 9753400244	 PL01	 21	 CH0050	 CN02	 50.000 	 5
100	 201310	 000000001620991234	 PL01	 11	 CH0010	 AFRA	 222.000-	 2-
