China Yunnan financial report account assignment


MANDT	 LINE	 ITEM	 SAKNR	 DTRES
X	 X	 X	 	
MANDT-CLNT(3)	 CHAR10-CHAR(10)	 BUZEI-NUMC(3)	 SAKNR-CHAR(10)	 CHAR(2)
100	 BS01	 001	 0001930007	 30
100	 BS06	 001	 0001511901	 11
100	 BS07	 001	 0001680001	 40
100	 BS08	 001	 0001480901	 41
100	 BS10	 001	 0001441901	 12
100	 BS10	 002	 0001441902	 12
100	 BS10	 003	 0001441903	 12
100	 BS39	 001	 0001110904	 50
100	 BS39	 002	 0001221901	 50
100	 BS39	 003	 0001224901	 50
100	 BS39	 004	 0001225901	 50
100	 BS39	 005	 0001241901	 50
100	 BS39	 006	 0001251901	 50
100	 BS40	 001	 0001119904	 51
100	 BS40	 002	 0001229910	 51
100	 BS40	 003	 0001229940	 51
100	 BS40	 004	 0001229950	 51
100	 BS40	 005	 0001249910	 51
100	 BS40	 006	 0001259901	 51
100	 BS54	 001	 0001012901	 50
100	 BS54	 002	 0001019901	 51
100	 BS63	 001	 0002441901	 41
100	 BS64	 001	 0002421901	 42
100	 BS68	 001	 0002611202	 30
100	 BS68	 002	 0002641002	 30
100	 BS68	 003	 0002650200	 30
100	 BS68	 004	 0002511001	 40
100	 BS68	 005	 0002710001	 40
100	 BS70	 001	 0001960131	 30
100	 BS71	 001	 0002998205	 30
100	 PL01	 001	 0003210901	 10
100	 PL02	 001	 0004010002	 10
100	 PL02	 002	 0004210901	 10
100	 PL02	 003	 0004602001	 20
100	 PL02	 004	 0005410001	 20
100	 PL02	 005	 0005460001	 20
100	 PL02	 006	 0005530001	 20
100	 PL02	 007	 0005613001	 20
100	 PL02	 008	 0005615002	 20
100	 PL02	 009	 0005630004	 20
100	 PL02	 010	 0005831001	 20
100	 PL02	 011	 0005831002	 20
100	 PL02	 012	 0005890002	 20
100	 PL02	 013	 0006110001	 20
100	 PL02	 014	 0006150001	 20
100	 PL02	 015	 0006210001	 20
100	 PL02	 016	 0006250001	 20
100	 PL02	 017	 0006490001	 20
100	 PL02	 018	 0006840001	 20
100	 PL02	 019	 0006970200	 20
100	 PL02	 020	 0007211001	 20
100	 PL02	 021	 0007212002	 20
100	 PL02	 022	 0007215002	 20
100	 PL02	 023	 0007321001	 20
100	 PL02	 024	 0007389001	 20
100	 PL02	 025	 0007470001	 20
100	 PL02	 026	 0007583001	 20
100	 PL02	 027	 0007631001	 20
100	 PL02	 028	 0007631200	 20
100	 PL02	 029	 0007812901	 20
100	 PL02	 030	 0007821904	 20
100	 PL02	 031	 0007832910	 20
100	 PL02	 032	 0007832940	 20
100	 PL02	 033	 0007832950	 20
100	 PL02	 034	 0007835901	 20
100	 PL02	 035	 0009971999	 20
100	 PL02	 036	 0009972999	 20
100	 PL08	 001	 0006570001	 20
100	 PL08	 002	 0006570003	 20
100	 PL13	 001	 0003972002	 20
100	 PL13	 002	 0003972901	 20
100	 PL13	 003	 0003972902	 20
100	 PL13	 004	 0003973902	 20
100	 PL14	 001	 0007971001	 20
100	 PL14	 002	 0007971901	 20
100	 PL14	 003	 0007972001	 20
100	 PL14	 004	 0007972901	 20
100	 PL16	 001	 0008910001	 43
