Country wiae ISO Code


MANDAT	 SPRAS	 MSEHI	 ISOCODE
X	 X	 X	
MANDT-CLNT(3)	 SPRAS-LANG(1)	 MEINS-UNIT(3)	 ISOCD_UNIT-CHAR(3)
100	 R	 %	
100	 R	 %O	
100	 R	 1	
100	 R	 10	 359
100	 R	 22S	
100	 R	 2M	
100	 R	 2X	
100	 R	 4G	
100	 R	 4O	
100	 R	 4T	
100	 R	 A	 260
100	 R	 A87	
100	 R	 A93	
100	 R	 ACR	
100	 R	 AUD	
100	 R	 B34	
100	 R	 B45	
100	 R	 B47	
100	 R	 B73	
100	 R	 B75	
100	 R	 B78	
100	 R	 B84	
100	 R	 BAG	
100	 R	 BAR	 309
100	 R	 BOT	
100	 R	 BQK	
100	 R	 C10	
100	 R	 C36	
100	 R	 C38	
100	 R	 C39	
100	 R	 C3S	
100	 R	 C41	
100	 R	 C56	
100	 R	 CAD	
100	 R	 CCM	 111
100	 R	 CD	 282
100	 R	 CDM	
100	 R	 CHF	
100	 R	 CLP	
100	 R	 CM	 004
100	 R	 CM2	
100	 R	 CMH	
100	 R	 CNY	
100	 R	 CS	
100	 R	 CTL	
100	 R	 D10	
100	 R	 D41	
100	 R	 D46	
100	 R	 DB	
100	 R	 DEG	
100	 R	 DM	 005
100	 R	 DR	
100	 R	 DZ	
100	 R	 EA	
100	 R	 EE	
100	 R	 EML	
100	 R	 EUR	
100	 R	 F	 314
100	 R	 FA	
100	 R	 FT	
100	 R	 FT2	 073
100	 R	 FT3	 132
100	 R	 G	 163
100	 R	 G/L	
100	 R	 GAU	
100	 R	 GBP	
100	 R	 GC	
100	 R	 GHG	
100	 R	 GJ	
100	 R	 GKG	
100	 R	 GLI	
100	 R	 GLL	
100	 R	 GLM	
100	 R	 GM	
100	 R	 GM2	
100	 R	 GPH	
100	 R	 GQ	
100	 R	 GRO	
100	 R	 GW	
100	 R	 H	 356
100	 R	 HAR	 059
100	 R	 HKD	
100	 R	 HL	 122
100	 R	 HPA	 833
100	 R	 HZ	 290
100	 R	 IN	
100	 R	 IN2	
100	 R	 IN3	
100	 R	 J	 271
100	 R	 JHR	
100	 R	 JKG	
100	 R	 JMO	
100	 R	 K	 288
100	 R	 KA	
100	 R	 KAN	
100	 R	 KAR	
100	 R	 KBK	
100	 R	 KG	 166
100	 R	 KGF	
100	 R	 KGK	
100	 R	 KGM	
100	 R	 KGS	
100	 R	 KGT	
100	 R	 KGV	
100	 R	 KGW	
100	 R	 KHZ	 291
100	 R	 KI	
100	 R	 KJ	 273
100	 R	 KJK	
100	 R	 KJM	
100	 R	 KM	 008
100	 R	 KM2	 061
100	 R	 KMH	 333
100	 R	 KMK	
100	 R	 KMN	
100	 R	 KMS	
100	 R	 KMT	
100	 R	 KOH	
100	 R	 KPA	 297
100	 R	 KT	 112
100	 R	 KV	 223
100	 R	 KVA	 227
100	 R	 KW	 214
100	 R	 KWH	
100	 R	 KWK	
100	 R	 L	
100	 R	 L2	
100	 R	 LB	
100	 R	 LCU	
100	 R	 LE	
100	 R	 LHK	
100	 R	 LMS	
100	 R	 LPH	
100	 R	 M	 006
100	 R	 M%	
100	 R	 M%O	
100	 R	 M/S	 328
100	 R	 M2	 055
100	 R	 M2I	
100	 R	 M2S	
100	 R	 M3	 113
100	 R	 M3M	
100	 R	 M3S	
100	 R	 MA	
100	 R	 MBA	
100	 R	 MBZ	
100	 R	 ME	
100	 R	 MEJ	
100	 R	 MG	 161
100	 R	 MGF	
100	 R	 MGG	
100	 R	 MGK	
100	 R	 MGL	
100	 R	 MGQ	
100	 R	 MGW	
100	 R	 MHZ	 292
100	 R	 MI	 126
100	 R	 MI2	
100	 R	 MIL	 798
100	 R	 MIM	 003
100	 R	 MIN	 355
100	 R	 MIS	
100	 R	 MJ	
100	 R	 ML	
100	 R	 MLK	
100	 R	 MLW	
100	 R	 MM	 003
100	 R	 MM2	 050
100	 R	 MMA	
100	 R	 MMG	
100	 R	 MMH	
100	 R	 MMK	
100	 R	 MMO	
100	 R	 MMQ	 110
100	 R	 MMS	
100	 R	 MNM	
100	 R	 MOK	
100	 R	 MOL	
100	 R	 MON	
100	 R	 MPA	 298
100	 R	 MPB	
100	 R	 MPG	
100	 R	 MPM	
100	 R	 MPS	
