Table to stear Standard text elements for layouts


MANDT	 KSCHL	 KAPPL	 FNAME	 AREA	 WERKS	 BUKRS	 VKORG	 EKORG	 SPART	 TDNAME
X	 X	 X	 X	 X	 X	 X	 X	 X	 X	
MANDT-CLNT(3)	 KSCHL-CHAR(4)	 KAPPL-CHAR(2)	 TDSFNAME-CHAR(30)	 YSE_AREA-CHAR(30)	 WERKS-CHAR(4)	 BUKRS-CHAR(4)	 VKORG-CHAR(4)	 EKORG-CHAR(4)	 SPART-CHAR(2)	 TDOBNAME-CHAR(70)
100	 	 	 YSE_ACC_STAT_02	 FOOTER	 	 HKGA	 	 	 	 YSE_FOOTER_HKGA_BOTTOM
100	 	 	 YSE_ACC_STAT_03	 FOOTER	 	 MRUA	 	 	 	 YSE_FOOTER_MRUA_BOTTOM
100	 	 	 YSE_ACT_ACCEPT_Z3	 END_TXT	 	 MRUA	 	 	 	 YSE_QUOT_END_TXT_MRUA2
100	 	 	 YSE_ACT_ACCEPT_Z3	 END_TXT	 	 XRAA	 	 	 	 YSE_QUOT_END_TXT_MRUA2
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 RU01	 	 01	 YSE_FOOTER_RU01_AC
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 RU01	 	 03	 YSE_FOOTER_RU01_CE
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 RU01	 	 04	 YSE_FOOTER_RU01_CP
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 RU02	 	 01	 YSE_FOOTER_RU02_AC
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 RU03	 	 01	 YSE_FOOTER_RU03_AC
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 RU03	 	 03	 YSE_FOOTER_RU03_CP
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 RU03	 	 04	 YSE_FOOTER_RU03_CP
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 RU03	 	 15	 YSE_FOOTER_RU03_CP
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 RU04	 	 41	 YSE_FOOTER_RU04_AC
100	 	 	 YSE_ACT_ACCEPT_Z3	 FOOTER	 	 	 XR01	 	 41	 YSE_FOOTER_RU04_AC
100	 	 	 YSE_ACT_ACCEPT_Z3	 SIGN_AC	 	 MRUA	 	 	 	 YSE_QUOT_SIGNAC_MRUA_ACT
100	 	 	 YSE_ACT_ACCEPT_Z3	 SIGN_AC	 	 XRAA	 	 	 	 YSE_QUOT_SIGNAC_MRUA_ACT
100	 	 	 YSE_ACT_ACCEPT_Z3	 SIGN_CUST	 	 MRUA	 	 	 	 YSE_QUOT_SIGNCUST_MRUA_ACT
100	 	 	 YSE_ACT_ACCEPT_Z3	 SIGN_CUST	 	 XRAA	 	 	 	 YSE_QUOT_SIGNCUST_MRUA_ACT
100	 	 	 YSE_ACT_ACCEPT_Z3	 SIGN_SAL	 	 MRUA	 	 	 	 YSE_QUOT_SIGNSAL_MRUA
100	 	 	 YSE_ACT_ACCEPT_Z3	 SIGN_SAL	 	 XRAA	 	 	 	 YSE_QUOT_SIGNSAL_MRUA
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 CN01	 	 01	 YSE_FOOTER_CN01
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 CN02	 	 01	 YSE_FOOTER_CN02_02
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 CN03	 	 01	 YSE_FOOTER_CN03_AC
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 HK01	 	 01	 YSE_FOOTER_HK01_03
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 HK02	 	 01	 YSE_FOOTER_HK02
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 HK03	 	 01	 YSE_FOOTER_HK03_AC
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 HK03	 	 04	 YSE_FOOTER_HK03_CP
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 HK03	 	 15	 YSE_FOOTER_HK03_CP
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 HK03	 	 16	 YSE_FOOTER_HK03_CP
100	 	 	 YSE_AM_CONTRACTCONF_Z1	 FOOTER	 	 	 HK03	 	 40	 YSE_FOOTER_HK03_AC
100	 	 	 YSE_AM_INVOICE	 END_TXT	 	 HKGA	 	 	 	 YSE_INV_END_TXT_HKGA
100	 	 	 YSE_AM_INVOICE	 END_TXT	 	 POLA	 	 	 	 YSE_INV_END_TXT_POLA_AM
100	 	 	 YSE_AM_INVOICE	 FOOTER	 	 	 PL01	 	 01	 YSE_FOOTER_POLA
100	 	 	 YSE_AM_INVOICE	 FOOTER	 	 	 PL02	 	 01	 YSE_FOOTER_POLA
