Log the GT_ITEMS of program YRD_SD_DTC_AUTOMATION_02


MANDT	 GUID	 ERDAT	 ERZET	 SEQUEN	 .INCLUDE	 ID	 DOCUMENT_CATEGORY_SD	 DOCUMENT_NUMB	 DOCUMENT_ITEM	 QUANTITY_SALES_UOM	 SALES_UNIT	 MATERIAL
X	 X	 X	 X	 X	 	 	 	 	 	 	 	
MANDT-CLNT(3)	 SYSUUID_C-CHAR(32)	 DATUM-DATS(8)	 UZEIT-TIMS(6)	 ANZAUSP-NUMC(4)	 ()	 INT4-INT4(10)	 VBTYP-CHAR(1)	 VBELN-CHAR(10)	 POSNR-NUMC(6)	 FLTP-FLTP(16)	 MEINS-UNIT(3)	 MATNR-CHAR(18)
100	 20160708033422	 20160708	 033422	 0001	 100 	 t	 12345678	 000010	 3.0000000000000000E+00	 KG	 234423	 234423
100	 20160708033422	 20160708	 033422	 0002	 100 	 t	 12345678	 000010	 8.0000000000000000E+00	 KG	 234423	 234423
100	 20160708034621	 20160708	 034621	 0001	 100 	 t	 12345678	 000010	 3.0000000000000000E+00	 KG	 234423	 234423
100	 20160708034621	 20160708	 034621	 0002	 100 	 t	 12345678	 000010	 8.0000000000000000E+00	 KG	 234423	 234423
100	 20160708034632	 20160708	 034632	 0001	 100 	 t	 12345678	 000010	 3.0000000000000000E+00	 KG	 234423	 234423
100	 20160708034632	 20160708	 034632	 0002	 100 	 t	 12345678	 000010	 8.0000000000000000E+00	 KG	 234423	 234423
100	 20160711044342	 20160711	 000000	 0001	 100 	 t	 12345678	 000010	 3.0000000000000000E+00	 KG	 234423	 234423
100	 20160711044342	 20160711	 000000	 0002	 100 	 t	 12345678	 000010	 8.0000000000000000E+00	 KG	 234423	 234423
100	 20160711044342	 20160711	 044343	 0001	 100 	 t	 12345678	 000010	 3.0000000000000000E+00	 KG	 234423	 234423
100	 20160711044342	 20160711	 044343	 0002	 100 	 t	 12345678	 000010	 8.0000000000000000E+00	 KG	 234423	 234423
