Mapping of  material profit center


MANDT	 PRCTR_OLD	 PRCTR_NEW
X	 X	 X
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 PRCTR-CHAR(10)
100	 0000000015	 85T5
100	 0000000017	 0000000113
100	 0000000018	 0000000110
100	 0000000019	 0000000113
100	 0000000026	 0000000126
100	 0000000028	 85T6
100	 0000000036	 85TA
100	 0000000037	 85TC
100	 0000000038	 85TS
100	 0000000045	 I45S
100	 0000000051	 O51A
100	 0000000053	 GT00
100	 0000000054	 O542
100	 0000000056	 TC00
100	 0000000057	 O571
100	 0000000058	 O58A
100	 0000000059	 0000000041
100	 0000000070	 0000000125
100	 0000000071	 0000000129
100	 0000000076	 0000000131
100	 0000000077	 0000000132
100	 0000000088	 0000000275
100	 0000000215	 0000000121
100	 0000000217	 0000000122
100	 0000000218	 0000000116
100	 0000000219	 0000000117
100	 0000000257	 0000000256
100	 0000000269	 0000000128
100	 0000000274	 274P
100	 0000000280	 85TF
100	 0000000281	 85TX
100	 0000000286	 85TV
100	 0000000299	 299P
100	 0000000340	 0000000345
100	 0000000346	 0000000034
100	 0000000347	 0000000034
100	 0000000348	 0000000034
100	 0000000349	 0000000034
100	 0000000480	 O481
100	 0000000481	 O571
100	 0000000483	 O483
100	 0000000485	 O485
100	 0000000486	 O486
100	 0000000488	 O488
100	 0000000500	 GT11
100	 0000000501	 GT43
100	 0000000539	 GT10
100	 0000000541	 O541
100	 0000000542	 O542
100	 0000000543	 BR00
100	 0000000544	 CC00
100	 0000000547	 HN00
100	 0000000550	 0000000041
100	 0000000552	 I552
100	 0000000553	 0000000042
100	 0000000554	 0000000040
100	 0000000555	 O555
100	 0000000571	 O571
100	 0000000573	 O573
100	 0000000575	 O571
100	 0000000577	 O577
100	 0000000583	 O583
100	 0000000588	 O588
100	 0000000591	 0000000041
100	 0000000595	 SRIA
100	 0000000596	 I596
100	 0000000597	 O597
100	 0000000598	 O598
100	 0000000599	 O599
100	 0000000704	 0000000123
100	 0000000706	 0000000124
100	 0000000707	 0000000128
100	 0000000708	 0000000128
100	 0000000709	 0000000128
100	 0000000718	 0000000134
100	 0000000719	 0000000134
100	 0000000800	 85TG
100	 0000000802	 85TH
100	 0000000803	 85TJ
100	 0000000806	 85TE
100	 0000000811	 81BP
100	 0000005004	 GT26
100	 10AR	 85T6
100	 10L	 10HF
100	 10RR	 85T6
100	 11L	 10HF
100	 11R	 85T6
100	 12L	 10HF
100	 12P	 0000000114
100	 12Q	 0000000115
100	 13L	 10HF
100	 14L	 14HF
100	 15L	 10HF
100	 16AR	 85T6
100	 16CR	 85T6
100	 16JR	 85T6
100	 16L	 14HF
100	 17A	 0000000111
100	 17L	 16HF
100	 17Z	 0000000119
100	 18A	 0000000110
100	 18L	 16HF
100	 18S	 0000000109
100	 18Z	 0000000120
100	 19A	 0000000112
100	 19L	 16HF
100	 19Z	 0000000119
100	 20L	 10HF
100	 21L	 14HF
100	 21Z	 0000000118
100	 22Z	 0000000120
100	 243R	 257R
100	 272C	 272B
100	 286S	 85TW
100	 28A	 85TO
100	 28F	 85TY
100	 28L	 85T1
100	 28N	 85TQ
100	 28P	 85TR
100	 28X	 85TZ
100	 296R	 85T6
100	 298R	 85T6
100	 299R	 85T6
100	 30L	 18HF
100	 345R	 85T6
100	 34E	 34EH
100	 36S	 85TB
100	 37S	 85TD
100	 38S	 85TT
100	 38T	 85TU
100	 44A	 M44A
100	 44C	 I44C
100	 44D	 M44D
100	 44I	 M44I
100	 44L	 I44A
100	 44N	 M44N
100	 44P	 M44P
100	 44S	 M44S
100	 44T	 M44T
100	 44Z	 M44Z
100	 45A	 V45A
100	 45B	 45B0
100	 45C	 I45C
100	 45D	 I45R
100	 45E	 V45E
100	 45F	 45F0
100	 45G	 45G0
100	 45H	 45H0
100	 45J	 45JA
100	 45L	 I45L
100	 45M	 M45S
100	 45MV	 M45U
100	 45N	 I45N
100	 45P	 I45P
100	 45Q	 I45Q
100	 45S	 I45S
100	 45U	 I45U
100	 45V	 45V0
100	 45X	 M45L
100	 45XV	 M45Y
100	 45Y	 I45Y
100	 45Z	 I45Z
100	 46C	 I46C
100	 46G	 I46H
100	 46H	 46H0
100	 46I	 46I0
100	 46J	 46JA
100	 46K	 I46K
100	 46L	 I46E
100	 46M	 M46D
100	 46N	 M46K
100	 46P	 46P0
100	 46Q	 46QB
100	 46R	 I46O
100	 46V	 I46V
100	 46X	 46X0
100	 46Z	 M46V
100	 47C	 I47C
100	 47L	 I47A
100	 47M	 M47A
100	 47N	 I47B
100	 47V	 I47E
100	 47W	 I47F
100	 48A	 O48A
100	 48B	 O48B
100	 48C	 O48C
100	 48D	 O48D
100	 48E	 O48E
100	 48G	 O48G
100	 48J	 O48J
100	 48K	 O48K
100	 48L	 O573
100	 48U	 O486
100	 48V	 O48U
100	 48W	 O48W
100	 48X	 O48Y
100	 48Y	 O488
100	 49G	 ESNA
100	 49VC	 CWVA
100	 49VK	 CKVA
100	 49VL	 CLVA
100	 49VM	 PEVA
100	 49VO	 POVA
100	 4EB	 ESEM
100	 4ER	 ESEA
100	 50A1	 TP11
100	 50A2	 TP10
100	 50A3	 TP43
100	 50A4	 TP26
100	 50B1	 HC11
100	 50B2	 HC10
100	 50B3	 HC43
100	 50B4	 HC26
100	 50D	 RT11
100	 50G	 GO11
100	 50M1	 EC11
100	 50M2	 EC10
100	 50M3	 EC43
100	 50M4	 EC26
100	 50R	 RT10
100	 50S1	 GT27
100	 50S2	 GT27
100	 50S3	 GT20
100	 50T1	 TP27
100	 50T2	 TP27
100	 50T3	 TP20
100	 50U1	 EC27
100	 50U2	 EC27
100	 50U3	 EC20
