SE: P025 Parameters


MANDT	 BUKRS	 PLC	 CUS_WARR_MONTHS	 VEN_WARR_MONTHS	 KMATN	 LANGU
X	 X	 X	 	 	 	
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 CHAR003-CHAR(3)	 INT1-INT1(3)	 AANZM-INT1(3)	 MATNR-CHAR(18)	 SPRAS-LANG(1)
100	 CODA	 11	 24 	 12 	 	 E
100	 CODA	 12	 24 	 12 	 	 E
100	 CODA	 13	 24 	 12 	 	 E
100	 CODA	 14	 24 	 12 	 	 E
100	 CONA	 11	 0 	 18 	 000000010000122527	 1
100	 CONA	 12	 0 	 18 	 000000010000122527	 1
100	 CONA	 13	 0 	 18 	 000000010000122528	 1
100	 CONA	 14	 0 	 18 	 000000010000122528	 1
100	 CONA	 21	 24 	 12 	 	 1
100	 CONA	 22	 24 	 12 	 	 1
100	 CONA	 23	 24 	 12 	 	 1
100	 CONA	 24	 24 	 12 	 	 1
100	 CONA	 25	 24 	 12 	 	 1
100	 CONA	 26	 24 	 12 	 	 1
100	 CONA	 31	 24 	 12 	 	 1
100	 CONA	 32	 24 	 12 	 	 1
100	 CONA	 33	 24 	 12 	 	 1
100	 HKGA	 11	 0 	 18 	 000000010000122527	 E
100	 HKGA	 12	 0 	 18 	 000000010000122527	 E
100	 HKGA	 13	 0 	 18 	 000000010000122528	 E
100	 HKGA	 14	 0 	 18 	 000000010000122528	 E
100	 HKGA	 21	 24 	 12 	 	 E
100	 HKGA	 22	 24 	 12 	 	 E
100	 HKGA	 23	 24 	 12 	 	 E
100	 HKGA	 24	 24 	 12 	 	 E
100	 HKGA	 25	 24 	 12 	 	 E
100	 HKGA	 26	 24 	 12 	 	 E
100	 MRUA	 11	 12 	 18 	 000000010000122527	 R
100	 MRUA	 12	 12 	 18 	 000000010000122527	 R
100	 MRUA	 13	 12 	 18 	 000000010000122528	 R
100	 MRUA	 14	 12 	 18 	 000000010000122528	 R
100	 MRUA	 21	 24 	 12 	 	 R
100	 MRUA	 22	 24 	 12 	 	 R
100	 MRUA	 23	 24 	 12 	 	 R
100	 MRUA	 24	 24 	 12 	 	 R
100	 MRUA	 25	 24 	 12 	 	 R
100	 MRUA	 26	 24 	 12 	 	 R
100	 MRUA	 31	 12 	 12 	 	 R
100	 MRUA	 32	 12 	 12 	 	 R
100	 MRUA	 33	 12 	 12 	 	 R
100	 POLA	 11	 24 	 12 	 000000010000122527	 L
100	 POLA	 12	 24 	 12 	 000000010000122527	 L
100	 POLA	 13	 24 	 12 	 000000010000122528	 L
100	 POLA	 14	 24 	 12 	 000000010000122528	 L
100	 POLA	 21	 24 	 12 	 	 L
100	 POLA	 22	 24 	 12 	 	 L
100	 POLA	 23	 24 	 12 	 	 L
100	 POLA	 24	 24 	 12 	 	 L
100	 POLA	 25	 24 	 12 	 	 L
100	 POLA	 26	 24 	 12 	 	 L
100	 SHTA	 11	 0 	 18 	 000000010000122527	 1
100	 SHTA	 12	 0 	 18 	 000000010000122527	 1
100	 SHTA	 13	 0 	 18 	 000000010000122528	 1
100	 SHTA	 14	 0 	 18 	 000000010000122528	 1
100	 SHTA	 21	 24 	 12 	 	 1
100	 SHTA	 22	 24 	 12 	 	 1
100	 SHTA	 23	 24 	 12 	 	 1
100	 SHTA	 24	 24 	 12 	 	 1
100	 SHTA	 25	 24 	 12 	 	 1
100	 SHTA	 26	 24 	 12 	 	 1
100	 SHTA	 31	 24 	 12 	 	 1
100	 SHTA	 32	 24 	 12 	 	 1
100	 SHTA	 33	 24 	 12 	 	 1
