Table for DTC Plants


MANDT	 WERKS	 PSTYV
X	 X	 X
MANDT-CLNT(3)	 WERKS-CHAR(4)	 PSTYV-CHAR(4)
100	 RU01	 ZAS2
100	 RU01	 ZDTC
100	 RU02	 ZAS2
100	 RU02	 ZDTC
100	 RU03	 ZAS2
100	 RU03	 ZDTC
100	 RU04	 ZAS2
100	 RU04	 ZDTC
100	 RU05	 ZAS2
100	 RU05	 ZDTC
100	 RU06	 ZAS2
100	 RU06	 ZDTC
100	 RU07	 ZAS2
100	 RU07	 ZDTC
100	 RU08	 ZAS2
100	 RU08	 ZDTC
100	 RU09	 ZAS2
100	 RU09	 ZDTC
100	 RU10	 ZAS2
100	 RU10	 ZDTC
100	 RU11	 ZAS2
100	 RU11	 ZDTC
100	 RU12	 ZAS2
100	 RU12	 ZDTC
100	 RU13	 ZAS2
100	 RU13	 ZDTC
100	 RU14	 ZAS2
100	 RU14	 ZDTC
100	 RU15	 ZAS2
100	 RU15	 ZDTC
100	 RU16	 ZAS2
100	 RU16	 ZDTC
100	 RU20	 ZAS2
100	 RU20	 ZDTC
100	 RU21	 ZAS2
100	 RU21	 ZDTC
100	 RU50	 ZAS2
100	 RU50	 ZDTC
100	 RU51	 ZAS2
100	 RU51	 ZDTC
100	 RU52	 ZAS2
100	 RU52	 ZDTC
100	 RU53	 ZAS2
100	 RU53	 ZDTC
100	 RU54	 ZAS2
100	 RU54	 ZDTC
100	 RU55	 ZAS2
100	 RU55	 ZDTC
100	 RU56	 ZAS2
100	 RU56	 ZDTC
100	 RU57	 ZAS2
100	 RU57	 ZDTC
100	 RU58	 ZAS2
100	 RU58	 ZDTC
100	 RU59	 ZAS2
100	 RU59	 ZDTC
100	 RU60	 ZAS2
100	 RU60	 ZDTC
100	 RU61	 ZAS2
100	 RU61	 ZDTC
100	 RU62	 ZAS2
100	 RU62	 ZDTC
100	 RU63	 ZAS2
100	 RU63	 ZDTC
100	 RU64	 ZAS2
100	 RU64	 ZDTC
100	 RU70	 ZAS2
100	 RU70	 ZDTC
100	 RU71	 ZAS2
100	 RU71	 ZDTC
100	 RU72	 ZAS2
100	 RU72	 ZDTC
100	 RU73	 ZAS2
100	 RU73	 ZDTC
100	 RU74	 ZAS2
100	 RU74	 ZDTC
100	 RU75	 ZAS2
100	 RU75	 ZDTC
100	 RU90	 ZAS2
100	 RU90	 ZBIN
100	 RU90	 ZDTC
