Seed : Translation BPCS - SAP country codes


MANDT	 RPORIGBPCS	 RPORIG
X	 X	 X
MANDT-CLNT(3)	 LAND1-CHAR(3)	 LAND1-CHAR(3)
100	 101	 SE
100	 104	 NO
100	 106	 DK
100	 108	 FI
100	 110	 GB
100	 112	 CH
100	 114	 PT
100	 116	 AT
100	 120	 BE
100	 121	 LU
100	 122	 NL
100	 124	 FR
100	 124	 MC
100	 126	 IT
100	 128	 DE
100	 130	 AD
100	 130	 ES
100	 132	 GR
100	 134	 TR
100	 140	 MT
100	 141	 GI
100	 142	 IE
100	 144	 IS
100	 150	 RS
100	 151	 SI
100	 152	 HR
100	 153	 BA
100	 154	 MK
100	 155	 ME
100	 160	 PL
100	 161	 EE
100	 162	 LV
100	 163	 LT
100	 164	 RU
100	 166	 CZ
100	 167	 SK
100	 168	 HU
100	 170	 RO
100	 172	 BG
100	 174	 AL
100	 175	 UA
100	 176	 MD
100	 177	 GE
100	 178	 AM
100	 179	 AZ
100	 180	 KZ
100	 181	 TM
100	 182	 UZ
100	 183	 TJ
100	 184	 KG
100	 185	 BY
100	 210	 US
100	 220	 CA
100	 310	 MX
100	 312	 GT
100	 314	 HN
100	 316	 BZ
100	 318	 SV
100	 320	 NI
100	 322	 CR
100	 324	 PA
100	 330	 CU
100	 332	 HT
100	 334	 DO
100	 336	 PR
100	 340	 JM
100	 342	 TT
100	 344	 BB
100	 348	 BS
100	 350	 BM
100	 380	 AN
100	 410	 BR
100	 412	 CL
100	 414	 PE
100	 416	 CO
100	 418	 AR
100	 430	 VE
100	 440	 GY
100	 442	 SR
100	 444	 GF
100	 450	 EC
100	 452	 BO
100	 454	 PY
100	 456	 UY
100	 502	 DZ
100	 504	 TN
100	 506	 MA
100	 508	 CD
100	 510	 BW
100	 512	 ZM
100	 513	 MW
100	 514	 LS
100	 515	 ZW
100	 516	 ZA
100	 517	 NA
100	 520	 LY
100	 522	 EG
100	 524	 SD
100	 530	 MR
100	 532	 ML
100	 534	 NE
100	 536	 TD
100	 538	 SN
100	 539	 GW
100	 540	 GN
100	 541	 CV
100	 542	 GM
100	 544	 SL
100	 546	 LR
100	 548	 CI
100	 550	 BF
100	 552	 GH
100	 554	 TG
100	 556	 BJ
100	 558	 NG
100	 560	 CM
100	 562	 CF
100	 564	 GA
100	 566	 CG
100	 568	 BI
100	 568	 RW
100	 570	 AO
100	 580	 MZ
100	 582	 MG
100	 583	 RE
100	 584	 MU
100	 585	 SC
100	 586	 TZ
100	 588	 KE
100	 590	 UG
100	 592	 SO
100	 593	 DJ
100	 594	 ET
100	 610	 CY
100	 620	 IR
100	 622	 IL
100	 630	 LB
100	 632	 SY
100	 634	 IQ
100	 636	 JO
100	 638	 SA
100	 640	 KW
100	 642	 BH
100	 644	 QA
100	 646	 OM
100	 648	 YE
100	 652	 AE
100	 660	 AF
100	 710	 BT
100	 710	 IN
100	 720	 NP
100	 721	 MN
100	 730	 PK
100	 732	 BD
100	 734	 LK
100	 736	 MM
100	 738	 TH
100	 739	 LA
100	 742	 KH
100	 744	 VN
100	 745	 BN
100	 746	 MY
100	 747	 SG
100	 750	 ID
100	 762	 PH
100	 764	 HK
100	 766	 TW
100	 768	 JP
100	 770	 KR
100	 771	 CN
100	 772	 CN
100	 773	 KP
100	 810	 AU
100	 820	 NZ
