Seed : Creation / Maintenance of Materials via POPIC


MANDT	 ACTION	 USERNAME	 MATNR_POPIC	 ZDCFAM	 ZCCFAM	 ERDAT	 RPERR	 ZGSBER	 SPART	 RPDESC	 LOCDES	 LANGU	 BUOM	 MATKL	 RPPGC	 PRODH	 RPNWIG	 GEWEI	 RPSAFL	 RPORIG	 RPRG	 RPCUSC	 VENDOR	 PLIFZ	 BESTM	 SACCODE	 RPIP	 RPIPCURR	 TRPRICE	 TPCURR	 STPRS	 RPCURR	 MLPRICE	 MLCURR	 OVERWRITE	 ZGEWEI	 ZLAND	 EVERS
X	 X	 X	 X	 X	 X	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
MANDT-CLNT(3)	 ZACTION-CHAR(4)	 XUSER-CHAR(12)	 CHAR15-CHAR(15)	 ZDCFAM-CHAR(3)	 ZCCFAM-CHAR(3)	 DATUM-DATS(8)	 CHAR3-CHAR(3)	 ZGSBER-CHAR(3)	 SPART-CHAR(2)	 CHAR30-CHAR(30)	 CHAR30-CHAR(30)	 SPRAS-LANG(1)	 MEINS-UNIT(3)	 MATKL-CHAR(9)	 RKEG_WW007-CHAR(4)	 PRODH-CHAR(18)	 ZRPNWIG-DEC(9)	 MEINS-UNIT(3)	 ZRPSAFL-CHAR(1)	 LAND1-CHAR(3)	 MVGR2-CHAR(3)	 STAWN-CHAR(17)	 LIFNR-CHAR(10)	 DEC3-DEC(3)	 MENG13-QUAN(13)	 ZSAC-CHAR(1)	 WERT11-CURR(11)	 WAERS-CUKY(5)	 WERT11-CURR(11)	 WAERS-CUKY(5)	 WERT11V-CURR(11)	 WAERS-CUKY(5)	 WERT11-CURR(11)	 WAERS-CUKY(5)	 KREUZ-CHAR(1)	 MEINS-UNIT(3)	 LAND1-CHAR(3)	 EVERS-CHAR(2)
100	 	 SSARSG	 4700379164	 XBA	 XRA	 20170502	 	 CR	 41	 FAN	 Крыльчатка вентилятора	 R	 ST	 02	 YVC	 88Y YVC	 0.0 	 KG	 	 BE	 	 	 102000406	 21 	 1.000 	 	 1.00 	 RUB	 87.07 	 EUR	 1.00 	 RUB	 15798.00 	 RUB	 	 	 	
100	 	 SSARSG	 4700936438	 XBA	 XRA	 20170502	 	 CR	 41	 Bearing front	 Подшипник	 R	 ST	 02	 YVC	 88Y YVC	 2080.0 	 G	 	 RU	 	 	 102000406	 21 	 1.000 	 	 1.00 	 RUB	 158.44 	 EUR	 1.00 	 RUB	 1.00 	 RUB	 	 	 	
100	 	 SSARSG	 4700936439	 XBA	 XRA	 20170502	 	 CR	 41	 Roller Bearing	 Подшипник	 R	 ST	 02	 YVC	 88Y YVC	 2420.0 	 G	 	 RU	 	 	 102000406	 21 	 1.000 	 	 1.00 	 RUB	 123.62 	 EUR	 1.00 	 RUB	 1.00 	 RUB	 	 	 	
100	 	 SSARSG	 4700939958	 XBA	 XRA	 20170502	 	 CR	 41	 Relay	 Реле	 R	 ST	 02	 YVC	 88Y YVC	 60.0 	 G	 	 RU	 	 	 102000406	 21 	 1.000 	 	 1.00 	 RUB	 137.33 	 EUR	 1.00 	 RUB	 33920.00 	 RUB	 	 	 	
100	 	 SSARSG	 D110071301	 XBA	 XRA	 20170524	 	 CR	 41	 SHAFT AXLE	 Палец	 R	 ST	 02	 0VA	 880 0VA	 6580.0 	 G	 	 RU	 	 	 0102000932	 21 	 1.000 	 	 1.00 	 RUB	 119.69 	 EUR	 1.00 	 RUB	 42547.00 	 RUB	 	 	 	
100	 	 SSARSG	 D110080101	 XBA	 XRA	 20170524	 	 CR	 41	 DIPSTICK	 Щуп	 R	 ST	 02	 0VB	 880 0VB	 0.0 	 KG	 	 RU	 	 	 0102000932	 21 	 1.000 	 	 1.00 	 RUB	 47.35 	 EUR	 1.00 	 RUB	 8236.00 	 RUB	 	 	 	
100	 	 SSARSG	 D299000335	 XBA	 XRA	 20170502	 	 CR	 41	 GASHOSE SET EB 60/5	 Шланги газовые (комплект)	 R	 ST	 02	 0VY	 880 0VY	 4401.0 	 G	 	 RU	 	 	 102000406	 21 	 1.000 	 	 1.00 	 RUB	 112.18 	 EUR	 1.00 	 RUB	 14312.00 	 RUB	 	 	 	
100	 	 SSARSG	 D299000430	 XBA	 XRA	 20170502	 	 CR	 41	 TAMPERGUIDEPLATE-KIT	 Комп.тоннельных пластин	 R	 ST	 02	 0VY	 880 0VY	 104000.0 	 G	 	 RU	 	 	 102000406	 21 	 1.000 	 	 1.00 	 RUB	 673.47 	 EUR	 1.00 	 RUB	 211693.00 	 RUB	 	 	 	
