Consignee code


MANDT	 EKORG	 BSART	 MATKL	 EVERS	 LIFNR	 WERKS	 ZZCONSCODE
X	 X	 X	 X	 X	 X	 X	
MANDT-CLNT(3)	 EKORG-CHAR(4)	 BSART-CHAR(4)	 MATKL-CHAR(9)	 EVERS-CHAR(2)	 LIFNR-CHAR(10)	 WERKS-CHAR(4)	 ZCONSCODE-CHAR(1)
100	 RU01	 ZNB1	 01	 *	 0102000000	 *	 0
100	 RU01	 ZNB1	 01	 *	 0102000018	 *	 0
100	 RU01	 ZNB1	 01	 *	 0102000030	 *	 0
100	 RU01	 ZNB1	 01	 *	 0102000101	 *	 0
100	 RU01	 ZNB1	 01	 06	 0102000000	 *	 2
100	 RU01	 ZNB1	 01	 06	 0102000018	 *	 2
100	 RU01	 ZNB1	 01	 06	 0102000030	 *	 2
100	 RU01	 ZNB1	 01	 06	 0102000101	 *	 2
100	 RU01	 ZNB1	 01	 07	 0102000000	 *	 1
100	 RU01	 ZNB1	 01	 07	 0102000018	 *	 1
100	 RU01	 ZNB1	 01	 07	 0102000030	 *	 1
100	 RU01	 ZNB1	 01	 07	 0102000101	 *	 1
100	 RU01	 ZNB1	 02	 *	 0102000000	 *	 0
100	 RU01	 ZNB1	 02	 *	 0102000000	 RU12	 4
100	 RU01	 ZNB1	 02	 *	 0102000000	 RU14	 5
100	 RU01	 ZNB1	 02	 *	 0102000018	 *	 0
100	 RU01	 ZNB1	 02	 *	 0102000018	 RU12	 4
100	 RU01	 ZNB1	 02	 *	 0102000018	 RU14	 5
100	 RU01	 ZNB1	 02	 *	 0102000030	 *	 0
100	 RU01	 ZNB1	 02	 *	 0102000030	 RU12	 4
100	 RU01	 ZNB1	 02	 *	 0102000030	 RU14	 5
100	 RU01	 ZNB1	 02	 *	 0102000101	 *	 0
100	 RU01	 ZNB1	 02	 *	 0102000101	 RU12	 4
100	 RU01	 ZNB1	 02	 *	 0102000101	 RU14	 5
100	 RU01	 ZNB1	 02	 07	 0102000000	 *	 1
100	 RU01	 ZNB1	 02	 07	 0102000000	 RU12	 6
100	 RU01	 ZNB1	 02	 07	 0102000000	 RU14	 7
100	 RU01	 ZNB1	 02	 07	 0102000018	 *	 1
100	 RU01	 ZNB1	 02	 07	 0102000018	 RU12	 6
100	 RU01	 ZNB1	 02	 07	 0102000018	 RU14	 7
100	 RU01	 ZNB1	 02	 07	 0102000030	 *	 1
100	 RU01	 ZNB1	 02	 07	 0102000030	 RU12	 6
100	 RU01	 ZNB1	 02	 07	 0102000030	 RU14	 7
100	 RU01	 ZNB1	 02	 07	 0102000101	 *	 1
100	 RU01	 ZNB1	 02	 07	 0102000101	 RU12	 6
100	 RU01	 ZNB1	 02	 07	 0102000101	 RU14	 7
100	 RU01	 ZNB2	 01	 *	 0102000000	 *	 0
100	 RU01	 ZNB2	 01	 *	 0102000018	 *	 0
100	 RU01	 ZNB2	 01	 *	 0102000030	 *	 0
100	 RU01	 ZNB2	 01	 *	 0102000101	 *	 0
100	 RU01	 ZNB2	 01	 06	 0102000000	 *	 2
100	 RU01	 ZNB2	 01	 06	 0102000018	 *	 2
100	 RU01	 ZNB2	 01	 06	 0102000030	 *	 2
100	 RU01	 ZNB2	 01	 06	 0102000101	 *	 2
100	 RU01	 ZNB2	 01	 07	 0102000000	 *	 1
100	 RU01	 ZNB2	 01	 07	 0102000018	 *	 1
100	 RU01	 ZNB2	 01	 07	 0102000030	 *	 1
100	 RU01	 ZNB2	 01	 07	 0102000101	 *	 1
100	 RU01	 ZNB2	 02	 *	 0102000000	 *	 0
100	 RU01	 ZNB2	 02	 *	 0102000000	 RU12	 4
100	 RU01	 ZNB2	 02	 *	 0102000000	 RU14	 5
100	 RU01	 ZNB2	 02	 *	 0102000018	 *	 0
100	 RU01	 ZNB2	 02	 *	 0102000018	 RU12	 4
100	 RU01	 ZNB2	 02	 *	 0102000018	 RU14	 5
100	 RU01	 ZNB2	 02	 *	 0102000030	 *	 0
100	 RU01	 ZNB2	 02	 *	 0102000030	 RU12	 4
