Transportation mode


MANDT	 BSART	 EKORG	 MATKL	 EVERS	 LIFNR	 ZZURGCODE	 ZZTRANSPMODE
X	 X	 X	 X	 X	 X	 X	
MANDT-CLNT(3)	 BSART-CHAR(4)	 EKORG-CHAR(4)	 MATKL-CHAR(9)	 EVERS-CHAR(2)	 LIFNR-CHAR(10)	 ZURGCODE-CHAR(2)	 ZTRANSPMODE-CHAR(2)
100	 ZNB1	 RU02	 *	 *	 0102000027	 Z1	 50
100	 ZNB1	 RU02	 *	 *	 0102000027	 Z2	 50
100	 ZNB1	 RU02	 *	 *	 0102000027	 Z3	 50
100	 ZNB1	 RU02	 *	 *	 0102000835	 Z1	 41
100	 ZNB1	 RU02	 *	 *	 0102000835	 Z2	 41
100	 ZNB1	 RU02	 *	 *	 0102000835	 Z3	 41
100	 ZNB1	 RU02	 *	 7	 0102000027	 Z1	 50
100	 ZNB1	 RU02	 *	 7	 0102000027	 Z2	 50
100	 ZNB1	 RU02	 *	 7	 0102000027	 Z3	 50
100	 ZNB1	 RU02	 1	 *	 0102000027	 Z1	 50
100	 ZNB1	 RU02	 1	 *	 0102000027	 Z2	 50
100	 ZNB1	 RU02	 1	 *	 0102000027	 Z3	 50
100	 ZNB1	 RU02	 1	 7	 0102000027	 Z1	 50
100	 ZNB1	 RU02	 1	 7	 0102000027	 Z2	 50
100	 ZNB1	 RU02	 1	 7	 0102000027	 Z3	 50
100	 ZNB1	 RU02	 2	 *	 0102000027	 Z1	 50
100	 ZNB1	 RU02	 2	 *	 0102000027	 Z2	 50
100	 ZNB1	 RU02	 2	 *	 0102000027	 Z3	 50
100	 ZNB1	 RU02	 2	 7	 0102000027	 Z1	 50
100	 ZNB1	 RU02	 2	 7	 0102000027	 Z2	 50
100	 ZNB1	 RU02	 2	 7	 0102000027	 Z3	 50
100	 ZNB1	 RU02	 3	 *	 0102000027	 Z1	 50
100	 ZNB1	 RU02	 3	 *	 0102000027	 Z2	 50
100	 ZNB1	 RU02	 3	 *	 0102000027	 Z3	 50
100	 ZNB1	 RU02	 3	 7	 0102000027	 Z1	 50
100	 ZNB1	 RU02	 3	 7	 0102000027	 Z2	 50
100	 ZNB1	 RU02	 3	 7	 0102000027	 Z3	 50
100	 ZNB2	 RU02	 *	 *	 0102000835	 Z1	 41
100	 ZNB2	 RU02	 *	 *	 0102000835	 Z2	 41
100	 ZNB2	 RU02	 *	 *	 0102000835	 Z3	 41
