Table for Profit center derivation on Class


MANDT	 SPART	 BRAN1	 CLASS
X	 X	 X	
MANDT-CLNT(3)	 SPART-CHAR(2)	 BRACO-CHAR(10)	 CHAR4-CHAR(4)
100	 01	 1111	 GIN
100	 01	 11111	 GIN
100	 01	 111110	 GIN
100	 01	 11112	 GIN
100	 01	 111120	 GIN
100	 01	 11113	 GIN
100	 01	 111130	 GIN
100	 01	 11114	 GIN
100	 01	 111140	 GIN
100	 01	 11115	 GIN
100	 01	 111150	 GIN
100	 01	 11116	 GIN
100	 01	 111160	 GIN
100	 01	 11119	 GIN
100	 01	 111191	 GIN
100	 01	 111199	 GIN
100	 01	 1112	 GIN
100	 01	 11121	 GIN
100	 01	 111211	 GIN
100	 01	 111219	 GIN
100	 01	 1113	 GIN
100	 01	 11131	 GIN
100	 01	 111310	 GIN
100	 01	 11132	 GIN
100	 01	 111320	 GIN
100	 01	 11133	 GIN
100	 01	 111331	 GIN
100	 01	 111332	 GIN
100	 01	 111333	 GIN
100	 01	 111334	 GIN
100	 01	 111335	 GIN
100	 01	 111336	 GIN
100	 01	 111339	 GIN
100	 01	 1114	 GIN
100	 01	 11141	 GIN
100	 01	 111411	 GIN
100	 01	 111419	 GIN
100	 01	 11142	 GIN
100	 01	 111421	 GIN
100	 01	 111422	 GIN
100	 01	 1119	 GIN
100	 01	 11191	 GIN
100	 01	 111910	 GIN
100	 01	 11192	 GIN
100	 01	 111920	 GIN
100	 01	 11193	 GIN
100	 01	 111930	 GIN
100	 01	 11194	 GIN
100	 01	 111940	 GIN
100	 01	 11199	 GIN
100	 01	 111991	 GIN
100	 01	 111992	 GIN
100	 01	 111998	 GIN
100	 01	 1121	 GIN
100	 01	 11211	 GIN
100	 01	 112111	 GIN
100	 01	 112112	 GIN
100	 01	 11212	 GIN
100	 01	 112120	 GIN
100	 01	 11213	 GIN
100	 01	 112130	 GIN
100	 01	 1122	 GIN
100	 01	 11221	 GIN
100	 01	 112210	 GIN
100	 01	 1123	 GIN
100	 01	 11231	 GIN
100	 01	 112310	 GIN
100	 01	 11232	 GIN
100	 01	 112320	 GIN
100	 01	 11233	 GIN
100	 01	 112330	 GIN
100	 01	 11234	 GIN
100	 01	 112340	 GIN
100	 01	 11239	 GIN
100	 01	 112390	 GIN
100	 01	 1124	 GIN
100	 01	 11241	 GIN
100	 01	 112410	 GIN
100	 01	 11242	 GIN
100	 01	 112420	 GIN
100	 01	 1125	 GIN
100	 01	 11251	 GIN
100	 01	 112511	 GIN
100	 01	 112512	 GIN
100	 01	 112519	 GIN
100	 01	 1129	 GIN
100	 01	 11291	 GIN
100	 01	 112910	 GIN
100	 01	 11292	 GIN
100	 01	 112920	 GIN
100	 01	 11293	 GIN
100	 01	 112930	 GIN
