Table for profit centre derivation rules


MANDT	 VTWEG	 PGC	 CLASS	 REP_PGC	 REP_GAC	 PRCTR
X	 X	 X	 X	 	 	
MANDT-CLNT(3)	 VTWEG-CHAR(2)	 RKEG_WW007-CHAR(4)	 CHAR4-CHAR(4)	 RKEG_WW007-CHAR(4)	 RKEG_WW006-CHAR(4)	 PRCTR-CHAR(10)
100	 01	  SA1	 	 SA1	 SA1	 SA1
100	 01	  SA1	 GIN	 SA1	 SA1G	 SA1G
100	 01	  SA1	 MVI	 SA1	 SA1M	 SA1M
100	 01	  SA2	 	 SA2	 SA2	 SA2
100	 01	  SA2	 GIN	 SA2	 SA2G	 SA2G
100	 01	  SA2	 MVI	 SA2	 SA2M	 SA2M
100	 01	  SA3	 	 SA3	 SA3	 SA3
100	 01	  SA3	 GIN	 SA3	 SA3G	 SA3G
100	 01	  SA3	 MVI	 SA3	 SA3M	 SA3M
100	 01	 0CR	 	 0CR	 8CRR	 8CRR
100	 01	 0N2	 	 0N2	 272R	 272R
100	 01	 0N3	 	 0N3	 880	 0000000880
100	 01	 0N6	 	 0N6	 880	 0000000880
100	 01	 0N7	 	 0N7	 880	 0000000880
100	 01	 0UA	 	 0UA	 880	 0000000880
100	 01	 0UB	 	 0UB	 880	 0000000880
100	 01	 0UC	 	 0UC	 880	 0000000880
100	 01	 0UD	 	 0UD	 880	 0000000880
100	 01	 0UE	 	 0UE	 880	 0000000880
100	 01	 0UF	 	 0UF	 880	 0000000880
100	 01	 0UG	 	 0UG	 880	 0000000880
100	 01	 0UM	 	 0UM	 880	 0000000880
100	 01	 0VA	 	 0VA	 880	 0000000880
100	 01	 0VB	 	 0VB	 880	 0000000880
100	 01	 0VC	 	 0VC	 880	 0000000880
100	 01	 0VD	 	 0VD	 880	 0000000880
100	 01	 0VE	 	 0VE	 880	 0000000880
100	 01	 0VF	 	 0VF	 880	 0000000880
100	 01	 0VG	 	 0VG	 880	 0000000880
100	 01	 0VM	 	 0VM	 880	 0000000880
100	 01	 0VN	 	 0VN	 880	 0000000880
100	 01	 0VP	 	 0VP	 880	 0000000880
100	 01	 0VR	 	 0VR	 880	 0000000880
100	 01	 0VV	 	 0VV	 880	 0000000880
100	 01	 0VY	 	 0VY	 880	 0000000880
100	 01	 0VZ	 	 0VZ	 880	 0000000880
100	 01	 101	 	 101	 10A	 10A
100	 01	 1010	 	 1010	 88AA	 88AA
100	 01	 1011	 	 1011	 88AA	 88AA
100	 01	 101S	 	 101S	 101S	 101S
100	 01	 102	 	 102	 10A	 10A
100	 01	 1023	 	 1023	 88AA	 88AA
100	 01	 102S	 	 102S	 102S	 102S
100	 01	 103	 	 103	 10A	 10A
100	 01	 1030	 	 1030	 88AA	 88AA
100	 01	 1031	 	 1031	 88AA	 88AA
100	 01	 1032	 	 1032	 88AA	 88AA
100	 01	 1033	 	 1033	 88AA	 88AA
100	 01	 1034	 	 1034	 88AA	 88AA
100	 01	 1035	 	 1035	 88AA	 88AA
100	 01	 1036	 	 1036	 88AA	 88AA
100	 01	 1037	 	 1037	 88AA	 88AA
100	 01	 1038	 	 1038	 88AA	 88AA
100	 01	 1039	 	 1039	 88AA	 88AA
100	 01	 103S	 	 103S	 103S	 103S
100	 01	 104S	 	 104S	 104S	 104S
100	 01	 105S	 	 105S	 105S	 105S
100	 01	 106S	 	 106S	 106S	 106S
100	 01	 107S	 	 107S	 107S	 107S
100	 01	 108	 	 108	 10B	 10B
100	 01	 108R	 	 108R	 10BR	 10BR
100	 01	 108S	 	 108S	 108S	 108S
100	 01	 109	 	 109	 10D	 10D
100	 01	 109S	 	 109S	 109S	 109S
100	 01	 10E	 	 10E	 10D	 10D
100	 01	 10F	 	 10F	 10D	 10D
100	 01	 10G	 	 10G	 10D	 10D
100	 01	 10H	 	 10H	 10D	 10D
100	 01	 10J	 	 10J	 10D	 10D
100	 01	 10K	 	 10K	 10D	 10D
100	 01	 10L	 	 10L	 10HF	 10HF
100	 01	 10M	 	 10M	 10D	 10D
100	 01	 10P	 	 10P	 10P	 10P
