Table for profit centre derivation rules


MANDT	 PRCTR	 SEGMENT	 YVALFROM	 YVALTO
X	 X	 X	 X	
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 FB_SEGMENT-CHAR(10)	 TTE_DT_VALIDFR-DATS(8)	 DATS-DATS(8)
100	 0000000011	 UMR	 20120101	 20170131
100	 0000000011	 URE	 20170201	 99991231
100	 0000000013	 UMR	 20120101	 20170131
100	 0000000013	 URE	 20170201	 99991231
100	 0000000014	 UMR	 20120101	 20170131
100	 0000000014	 URE	 20170201	 99991231
100	 0000000015	 0000002310	 20140101	 99991231
100	 0000000023	 MRS	 20120101	 99991231
100	 0000000026	 0000002110	 20140101	 99991231
100	 0000000027	 0000002410	 20150101	 99991231
100	 0000000027	 0000002420	 20130101	 20141231
100	 0000000029	 CRS	 20120101	 99991231
100	 0000000032	 UMR	 20120101	 20170131
100	 0000000032	 URE	 20170201	 99991231
100	 0000000033	 UMR	 20120101	 99991231
100	 0000000040	 APE	 20170201	 99991231
100	 0000000040	 APW	 20160101	 20170131
100	 0000000041	 APE	 20170201	 99991231
100	 0000000041	 APW	 20160101	 20170131
100	 0000000042	 APE	 20170201	 99991231
100	 0000000042	 APW	 20160101	 20170131
100	 0000000050	 GAS	 20140101	 99991231
100	 0000000053	 GAE	 20140101	 99991231
100	 0000000056	 GAE	 20140101	 99991231
100	 0000000070	 0000002110	 20140101	 99991231
100	 0000000071	 0000002110	 20140101	 99991231
100	 0000000072	 UMR	 20140101	 20170131
100	 0000000072	 URE	 20170201	 99991231
100	 0000000073	 0000002310	 20140101	 99991231
100	 0000000074	 0000002310	 20140101	 99991231
100	 0000000201	 UMR	 20120101	 20170131
100	 0000000201	 URE	 20170201	 99991231
100	 0000000202	 MRS	 20120101	 99991231
100	 0000000203	 UMR	 20120101	 99991231
100	 0000000213	 UMR	 20120101	 20170131
100	 0000000213	 URE	 20170201	 99991231
100	 0000000216	 UMR	 20120101	 20170131
100	 0000000216	 URE	 20170201	 99991231
100	 0000000221	 UMR	 20120101	 20170131
100	 0000000221	 URE	 20170201	 99991231
100	 0000000222	 UMR	 20120101	 20170131
100	 0000000222	 URE	 20170201	 99991231
100	 0000000223	 UMR	 20120101	 20170131
100	 0000000223	 URE	 20170201	 99991231
100	 0000000224	 UMR	 20120101	 20170131
100	 0000000224	 URE	 20170201	 99991231
100	 0000000225	 UMR	 20120101	 20170131
100	 0000000225	 URE	 20170201	 99991231
100	 0000000226	 URE	 20170201	 99991231
100	 0000000227	 URE	 20170201	 99991231
100	 0000000228	 UMR	 20120101	 20170131
100	 0000000228	 URE	 20170201	 99991231
100	 0000000229	 UMR	 20120101	 20170131
100	 0000000229	 URE	 20170201	 99991231
100	 0000000230	 URE	 20170201	 99991231
100	 0000000231	 URE	 20170201	 99991231
100	 0000000233	 URE	 20170201	 99991231
100	 0000000234	 URE	 20170201	 99991231
100	 0000000235	 URE	 20170201	 99991231
100	 0000000236	 URE	 20170201	 99991231
100	 0000000237	 URE	 20170201	 99991231
100	 0000000238	 URE	 20170201	 99991231
100	 0000000239	 URE	 20170201	 99991231
100	 0000000240	 0000002410	 20150101	 99991231
100	 0000000242	 0000002410	 20150101	 99991231
100	 0000000243	 0000002410	 20150101	 99991231
100	 0000000245	 0000002410	 20150101	 99991231
100	 0000000249	 0000002410	 20150101	 99991231
100	 0000000249	 0000002420	 20121001	 20141231
100	 0000000250	 0000002410	 20150101	 99991231
100	 0000000256	 0000002410	 20150101	 99991231
100	 0000000265	 MRS	 20120101	 99991231
100	 0000000269	 0000002110	 20140101	 99991231
100	 0000000271	 CRS	 20120101	 99991231
100	 0000000272	 CRS	 20120101	 99991231
100	 0000000274	 CRS	 20120101	 99991231
100	 0000000290	 CRS	 20120101	 99991231
100	 0000000291	 CRS	 20120101	 99991231
100	 0000000292	 CRS	 20120101	 99991231
100	 0000000293	 CRS	 20120101	 99991231
100	 0000000296	 CRS	 20120101	 99991231
100	 0000000297	 CRS	 20120101	 99991231
100	 0000000298	 CRS	 20120101	 99991231
100	 0000000299	 CRS	 20120101	 99991231
100	 0000000345	 0000002410	 20150101	 99991231
100	 0000000543	 0000001210	 20120101	 20141231
100	 0000000543	 GPP	 20150101	 99991231
100	 0000000544	 0000001210	 20120101	 20141231
100	 0000000544	 GPP	 20150101	 99991231
100	 0000000545	 0000001210	 20120101	 20141231
