Autom. release of blocked SO: payment terms


MANDT	 ZTERM	 YDPOPL	 YDPBSR	 YDPASH	 YCROPL	 YCRSHC
X	 X	 	 	 	 	
MANDT-CLNT(3)	 ZTERM-CHAR(4)	 BF_PRZ32-DEC(5)	 BF_PRZ32-DEC(5)	 BF_PRZ32-DEC(5)	 BF_PRZ32-DEC(5)	 BF_PRZ32-DEC(5)
100	 Y000	 100.00 	 0.00 	 0.00 	 99.50 	 99.50
100	 Y010	 100.00 	 0.00 	 0.00 	 99.50 	 99.50
100	 Y011	 50.00 	 50.00 	 0.00 	 49.50 	 99.50
100	 Y012	 30.00 	 70.00 	 0.00 	 29.50 	 99.50
100	 Y013	 20.00 	 80.00 	 0.00 	 19.50 	 99.50
100	 Y014	 10.00 	 90.00 	 0.00 	 9.50 	 99.50
100	 Y015	 50.00 	 40.00 	 10.00 	 49.50 	 89.50
100	 Y016	 30.00 	 60.00 	 10.00 	 29.50 	 89.50
100	 Y017	 20.00 	 70.00 	 10.00 	 19.50 	 89.50
100	 Y018	 10.00 	 80.00 	 10.00 	 9.50 	 89.50
100	 Y019	 50.00 	 30.00 	 20.00 	 49.50 	 79.50
100	 Y020	 40.00 	 40.00 	 20.00 	 39.50 	 79.50
100	 Y021	 30.00 	 50.00 	 20.00 	 29.50 	 79.50
100	 Y022	 20.00 	 60.00 	 20.00 	 19.50 	 79.50
100	 Y023	 10.00 	 70.00 	 20.00 	 9.50 	 79.50
100	 Y024	 50.00 	 20.00 	 30.00 	 49.50 	 69.50
100	 Y025	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 Y026	 10.00 	 0.00 	 90.00 	 9.50 	 9.50
100	 Y027	 30.00 	 0.00 	 70.00 	 29.50 	 29.50
100	 Y028	 50.00 	 0.00 	 50.00 	 49.50 	 49.50
100	 Y029	 0.00 	 100.00 	 0.00 	 0.00 	 99.50
100	 Y030	 0.00 	 90.00 	 10.00 	 0.00 	 89.50
100	 Y031	 0.00 	 80.00 	 20.00 	 0.00 	 79.50
100	 Y032	 0.00 	 70.00 	 30.00 	 0.00 	 69.50
100	 Y033	 0.00 	 60.00 	 40.00 	 0.00 	 59.50
100	 Y034	 0.00 	 50.00 	 50.00 	 0.00 	 49.50
100	 Y035	 25.00 	 75.00 	 0.00 	 24.50 	 99.50
100	 Y036	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 Y037	 40.00 	 60.00 	 0.00 	 39.50 	 99.50
100	 Y038	 60.00 	 40.00 	 0.00 	 59.50 	 99.50
100	 Y039	 70.00 	 30.00 	 0.00 	 69.50 	 99.50
100	 Y040	 15.00 	 85.00 	 0.00 	 14.50 	 99.50
100	 Y041	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 Y042	 15.00 	 75.00 	 10.00 	 14.50 	 89.50
100	 Y043	 20.00 	 80.00 	 0.00 	 19.50 	 99.50
100	 Y044	 30.00 	 70.00 	 0.00 	 29.50 	 99.50
100	 Y045	 50.00 	 50.00 	 0.00 	 49.50 	 99.50
100	 Y046	 30.00 	 60.00 	 10.00 	 29.50 	 89.50
100	 Y047	 30.00 	 70.00 	 0.00 	 29.50 	 99.50
100	 Y048	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 Y049	 30.00 	 70.00 	 0.00 	 29.50 	 99.50
100	 Y050	 30.00 	 70.00 	 0.00 	 29.50 	 99.50
100	 Y051	 30.00 	 70.00 	 0.00 	 29.50 	 99.50
100	 Y052	 30.00 	 70.00 	 0.00 	 29.50 	 99.50
100	 Y053	 50.00 	 50.00 	 0.00 	 49.50 	 99.50
100	 Y054	 50.00 	 50.00 	 0.00 	 49.50 	 99.50
100	 Y055	 50.00 	 50.00 	 0.00 	 49.50 	 99.50
100	 Y056	 50.00 	 50.00 	 0.00 	 49.50 	 99.50
100	 YD07	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 YD14	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 YD15	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 YD30	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 YD45	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 YD60	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 YE01	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
100	 YE02	 0.00 	 0.00 	 100.00 	 0.00 	 0.00
