PLC Numbers Russia


PLC	 PLCNBR
X	
CHAR004-CHAR(4)	 CHAR10-CHAR(10)
CTO	 768402410
CTS	 768101610
CTX	 768402420
CTZ	 768101611
GAP	 768101510
GDE	 768202510
GIN	 768303120
MRS	 768MRS
MVI	 768303110
OFH	 768101220
OWN	 768505210
QAA	 768QAA
QAM	 768QAM
RCE	 768402710
SPR	 768SPR
RDT	 768202310
SCE	 768303130
SDE	 768202110
TRE	 768505310
UMR	 768UMR
ACTA	 768303100
ADS	 768202610
AIF	 768101210
AIG	 768401330
AII	 768101110
AIM	 768101120
AIP	 768401310
AIZ	 768101211
ASAP	 768909110
ASR	 768101410
CPD	 768303300
CPI	 768303310
CPS	 768303330
CPV	 768303320
CRS	 768CRS
ACT	 768303100
ADH	 768ADH
RCA	 768402740
