AC Connect : Condition access sequence


MANDT	 KSCHL	 TABNAME	 YSE_ACC_CODE_PR	 DESCR
X	 X	 X	 	
MANDT-CLNT(3)	 KSCHL-CHAR(4)	 AS4TAB-CHAR(30)	 CHAR01-CHAR(1)	 AS4TEXT-CHAR(60)
100	 Z030	 A007	 2	 Customer discount
100	 Z030	 A951	 9	 Discount : Customer / PGC
100	 Z030	 A952	 6	 Discount : PGC
100	 Z030	 A955	 3	 Material discount
100	 Z030	 A956	 4	 Discount : Customer / Material pricing group
100	 Z030	 A957	 5	 Material pricing group discount
100	 ZN00	 A950	 1	 Net price : Customer / Material
100	 ZPBO	 A950	 7	 List price : Customer / Material
100	 ZPBO	 A953	 Z	 Customer list price : Customer price list / material
100	 ZPRO	 A304	 0	 Standard list price : Material with release status
100	 ZPRO	 A954	 0	 Standard list price : Sales org./Division/Material
