ACC: mapping transportation zone - data


MANDT	 VKORG	 VTWEG	 SPART	 ZVALUE_FIELD	 LZONE
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 ZVALUE_FIELD-CHAR(10)	 ZONE-CHAR(10)
100	 CN01	 01	 01	 0100	 CN00220001
100	 CN01	 01	 01	 0101	 CN00220003
100	 CN01	 01	 01	 0102	 CN00220003
100	 CN01	 01	 01	 0103	 CN00220002
100	 CN01	 01	 01	 0115	 CN00220003
100	 CN01	 01	 01	 0116	 CN00220003
100	 CN01	 01	 01	 0117	 CN00220003
100	 CN01	 01	 01	 0118	 CN00220003
100	 CN01	 01	 01	 0119	 CN00220003
100	 CN01	 01	 01	 0120	 CN00220004
100	 CN01	 01	 01	 0121	 CN00220004
100	 CN01	 01	 01	 0122	 CN00220004
100	 CN01	 01	 01	 0123	 CN00220004
100	 CN01	 01	 01	 0124	 CN00220004
100	 CN01	 01	 01	 0125	 CN00220004
100	 CN01	 01	 01	 0126	 CN00220005
100	 CN01	 01	 01	 0131	 CN00220006
100	 CN01	 01	 01	 0132	 CN00220006
100	 CN01	 01	 01	 0133	 CN00220006
100	 CN01	 01	 01	 0134	 CN00220006
100	 CN01	 01	 01	 0135	 CN00220006
100	 CN01	 01	 01	 0136	 CN00220006
100	 CN01	 01	 01	 0137	 CN00220006
100	 CN01	 01	 01	 0140	 CN00220001
100	 CN01	 01	 01	 0141	 CN00220002
100	 CN01	 01	 01	 0142	 CN00220002
100	 CN01	 01	 01	 0143	 CN00220002
100	 CN01	 01	 01	 0144	 CN00220002
100	 CN01	 01	 01	 0150	 CN00220003
100	 CN01	 01	 01	 0151	 CN00220004
100	 CN01	 01	 01	 0152	 CN00220004
100	 CN01	 01	 01	 0153	 CN00220004
100	 CN01	 01	 01	 0154	 CN00220004
100	 CN01	 01	 01	 0155	 CN00220004
100	 CN01	 01	 01	 0160	 CN00220002
100	 CN01	 01	 01	 0161	 CN00220002
100	 CN01	 01	 01	 0162	 CN00220002
100	 CN01	 01	 01	 0170	 CN00220003
100	 CN01	 01	 01	 0171	 CN00220002
100	 CN01	 01	 01	 0172	 CN00220003
100	 CN01	 01	 01	 0173	 CN00220004
100	 CN01	 01	 01	 0174	 CN00220003
100	 CN01	 01	 01	 0210	 CN00220003
100	 CN01	 01	 01	 0211	 CN00220004
100	 CN01	 01	 01	 0212	 CN00220004
100	 CN01	 01	 01	 0213	 CN00220004
100	 CN01	 01	 01	 0214	 CN00220008
100	 CN01	 01	 01	 0215	 CN00220008
100	 CN01	 01	 01	 0221	 CN00220004
100	 CN01	 01	 01	 0222	 CN00220005
100	 CN01	 01	 01	 0223	 CN00220005
100	 CN01	 01	 01	 0224	 CN00220004
100	 CN01	 01	 01	 0240	 CN00220005
100	 CN01	 01	 01	 0242	 CN00220007
100	 CN01	 01	 01	 0243	 CN00220007
100	 CN01	 01	 01	 0244	 CN00220007
100	 CN01	 01	 01	 0245	 CN00220007
100	 CN01	 01	 01	 0251	 CN00220007
100	 CN01	 01	 01	 0252	 CN00220007
100	 CN01	 01	 01	 0253	 CN00220007
100	 CN01	 01	 01	 0254	 CN00220007
100	 CN01	 01	 01	 0255	 CN00220007
100	 CN01	 01	 01	 0260	 CN00220009
100	 CN01	 01	 01	 0261	 CN00220010
100	 CN01	 01	 01	 0262	 CN00220010
100	 CN01	 01	 01	 0263	 CN00220010
100	 CN01	 01	 01	 0270	 CN00220010
100	 CN01	 01	 01	 0271	 CN00220005
100	 CN01	 01	 01	 0272	 CN00220005
100	 CN01	 01	 01	 0273	 CN00220007
100	 CN01	 01	 01	 0280	 CN00220003
100	 CN01	 01	 01	 0281	 CN00220005
100	 CN01	 01	 01	 0282	 CN00220005
100	 CN01	 01	 01	 0283	 CN00220005
100	 CN01	 01	 01	 0284	 CN00220005
100	 CN01	 01	 01	 0291	 CN00220005
100	 CN01	 01	 01	 0292	 CN00220007
100	 CN01	 01	 01	 0293	 CN00220007
100	 CN01	 01	 01	 0294	 CN00220007
100	 CN01	 01	 01	 0300	 CN00260001
100	 CN01	 01	 01	 0301	 CN00260002
100	 CN01	 01	 01	 0302	 CN00260001
100	 CN01	 01	 01	 0303	 CN00260002
100	 CN01	 01	 01	 0304	 CN00260002
100	 CN01	 01	 01	 0305	 CN00260002
100	 CN01	 01	 01	 0306	 CN00260005
100	 CN01	 01	 01	 0308	 CN00260003
100	 CN01	 01	 01	 0309	 CN00260003
100	 CN01	 01	 01	 0311	 CN00260005
100	 CN01	 01	 01	 0312	 CN00260005
100	 CN01	 01	 01	 0313	 CN00260007
100	 CN01	 01	 01	 0314	 CN00260007
100	 CN01	 01	 01	 0315	 CN00260007
100	 CN01	 01	 01	 0316	 CN00260008
100	 CN01	 01	 01	 0317	 CN00260005
100	 CN01	 01	 01	 0318	 CN00260005
100	 CN01	 01	 01	 0320	 CN00260005
100	 CN01	 01	 01	 0321	 CN00260007
100	 CN01	 01	 01	 0322	 CN00260007
100	 CN01	 01	 01	 0323	 CN00260007
100	 CN01	 01	 01	 0324	 CN00260007
100	 CN01	 01	 01	 0325	 CN00260007
100	 CN01	 01	 01	 0326	 CN00260009
100	 CN01	 01	 01	 0327	 CN00260007
100	 CN01	 01	 01	 0330	 CN00260005
100	 CN01	 01	 01	 0331	 CN00260003
100	 CN01	 01	 01	 0332	 CN00260005
100	 CN01	 01	 01	 0333	 CN00260005
100	 CN01	 01	 01	 0334	 CN00260005
100	 CN01	 01	 01	 0340	 CN00260004
100	 CN01	 01	 01	 0341	 CN00260006
100	 CN01	 01	 01	 0342	 CN00260008
100	 CN01	 01	 01	 0343	 CN00260006
100	 CN01	 01	 01	 0344	 CN00260006
100	 CN01	 01	 01	 0351	 CN00260006
100	 CN01	 01	 01	 0352	 CN00260006
100	 CN01	 01	 01	 0353	 CN00260006
100	 CN01	 01	 01	 0354	 CN00260006
100	 CN01	 01	 01	 0355	 CN00260006
100	 CN01	 01	 01	 0360	 CN00260004
100	 CN01	 01	 01	 0361	 CN00260005
100	 CN01	 01	 01	 0362	 CN00260005
100	 CN01	 01	 01	 0363	 CN00260007
