Table for derivation of item delivery priority


MANDT	 VKORG	 VTWEG	 SPART	 AUART	 LIFSK	 LPRIO
X	 X	 X	 X	 X	 X	
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 AUART-CHAR(4)	 LIFSP-CHAR(2)	 LPRIO-NUMC(2)
100	 CN01	 01	 01	 ZO03	 ZA	 04
100	 CN01	 01	 01	 ZO03	 ZB	 04
100	 CN01	 01	 01	 ZO03	 ZD	 04
100	 CN01	 01	 01	 ZO03	 ZS	 04
100	 CN01	 01	 01	 ZO03	 ZZ	 04
100	 CN01	 01	 01	 ZOR	 ZA	 04
100	 CN01	 01	 01	 ZOR	 ZB	 04
100	 CN01	 01	 01	 ZOR	 ZD	 04
100	 CN01	 01	 01	 ZOR	 ZS	 04
100	 CN01	 01	 01	 ZOR	 ZZ	 04
100	 CN01	 01	 01	 ZOR1	 ZA	 04
100	 CN01	 01	 01	 ZOR1	 ZB	 04
100	 CN01	 01	 01	 ZOR1	 ZD	 04
100	 CN01	 01	 01	 ZOR1	 ZS	 04
100	 CN01	 01	 01	 ZOR1	 ZZ	 04
100	 CN01	 01	 01	 ZOR2	 ZA	 04
100	 CN01	 01	 01	 ZOR2	 ZB	 04
100	 CN01	 01	 01	 ZOR2	 ZD	 04
100	 CN01	 01	 01	 ZOR2	 ZS	 04
100	 CN01	 01	 01	 ZOR2	 ZZ	 04
100	 CN01	 11	 01	 ZO03	 ZA	 04
100	 CN01	 11	 01	 ZO03	 ZB	 04
100	 CN01	 11	 01	 ZO03	 ZD	 04
100	 CN01	 11	 01	 ZO03	 ZS	 04
100	 CN01	 11	 01	 ZO03	 ZZ	 04
100	 CN01	 11	 01	 ZOR	 ZA	 04
100	 CN01	 11	 01	 ZOR	 ZB	 04
100	 CN01	 11	 01	 ZOR	 ZD	 04
100	 CN01	 11	 01	 ZOR	 ZS	 04
100	 CN01	 11	 01	 ZOR	 ZZ	 04
100	 CN01	 11	 01	 ZOR1	 ZA	 04
100	 CN01	 11	 01	 ZOR1	 ZB	 04
100	 CN01	 11	 01	 ZOR1	 ZD	 04
100	 CN01	 11	 01	 ZOR1	 ZS	 04
100	 CN01	 11	 01	 ZOR1	 ZZ	 04
100	 CN01	 11	 01	 ZOR2	 ZA	 04
100	 CN01	 11	 01	 ZOR2	 ZB	 04
100	 CN01	 11	 01	 ZOR2	 ZD	 04
100	 CN01	 11	 01	 ZOR2	 ZS	 04
100	 CN01	 11	 01	 ZOR2	 ZZ	 04
100	 CN06	 01	 01	 ZOR	 ZA	 04
100	 CN06	 01	 01	 ZOR	 ZB	 04
100	 CN06	 01	 01	 ZOR	 ZD	 04
100	 CN06	 01	 01	 ZOR	 ZS	 04
100	 CN06	 01	 01	 ZOR	 ZZ	 04
100	 CN06	 01	 04	 ZOR	 ZA	 04
100	 CN06	 01	 04	 ZOR	 ZB	 04
100	 CN06	 01	 04	 ZOR	 ZD	 04
100	 CN06	 01	 04	 ZOR	 ZS	 04
100	 CN06	 01	 04	 ZOR	 ZZ	 04
100	 CN06	 01	 07	 ZOR	 ZA	 04
100	 CN06	 01	 07	 ZOR	 ZB	 04
100	 CN06	 01	 07	 ZOR	 ZD	 04
100	 CN06	 01	 07	 ZOR	 ZS	 04
100	 CN06	 01	 07	 ZOR	 ZZ	 04
100	 CN06	 01	 41	 ZOR	 ZA	 04
100	 CN06	 01	 41	 ZOR	 ZB	 04
100	 CN06	 01	 41	 ZOR	 ZD	 04
100	 CN06	 01	 41	 ZOR	 ZS	 04
100	 CN06	 01	 41	 ZOR	 ZZ	 04
100	 CN06	 01	 46	 ZOR	 ZA	 04
100	 CN06	 01	 46	 ZOR	 ZB	 04
100	 CN06	 01	 46	 ZOR	 ZD	 04
100	 CN06	 01	 46	 ZOR	 ZS	 04
100	 CN06	 01	 46	 ZOR	 ZZ	 04
100	 HK01	 01	 01	 ZO03	 ZA	 04
100	 HK01	 01	 01	 ZO03	 ZB	 04
100	 HK01	 01	 01	 ZO03	 ZD	 04
100	 HK01	 01	 01	 ZO03	 ZS	 04
100	 HK01	 01	 01	 ZO03	 ZZ	 04
100	 HK01	 01	 01	 ZOR	 ZA	 04
100	 HK01	 01	 01	 ZOR	 ZB	 04
100	 HK01	 01	 01	 ZOR	 ZD	 04
100	 HK01	 01	 01	 ZOR	 ZS	 04
100	 HK01	 01	 01	 ZOR	 ZZ	 04
100	 HK01	 01	 01	 ZOR1	 ZA	 04
100	 HK01	 01	 01	 ZOR1	 ZB	 04
100	 HK01	 01	 01	 ZOR1	 ZD	 04
100	 HK01	 01	 01	 ZOR1	 ZS	 04
100	 HK01	 01	 01	 ZOR1	 ZZ	 04
100	 HK01	 01	 01	 ZOR2	 ZA	 04
100	 HK01	 01	 01	 ZOR2	 ZB	 04
100	 HK01	 01	 01	 ZOR2	 ZD	 04
100	 HK01	 01	 01	 ZOR2	 ZS	 04
100	 HK01	 01	 01	 ZOR2	 ZZ	 04
100	 HK01	 11	 01	 ZO03	 ZA	 04
100	 HK01	 11	 01	 ZO03	 ZB	 04
100	 HK01	 11	 01	 ZO03	 ZD	 04
100	 HK01	 11	 01	 ZO03	 ZS	 04
100	 HK01	 11	 01	 ZO03	 ZZ	 04
100	 HK01	 11	 01	 ZOR	 ZA	 04
100	 HK01	 11	 01	 ZOR	 ZB	 04
100	 HK01	 11	 01	 ZOR	 ZD	 04
100	 HK01	 11	 01	 ZOR	 ZS	 04
100	 HK01	 11	 01	 ZOR	 ZZ	 04
100	 HK01	 11	 01	 ZOR1	 ZA	 04
100	 HK01	 11	 01	 ZOR1	 ZB	 04
100	 HK01	 11	 01	 ZOR1	 ZD	 04
100	 HK01	 11	 01	 ZOR1	 ZS	 04
100	 HK01	 11	 01	 ZOR1	 ZZ	 04
100	 HK01	 11	 01	 ZOR2	 ZA	 04
100	 HK01	 11	 01	 ZOR2	 ZB	 04
100	 HK01	 11	 01	 ZOR2	 ZD	 04
100	 HK01	 11	 01	 ZOR2	 ZS	 04
100	 HK01	 11	 01	 ZOR2	 ZZ	 04
