SEED Service product selection CT


MANDT	 GAC	 PGC	 MATKL	 EQUIPID	 MATNR
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 RKEG_WW006-CHAR(4)	 RKEG_WW007-CHAR(4)	 MATKL-CHAR(9)	 CHAR01-CHAR(1)	 MATNR-CHAR(18)
100	 40	 *	 042ZFP	 	 000000010000369776
100	 40	 *	 043ZIS03	 	 000000010000404046
100	 40	 *	 043ZIS04	 	 000000010000404047
100	 40	 *	 043ZSR	 	 000000010000369777
100	 40U	 *	 042ZFP	 	 000000010000369776
100	 40U	 *	 043ZIS03	 	 000000010000404046
100	 40U	 *	 043ZIS04	 	 000000010000404047
100	 40U	 *	 043ZSR	 	 000000010000369777
100	 40X	 *	 042ZFP	 	 000000010000369776
100	 40X	 *	 043ZIS03	 	 000000010000404046
100	 40X	 *	 043ZIS04	 	 000000010000404047
100	 40X	 *	 043ZSR	 	 000000010000369777
100	 41	 *	 042ZFP	 	 000000010000369776
100	 41	 *	 043ZIS03	 	 000000010000404046
100	 41	 *	 043ZIS04	 	 000000010000404047
100	 41	 *	 043ZSR	 	 000000010000369777
100	 41B	 *	 042ZFP	 	 000000010000369776
100	 41B	 *	 043ZIS03	 	 000000010000404046
100	 41B	 *	 043ZIS04	 	 000000010000404047
100	 41B	 *	 043ZSR	 	 000000010000369777
100	 41H	 *	 042ZFP	 	 000000010000369776
100	 41H	 *	 043ZIS03	 	 000000010000404046
100	 41H	 *	 043ZIS04	 	 000000010000404047
100	 41H	 *	 043ZSR	 	 000000010000369777
100	 41U	 *	 042ZFP	 	 000000010000369776
100	 41U	 *	 043ZIS03	 	 000000010000404046
100	 41U	 *	 043ZIS04	 	 000000010000404047
100	 41U	 *	 043ZSR	 	 000000010000369777
100	 41X	 *	 042ZFP	 	 000000010000369776
100	 41X	 *	 043ZIS03	 	 000000010000404046
100	 41X	 *	 043ZIS04	 	 000000010000404047
100	 41X	 *	 043ZSR	 	 000000010000369777
100	 42	 *	 042ZFP	 	 000000010000369774
100	 42	 *	 043ZIS03	 	 000000010000404046
100	 42	 *	 043ZIS04	 	 000000010000404047
100	 42	 *	 043ZSR	 	 000000010000369775
100	 42Q	 *	 042ZFP	 	 000000010000369774
100	 42Q	 *	 043ZIS03	 	 000000010000404046
100	 42Q	 *	 043ZIS04	 	 000000010000404047
