Sales document types relevant for commission reporting


MANDT	 VKORG	 VTWEG	 SPART	 VBTYP	 AUART
X	 X	 X	 X	 X	 X
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 VBTYP-CHAR(1)	 AUART-CHAR(4)
100	 CN01	 01	 01	 C	 ZKE
100	 CN01	 01	 01	 C	 ZOR
100	 CN01	 01	 01	 C	 ZOR1
100	 CN01	 01	 01	 C	 ZOR2
100	 CN01	 01	 07	 C	 ZKE
100	 CN01	 01	 07	 C	 ZOR
100	 CN01	 01	 07	 C	 ZOR1
100	 CN01	 01	 07	 C	 ZOR2
100	 CN01	 01	 31	 C	 ZKE
100	 CN01	 01	 31	 C	 ZOR
100	 CN01	 01	 31	 C	 ZOR1
100	 CN01	 01	 31	 C	 ZOR2
100	 CN01	 02	 01	 C	 ZKE
100	 CN01	 02	 01	 C	 ZOR
100	 CN01	 02	 01	 C	 ZOR1
100	 CN01	 02	 01	 C	 ZOR2
100	 CN02	 01	 01	 C	 ZKE
100	 CN02	 01	 01	 C	 ZOR
100	 CN02	 01	 01	 C	 ZOR1
100	 CN02	 01	 01	 C	 ZOR2
100	 CN02	 02	 01	 C	 ZKE
100	 CN02	 02	 01	 C	 ZOR
100	 CN02	 02	 01	 C	 ZOR1
100	 CN02	 02	 01	 C	 ZOR2
100	 CN03	 01	 01	 C	 ZKE
100	 CN03	 01	 01	 C	 ZOR
100	 CN03	 01	 01	 C	 ZOR1
100	 CN03	 01	 01	 C	 ZOR2
100	 CN03	 01	 40	 C	 ZKE
100	 CN03	 01	 40	 C	 ZOR
100	 CN03	 01	 40	 C	 ZOR1
100	 CN03	 01	 40	 C	 ZOR2
100	 CN03	 02	 01	 C	 ZKE
100	 CN03	 02	 01	 C	 ZOR
100	 CN03	 02	 01	 C	 ZOR1
100	 CN03	 02	 01	 C	 ZOR2
100	 HK01	 01	 01	 C	 ZKE
100	 HK01	 01	 01	 C	 ZOR
100	 HK01	 01	 01	 C	 ZOR1
100	 HK01	 01	 01	 C	 ZOR2
100	 HK01	 02	 01	 C	 ZKE
100	 HK01	 02	 01	 C	 ZOR
100	 HK01	 02	 01	 C	 ZOR1
100	 HK01	 02	 01	 C	 ZOR2
100	 HK02	 01	 01	 C	 ZKE
100	 HK02	 01	 01	 C	 ZOR
100	 HK02	 01	 01	 C	 ZOR1
100	 HK02	 01	 01	 C	 ZOR2
100	 HK02	 02	 01	 C	 ZKE
100	 HK02	 02	 01	 C	 ZOR
100	 HK02	 02	 01	 C	 ZOR1
100	 HK02	 02	 01	 C	 ZOR2
100	 HK03	 01	 01	 C	 ZKE
100	 HK03	 01	 01	 C	 ZOR
100	 HK03	 01	 01	 C	 ZOR1
100	 HK03	 01	 01	 C	 ZOR2
100	 HK03	 01	 04	 C	 ZKE
100	 HK03	 01	 04	 C	 ZOR
100	 HK03	 01	 04	 C	 ZOR1
100	 HK03	 01	 04	 C	 ZOR2
100	 HK03	 01	 15	 C	 ZKE
100	 HK03	 01	 15	 C	 ZOR
100	 HK03	 01	 15	 C	 ZOR1
100	 HK03	 01	 15	 C	 ZOR2
100	 HK03	 01	 16	 C	 ZKE
100	 HK03	 01	 16	 C	 ZOR
100	 HK03	 01	 16	 C	 ZOR1
100	 HK03	 01	 16	 C	 ZOR2
100	 HK03	 01	 40	 C	 ZKE
100	 HK03	 01	 40	 C	 ZOR
100	 HK03	 01	 40	 C	 ZOR1
100	 HK03	 01	 40	 C	 ZOR2
100	 PL01	 01	 01	 C	 ZKE
