Contract re-dervation update log


MANDT	 VBELN	 POSNR	 VKORG	 UPD_IND	 OPRODH	 NPRODH	 FLAG_PH	 TXT_PH	 ERNAM	 ERDAT	 ERZET	 AENAM	 AEDAT	 AEZET
X	 X	 X	 	 	 	 	 	 	 	 	 	 	 	
MANDT-CLNT(3)	 VBELN-CHAR(10)	 POSNR-NUMC(6)	 VKORG-CHAR(4)	 YSE_UPDATE_IND-CHAR(1)	 PRODH-CHAR(18)	 PRODH-CHAR(18)	 YSE_UPDATE_FLAG-CHAR(1)	 DB2_LINE-CHAR(255)	 USNAM-CHAR(12)	 DATUM-DATS(8)	 UZEIT-TIMS(6)	 USNAM-CHAR(12)	 DATUM-DATS(8)	 UZEIT-TIMS(6)
100	 0010000000	 000010	 PL01	 Y	 8XX	 8XX	 	 	 AIR21774	 20070223	 131441	 SSCEXTCWU	 20170106	 072919
100	 0010000000	 000020	 PL01	 Y	 8XX	 8XX	 	 	 AIR21774	 20070223	 131441	 SSCEXTCWU	 20170106	 072919
100	 0020000001	 000010	 HK01	 Y	 82Z 8248	 82Z 8248	 	 	 AIR22209	 20061120	 161930	 SSCEXTCWU	 20170106	 072919
100	 0020000002	 000010	 HK01	 Y	 82Z 8248	 82Z 8248	 	 	 AIR22210	 20061120	 174527	 SSCEXTCWU	 20170106	 072919
100	 0040000001	 000010	 PL01	 Y	 46  465	 46  465	 	 	 EXTGKR	 20110215	 070107	 SSCEXTCWU	 20170106	 072919
100	 0040001092	 000010	 	 N	 	 	 E	 SD document 40001092 is not in the database or has been archived	 	 00000000	 000000	 SSCEXTCWU	 20170107	 094910
100	 0040001105	 000000	 	 N	 	 	 E	 SD document 40001105 is not in the database or has been archived	 	 00000000	 000000	 SSCEXTCWU	 20170107	 094910
100	 0040001670	 000010	 	 N	 	 	 E	 SD document 40001670 is not in the database or has been archived	 	 00000000	 000000	 SSCEXTCWU	 20170107	 094910
100	 0040001889	 000010	 	 N	 	 	 E	 SD document 40001889 is not in the database or has been archived	 	 00000000	 000000	 SSCEXTCWU	 20170107	 094910
100	 0040001889	 000020	 	 N	 	 	 E	 SD document 40001889 is not in the database or has been archived	 	 00000000	 000000	 SSCEXTCWU	 20170107	 094910
