Visitour: Track the dynamic changes(FM ZCS_DYNAMIC_CHANGE)


MANDT	 CDATE	 CTIME	 CUSER	 VTID_I	 EXTID_I	 FUNCTIONCODE_I	 STATUS_I	 FMEXTID_I	 TERMIN_VON_I	 TERMIN_BIS_I	 PLANDAUER_I	 BESUCHSDAUER_I	 PLANANKUNFT_I	 INFOTEXT1_I	 INFOTEXT2_I	 EXTID_E	 RESULT_E	 INFOTEXT_E
X	 X	 X	 X	 X	 X	 	 	 	 	 	 	 	 	 	 	 	 	
MANDT-CLNT(3)	 DATS(8)	 TIMS(6)	 UNAME-CHAR(12)	 CHAR9-CHAR(9)	 CHAR30-CHAR(30)	 CHAR01-CHAR(1)	 CHAR02-CHAR(2)	 CHAR08-CHAR(8)	 CHAR(40)	 CHAR(40)	 CHAR04-CHAR(4)	 CHAR04-CHAR(4)	 CHAR(40)	 CHAR250-CHAR(250)	 CHAR250-CHAR(250)	 CHAR30-CHAR(30)	 CHAR01-CHAR(1)	 CHAR250-CHAR(250)
100	 20130625	 043937	 SSCEXTCWU	 ABC	 TEST	 2	 	 	 	 	 	 	 	 	 	 	 	
100	 20130625	 044344	 SSCEXTCWU	 ABC	 TEST	 2	 	 	 	 	 	 	 	 	 	 	 	
100	 20130625	 044345	 SSCEXTCWU	 ABC	 TEST	 2	 	 	 	 	 	 	 	 	 	 	 	
100	 20130625	 044346	 SSCEXTCWU	 ABC	 TEST	 2	 	 	 	 	 	 	 	 	 	 	 	
100	 20130626	 043627	 SSCEXTCWU	 VTID	 EXTID	 3	 6	 P_FME	 TERMV	 TERMB	 plan	 besu	 PLANA	 INFO1	 INFO2	 EXTID	 2	 Orderno is not available in SAP EXTID
100	 20130626	 043822	 SSCEXTCWU	 VTID	 EXTID	 3	 6	 P_FME	 TERMV	 TERMB	 plan	 besu	 PLANA	 INFO1	 INFO2	 EXTID	 2	 Orderno is not available in SAP EXTID
100	 20130626	 044439	 SSCEXTCWU	 VTID	 EXTID	 3	 6	 P_FME	 TERMV	 TERMB	 plan	 besu	 PLANA	 INFO1	 INFO2	 EXTID	 0	 Status 6 for order EXTID opreation  processed
100	 20130626	 044713	 SSCEXTCWU	 VTID	 EXTID	 3	 6	 P_FME	 TERMV	 TERMB	 plan	 besu	 PLANA	 INFO1	 INFO2	 EXTID	 2	 Orderno is not available in SAP EXTID
100	 20130626	 050019	 SSCEXTCWU	 VTID	 EXTID	 3	 6	 P_FME	 TERMV	 TERMB	 plan	 besu	 PLANA	 INFO1	 INFO2	 EXTID	 2	 Orderno is not available in SAP EXTID
