Generated Table for View YSE_V_EQUI


MANDT	 EQUNR	 ERDAT	 ERNAM	 EQASP	 AEDAT	 AENAM	 BEGRU	 EQTYP	 EQART	 LVORM	 INVNR	 GROES	 BRGEW	 GEWEI	 ANSDT	 ANSWT	 WAERS	 ELIEF	 GWLEN	 GWLDT	 WDBWT	 HERST	 HERLD	 HZEIN	 SERGE	 TYPBZ	 BAUJJ	 BAUMM	 APLKZ	 AULDT	 INBDT	 GERNR	 GWLDV	 EQDAT	 EQBER	 EQNUM	 OBJNR	 EQSNR	 CUOBJ	 KRFKZ	 KMATN	 MATNR	 SERNR	 WERK	 LAGER	 CHARGE	 KUNDE	 WARPL	 IMRC_POINT	 REVLV	 MGANR	 BEGRUI	 S_EQUI	 S_SERIAL	 S_KONFI	 S_SALE	 S_FHM	 S_ELSE	 S_ISU	 S_EQBS	 S_FLEET	 BSTVP	 SPARTE	 HANDLE	 TSEGTP	 EMATN	 ACT_CHANGE_AA	 S_CC	 DATLWB	 UII	 IUID_TYPE	 UII_PLANT	 EQEXT_ACTIVE	 EQUI_SRTYPE	 EQUI_SNTYPE	 EQLB_DUTY	 EQLB_HIDE	 DATBI	 EQLFN	 EQUZN	 TIMBI	 ESTAI	 ESTAE	 STNAM	 DATAB	 IWERK	 IWERKI	 SUBMT	 MAPAR	 HEQUI	 HEQNR	 INGRP	 INGRPI	 PM_OBJTY	 GEWRK	 GEWRKI	 TIDNR	 TIDNRI	 ILOAN	 KUND1	 KUND2	 KUND3	 LIZNR	 RBNR	 EZDAT	 EZBER	 EZNUM	 RBNR_I	 IBLNR	 BLDAT	 PVS_FOCUS	 PPEGUID	 TECHS	 FUNCID	 FRCFIT	 FRCRMV	 SPRAS	 EQKTX	 KZLTX	 TXASP	 EQKTU	 TPLNR	 ABCKZ	 ABCKZI	 EQFNR	 EQFNRI	 SWERK	 SWERKI	 STORT	 STORTI	 MSGRP	 MSGRPI	 BEBER	 BEBERI	 CR_OBJTY	 PPSID	 PPSIDI	 GSBER	 GSBERI	 KOKRS	 KOKRSI	 KOSTL	 KOSTLI	 PROID	 PROIDI	 BUKRS	 BUKRSI	 ANLNR	 ANLNRI	 ANLUN	 ANLUNI	 DAUFN	 DAUFNI	 AUFNR	 AUFNRI	 TPLNRI	 VKORG	 VKORGI	 VTWEG	 VTWEGI	 SPART	 SPARTI	 ADRNR	 ADRNRI	 OWNER	 VKBUR	 VKGRP	 LVORZ	 ERNAZ	 ERDAZ	 AENAZ	 AEDAZ	 PRDHA	 MATKL
X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
MANDT-CLNT(3)	 EQUNR-CHAR(18)	 DATUM-DATS(8)	 USNAM-CHAR(12)	 SPRAS-LANG(1)	 DATUM-DATS(8)	 USNAM-CHAR(12)	 IAUTG-CHAR(4)	 EQTYP-CHAR(1)	 EQART-CHAR(10)	 CHAR1-CHAR(1)	 INVNR_ANLA-CHAR(25)	 GROES-CHAR(18)	 MENG13-QUAN(13)	 MEINS-UNIT(3)	 DATUM-DATS(8)	 WERT-CURR(13)	 WAERS-CUKY(5)	 LIFNR-CHAR(10)	 DATUM-DATS(8)	 DATUM-DATS(8)	 WERT-CURR(13)	 TEXT30-CHAR(30)	 LAND1-CHAR(3)	 HZEIN-CHAR(30)	 CHAR30-CHAR(30)	 TYPBZ-CHAR(20)	 CJAHR-CHAR(4)	 BAUMM-CHAR(2)	 APLKZ-CHAR(1)	 DATUM-DATS(8)	 DATUM-DATS(8)	 GERNR-CHAR(18)	 DATUM-DATS(8)	 DATUM-DATS(8)	 CHAR30-CHAR(30)	 NUM9-NUMC(9)	 J_OBJNR-CHAR(22)	 EQSNR-CHAR(18)	 CUOBJ-NUMC(18)	 X-CHAR(1)	 MATNR-CHAR(18)	 MATNR-CHAR(18)	 GERNR-CHAR(18)	 WERKS-CHAR(4)	 LGORT-CHAR(4)	 CHARG-CHAR(10)	 KUNNR-CHAR(10)	 WARPL-CHAR(12)	 IMRC_POINT-CHAR(12)	 REVLV-CHAR(2)	 MGANR-CHAR(20)	 INHER-CHAR(1)	 X-CHAR(1)	 X-CHAR(1)	 XFELD-CHAR(1)	 XFELD-CHAR(1)	 XFLAG-CHAR(1)	 X-CHAR(1)	 X-CHAR(1)	 KZEQBS-CHAR(1)	 X-CHAR(1)	 BSTVP-CHAR(1)	 SPART-CHAR(2)	 SYSUUID_22-CHAR(22)	 TSEGTEMPLA-CHAR(10)	 MATNR-CHAR(18)	 AAPM_ACT-CHAR(1)	 X-CHAR(1)	 DATS-DATS(8)	 UII_CHAR72-CHAR(72)	 IUID_TYPE-CHAR(10)	 WERKS-CHAR(4)	 XFELD-CHAR(1)	 CHAR(10)	 QMART-CHAR(2)	 XFLAG-CHAR(1)	 XFLAG-CHAR(1)	 DATUM-DATS(8)	 NUM03-NUMC(3)	 NUM03-NUMC(3)	 ZEITBI-TIMS(6)	 CHAR1-CHAR(1)	 CHAR4-CHAR(4)	 CHAR12-CHAR(12)	 DATUM-DATS(8)	 WERKS-CHAR(4)	 INHER-CHAR(1)	 MATNR-CHAR(18)	 MAPAR-CHAR(30)	 EQUNR-CHAR(18)	 CHAR4-CHAR(4)	 INGRP-CHAR(3)	 INHER-CHAR(1)	 CR_OBJTY-CHAR(2)	 CR_OBJID-NUMC(8)	 INHER-CHAR(1)	 TIDNR-CHAR(25)	 INHER-CHAR(1)	 ILOAN-CHAR(12)	 KUNNR-CHAR(10)	 KUNNR-CHAR(10)	 KUNNR-CHAR(10)	 CHAR20-CHAR(20)	 RBNR-CHAR(9)	 DATUM-DATS(8)	 CHAR30-CHAR(30)	 NUM9-NUMC(9)	 INHER-CHAR(1)	 BELNR-CHAR(10)	 DATUM-DATS(8)	 SYSUUID-RAW(16)	 SYSUUID-RAW(16)	 TECHS-CHAR(12)	 CHAR40-CHAR(40)	 XCHAR-CHAR(1)	 XCHAR-CHAR(1)	 SPRAS-LANG(1)	 TEXT40-CHAR(40)	 XFELD-CHAR(1)	 CHAR1-CHAR(1)	 CHAR40-CHAR(40)	 TPLNR-CHAR(30)	 ABCKZ-CHAR(1)	 INHER-CHAR(1)	 CHAR30-CHAR(30)	 INHER-CHAR(1)	 WERKS-CHAR(4)	 INHER-CHAR(1)	 AP_STAND-CHAR(10)	 INHER-CHAR(1)	 CHAR8-CHAR(8)	 INHER-CHAR(1)	 BEBER-CHAR(3)	 INHER-CHAR(1)	 CR_OBJTY-CHAR(2)	 CR_OBJID-NUMC(8)	 INHER-CHAR(1)	 GSBER-CHAR(4)	 INHER-CHAR(1)	 CACCD-CHAR(4)	 INHER-CHAR(1)	 KOSTL-CHAR(10)	 INHER-CHAR(1)	 PS_POSNR-NUMC(8)	 INHER-CHAR(1)	 BUKRS-CHAR(4)	 INHER-CHAR(1)	 ANLN1-CHAR(12)	 INHER-CHAR(1)	 ANLN2-CHAR(4)	 INHER-CHAR(1)	 AUFNR-CHAR(12)	 INHER-CHAR(1)	 AUFNR-CHAR(12)	 INHER-CHAR(1)	 INHER-CHAR(1)	 VKORG-CHAR(4)	 INHER-CHAR(1)	 VTWEG-CHAR(2)	 INHER-CHAR(1)	 SPART-CHAR(2)	 INHER-CHAR(1)	 AD_ADDRNUM-CHAR(10)	 INHER-CHAR(1)	 ILOM_OWNER-CHAR(1)	 VKBUR-CHAR(4)	 VKGRP-CHAR(3)	 CHAR1-CHAR(1)	 USNAM-CHAR(12)	 DATUM-DATS(8)	 USNAM-CHAR(12)	 DATUM-DATS(8)	 PRODH-CHAR(18)	 MATKL-CHAR(9)
100	 000000000010000017	 20170407	 SSCEXTCWU	 E	 20170505	 SSPJAPR	 	 Z	 EQUIPMENT	 	 	 	 0.000 	 	 20170408	 0.00 	 	 	 00000000	 00000000	 0.00 	 	 	 	 	 	 	 	 	 00000000	 20160309	 	 00000000	 00000000	 !M!SE38  !604016!170407!SSCEXT	 000000000	 IE000000000010000017	 	 000000000000000000	 	 	 000000000000000002	 000000000000000004	 	 	 	 	 	 	 	 	 D	 X	 X	 	 X	 	 	 	 	 	 	 	 	 	 	 	 	 00000000	 	 	 	 	 	 	 	 	 99991231	 001	 001	 000000	 	 	 SSCEXTCWU	 20170407	 ADEA	 D	 000000000000000002	 	 	 	 	 D	 	 00000000	 D	 	 D	 000000002332	 	 	 	 	 	 00000000	 !V!IE02  !604016!170420!SSPJAP	 000000000	 D	 	 00000000	 00000000000000000000000000000000	 00000000000000000000000000000000	 	 	 	 	 E	 3	 	 X	 3	 	 	 D	 	 D	 AFRA	 D	 	 D	 	 D	 	 D	 	 00000000	 D	 	 D	 1000	 D	 	 D	 00000000	 D	 AFRA	 D	 	 D	 	 D	 	 D	 	 D	 	 	 D	 	 D	 	 D	 	 D	 	 	 	 	 SSCEXTCWU	 20170407	 SSPJAPR	 20170420	 60G 607	 01
100	 000000000010000018	 20170407	 SSCEXTCWU	 E	 20170505	 SSPJAPR	 	 Z	 EQUIPMENT	 	 	 	 0.000 	 	 20180407	 0.00 	 	 	 00000000	 00000000	 0.00 	 	 	 	 	 	 	 	 	 00000000	 20170307	 	 00000000	 00000000	 !M!SE38  !604016!170407!SSCEXT	 000000000	 IE000000000010000018	 	 000000000000000000	 	 	 000000000000000003	 000000000000000005	 	 	 	 	 	 	 	 	 D	 X	 X	 	 X	 	 	 	 	 	 	 	 	 	 	 	 	 00000000	 	 	 	 	 	 	 	 	 99991231	 001	 001	 000000	 	 	 SSCEXTCWU	 20170407	 ADEA	 D	 000000000000000003	 	 	 	 	 D	 	 00000000	 D	 	 D	 000000002333	 	 	 	 	 	 00000000	 !V!IE02  !604016!170420!SSPJAP	 000000000	 D	 	 00000000	 00000000000000000000000000000000	 00000000000000000000000000000000	 	 	 	 	 E	 4	 	 X	 4	 	 	 D	 	 D	 AFRA	 D	 	 D	 	 D	 	 D	 	 00000000	 D	 	 D	 1000	 D	 	 D	 00000000	 D	 AFRA	 D	 	 D	 	 D	 	 D	 	 D	 	 	 D	 	 D	 	 D	 	 D	 	 	 	 	 SSCEXTCWU	 20170407	 SSPJAPR	 20170420	 19L	
100	 000000000010000019	 20170407	 SSCEXTCWU	 E	 20170425	 SSPJAPR	 	 Z	 EQUIPMENT	 	 	 	 0.000 	 	 20180408	 0.00 	 	 	 00000000	 00000000	 0.00 	 	 	 	 	 	 	 	 	 00000000	 20170309	 	 00000000	 00000000	 !M!SE38  !604016!170407!SSCEXT	 000000000	 IE000000000010000019	 	 000000000000000000	 	 	 000000000000000004	 000000000000000006	 	 	 	 	 	 	 	 	 D	 X	 X	 	 X	 	 	 	 	 	 	 	 	 	 	 	 	 00000000	 	 	 	 	 	 	 	 	 99991231	 001	 001	 000000	 	 	 SSCEXTCWU	 20170407	 ADEA	 D	 000000000000000004	 	 	 	 	 D	 	 00000000	 D	 	 D	 000000002334	 	 	 	 	 	 00000000	 !V!IE02  !604016!170420!SSPJAP	 000000000	 D	 	 00000000	 00000000000000000000000000000000	 00000000000000000000000000000000	 	 	 	 	 E	 5	 	 X	 5	 	 	 D	 	 D	 IYAA	 D	 	 D	 	 D	 	 D	 	 00000000	 D	 	 D	 1000	 D	 	 D	 00000000	 D	 IYAA	 D	 	 D	 	 D	 	 D	 	 D	 	 	 D	 	 D	 	 D	 	 D	 	 	 	 	 SSCEXTCWU	 20170407	 SSPJAPR	 20170420	 17A 17A	
100	 000000000010000020	 20170407	 SSCEXTCWU	 E	 20170505	 SSPJAPR	 	 Z	 EQUIPMENT	 	 	 	 0.000 	 	 00000000	 0.00 	 	 	 00000000	 00000000	 0.00 	 	 	 	 	 	 	 	 	 00000000	 00000000	 	 00000000	 00000000	 !M!SE38  !604016!170407!SSCEXT	 000000000	 IE000000000010000020	 	 000000000000000000	 	 	 000000000000000123	 000000000000001234	 	 	 	 	 	 	 	 	 D	 X	 X	 	 X	 	 	 	 	 	 	 	 	 	 	 	 	 00000000	 	 	 	 	 	 	 	 	 99991231	 001	 001	 000000	 	 	 SSCEXTCWU	 20170407	 ADEA	 D	 000000000000000123	 	 	 	 	 D	 	 00000000	 D	 	 D	 000000002335	 	 	 	 	 	 00000000	 !V!IE02  !604016!170420!SSPJAP	 000000000	 D	 	 00000000	 00000000000000000000000000000000	 00000000000000000000000000000000	 	 	 	 	 E	 AG	 	 X	 AG	 	 	 D	 	 D	 AFRA	 D	 	 D	 	 D	 	 D	 	 00000000	 D	 	 D	 1000	 D	 	 D	 00000000	 D	 AFRA	 D	 	 D	 	 D	 	 D	 	 D	 	 	 D	 	 D	 	 D	 	 D	 	 	 	 	 SSCEXTCWU	 20170407	 SSPJAPR	 20170420	 	
100	 000000000010000016	 20141106	 ACTEXTSF	 E	 20170505	 SSPJAPR	 	 Z	 EQUIPMENT	 	 	 	 0.000 	 	 00000000	 0.00 	 	 	 00000000	 00000000	 0.00 	 	 	 	 	 	 	 	 	 00000000	 00000000	 	 00000000	 00000000	 !V!IE01  !604006!141106!ACTEXT	 000000000	 IE000000000010000016	 	 000000000000000000	 	 	 000000009753400126	 000000000000012345	 	 	 	 	 	 	 	 	 D	 X	 X	 	 X	 	 	 	 	 	 	 	 	 	 	 	 	 00000000	 	 	 	 	 	 	 	 	 99991231	 001	 001	 000000	 	 	 ACTEXTSF	 20141106	 PL01	 D	 	 	 	 	 Z01	 D	 	 00000000	 D	 	 D	 000000002322	 	 	 	 	 	 00000000	 !V!IE02  !470027!070214!AIR217	 000000000	 D	 	 00000000	 00000000000000000000000000000000	 00000000000000000000000000000000	 	 	 	 	 E	 SEED Test equipment	 	 X	 SEED TEST EQUIPMENT	 	 	 D	 	 D	 AFRA	 D	 	 D	 	 D	 	 D	 	 00000000	 D	 	 D	 1000	 D	 	 D	 00000000	 D	 AFRA	 D	 	 D	 	 D	 	 D	 	 D	 D	 PL01	 D	 11	 D	 01	 D	 	 D	 	 PL01	 A00	 	 ACTEXTSF	 20141106	 	 00000000	 46  465	 01
100	 000000000010000002	 20060615	 AIR21532	 E	 00000000	 	 	 Z	 	 	 	 	 0.000 	 	 00000000	 0.00 	 	 	 00000000	 00000000	 0.00 	 	 	 	 	 	 	 	 	 00000000	 00000000	 	 00000000	 00000000	 !V!IE01  !470024!060615!AIR215	 000000000	 IE000000000010000002	 	 000000000000000000	 	 	 000000010000100009	 AML300321	 	 	 	 	 	 	 	 	 D	 X	 X	 	 X	 	 	 	 	 	 	 	 	 	 	 	 	 00000000	 	 	 	 	 	 	 	 	 99991231	 001	 001	 000000	 1	 	 AIR21532	 20060615	 ESAA	 D	 	 	 	 	 Z01	 D	 	 00000000	 D	 	 D	 000000002222	 	 	 	 	 	 00000000	 	 000000000	 D	 	 00000000	 00000000000000000000000000000000	 00000000000000000000000000000000	 	 	 	 	 E	 	 	 X	 	 	 	 D	 	 D	 ESAA	 D	 	 D	 	 D	 	 D	 	 00000000	 D	 	 D	 1000	 D	 	 D	 00000000	 D	 ESAA	 D	 	 D	 	 D	 	 D	 	 D	 	 	 D	 	 D	 	 D	 	 D	 	 	 	 	 AIR21532	 20060615	 	 00000000	 8XX XXXX	 7450
100	 000000000010000005	 20070319	 AIR22217	 E	 20080218	 AIR14540	 	 Y	 EQUIPMENT	 	 	 	 0.000 	 	 00000000	 0.00 	 	 	 00000000	 00000000	 0.00 	 	 	 	 	 	 	 	 	 00000000	 00000000	 	 00000000	 00000000	 !V!IE01  !470027!070319!AIR222	 000000000	 IE000000000010000005	 	 000000000000000000	 	 	 000000010000100041	 AIP512286	 	 	 	 	 	 	 	 	 D	 X	 X	 	 X	 	 	 	 	 	 	 	 	 	 	 2	 	 00000000	 	 	 	 	 	 	 	 	 99991231	 001	 000	 000000	 1	 	 AIR22217	 20070319	 PL01	 D	 	 	 	 	 Z02	 D	 	 00000000	 D	 	 D	 000000002272	 	 	 	 	 	 00000000	 	 000000000	 D	 	 00000000	 00000000000000000000000000000000	 00000000000000000000000000000000	 	 	 	 	 E	 COMPRESSOR 2	 	 	 COMPRESSOR 2	 	 	 D	 	 D	 PL01	 D	 	 D	 	 D	 	 D	 	 00000000	 D	 	 D	 1000	 D	 	 D	 00000000	 D	 POLA	 D	 127100000000	 D	 0000	 D	 	 D	 	 D	 	 	 D	 	 D	 	 D	 	 D	 	 	 	 	 AIR22217	 20070319	 	 00000000	 8XX	 044Z
100	 000000000010000013	 20110202	 EXTSPT	 E	 20110202	 EXTRSN	 	 Z	 EQUIPMENT	 	 	 	 0.000 	 	 00000000	 0.00 	 	 	 00000000	 00000000	 0.00 	 	 	 	 	 	 	 	 	 00000000	 00000000	 	 00000000	 00000000	 !V!IE01  !604006!110202!EXTSPT	 000000000	 IE000000000010000013	 	 000000000000000000	 	 	 000000010001000000	 COD1308¡ì	 	 	 	 	 	 	 	 	 D	 X	 X	 	 X	 	 	 	 	 	 	 	 	 	 	 	 	 00000000	 	 	 	 	 	 	 	 	 99991231	 001	 001	 000000	 1	 	 EXTSPT	 20110202	 ADEA	 D	 	 	 	 	 Z30	 D	 A	 10000398	 D	 	 D	 000000002302	 	 	 	 	 	 00000000	 	 000000000	 D	 	 00000000	 00000000000000000000000000000000	 00000000000000000000000000000000	 	 	 	 	 E	 TEST BUG FIX CR 1922	 	 X	 TEST BUG FIX CR 1922	 	 	 D	 	 D	 ADEA	 D	 	 D	 	 D	 	 D	 	 00000000	 D	 	 D	 1000	 D	 	 D	 00000000	 D	 ADEA	 D	 	 D	 	 D	 	 D	 	 D	 	 ADEA	 D	 11	 D	 01	 D	 	 D	 	 	 	 	 EXTSPT	 20110202	 	 00000000	 8XX XXXX	 7450
