Generated Table for View ZBIW_0SD_TVZBT


MANDT	 SPRAS	 VTEXT	 ZTERM
X	 X	 X	 X
MANDT-CLNT(3)	 SPRAS-LANG(1)	 TEXT30-CHAR(30)	 ZTERM-CHAR(4)
100	 1	 	
100	 1	 	 0010
100	 1	 	 0011
100	 1	 	 0012
100	 1	 	 0014
100	 1	 	 0015
100	 1	 	 0016
100	 1	 	 0017
100	 1	 5 天内 3% 现金折扣	 IK00
100	 1	 16 天   2%, 31 净日	 LVT0
100	 1	 10 天   3%, 16  2%, 31 净	 MVT0
100	 1	 99 % 永远	 WALL
100	 1	 12 净日	 WL01
100	 1	 100%预付款	 Y000
100	 1	 发货即付	 Y001
100	 1	 30天期票	 YC30
100	 1	 60天期票	 YC60
100	 1	 发票后即付现金	 YCDA
100	 1	 发票后7天付款	 YD07
100	 1	 发票后14天付款	 YD14
100	 1	 发票后15天付款	 YD15
100	 1	 发票后365天付款	 YD1Y
100	 1	 发票后21天付款	 YD21
100	 1	 发票后30天付款	 YD30
100	 1	 发票35天付款	 YD35
100	 1	 发票后40天付款	 YD40
100	 1	 发票后45天付款	 YD45
100	 1	 发票后120天付款	 YD4M
100	 1	 发票后150天付款	 YD5M
100	 1	 发票后60天付款	 YD60
100	 1	 发票后180天付款	 YD6M
100	 1	 发票后75天付款	 YD75
100	 1	 发票后90天付款	 YD90
100	 1	 1月付款	 YE01
100	 1	 2月付款	 YE02
100	 1	 3月付款	 YE03
100	 1	 4月付款	 YE04
100	 1	 5月付款	 YE05
100	 1	 6月付款	 YE06
100	 1	 7月付款	 YE07
100	 1	 8月付款	 YE08
100	 1	 9月付款	 YE09
100	 1	 10月付款	 YE10
100	 1	 11月付款	 YE11
100	 1	 12月付款	 YE12
100	 1	 1年分期付款	 YIY1
100	 1	 即期信用证	 YL00
100	 1	 360天信用证	 YL1Y
100	 1	 30天信用证	 YL30
100	 1	 45天信用证	 YL45
100	 1	 120天信用证	 YL4M
100	 1	 60天信用证	 YL60
100	 1	 180天信用证	 YL6M
100	 1	 90天信用证	 YL90
100	 1	 发货后1个月付款(集团内部公司）	 YM01
100	 1	 发货后2个月付款(集团内部公司）	 YM02
100	 1	 发货后25天付款	 YM25
100	 1	 发货后45天付款	 YM45
100	 1	 发货后55天付款	 YM55
100	 1	 即期票据	 YP00
100	 1	 30天即期票据	 YP30
100	 1	 发票后即付款	 YPDA
100	 1	 发票后电汇付款	 YPTT
100	 1	 AM: Pay immediately	 Z000
100	 1	 AM: 30 days nett	 Z001
100	 1	 AM: 45 days nett	 Z002
100	 1	 AM: 60 days nett	 Z003
100	 1	 AM: 90 days nett	 Z004
100	 1	 AM: 14 days nett	 Z005
100	 1	 AM: 75 days nett	 Z006
100	 1	 AM: 120 days nett	 Z007
100	 1	 AM: 150 days nett	 Z008
100	 1	 AM: 180 days nett	 Z009
100	 1	 AM: 42 days nett	 Z010
100	 1	 AM: 20 days nett	 Z011
100	 1	 AM: 8 days nett	 Z012
100	 1	 AM: 10 days nett	 Z013
100	 1	 AM: 40 days nett	 Z014
100	 1	 AM: 15 days nett	 Z015
100	 1	 AM: 40 days nett	 Z016
100	 1	 立即付款无扣除	 ZB00
100	 1	 14 天   3%, 30/2%, 45 净	 ZB01
100	 1	 8 天   5%, 14/2%, 21 净	 ZB02
100	 1	 20 天   2%, 30 净日	 ZB03
100	 1	 AM: 20 Days,2% off 30 net	 ZB04
100	 1	 AM: 8 Days,2% off 30 net	 ZB05
100	 1	 AM: 14 Days,2%,30 net	 ZB06
100	 1	 AM: 45 Days,1%,60 due net	 ZB07
100	 1	 AM: 1% in 5 days, 30 days net	 ZB09
100	 1	 AM: 1% in 5 days, 40 days net	 ZB10
100	 1	 AM: 1% in 5 days, 60 days net	 ZB11
100	 1	 AM: 1% in 5 days, 90 days net	 ZB12
100	 1	 AM: 1% in 5 days, 30 days EOM	 ZB13
100	 1	 AM: 1% in 5 days, 40 days EOM	 ZB14
100	 1	 AM: 1% in 5 days, 60 days EOM	 ZB15
100	 1	 AM: 1% in 5 days, 90 days EOM	 ZB16
100	 1	 AM: 1% at delivery	 ZB17
100	 1	 AM: 1% at delivery1/3 order 1/	 ZB18
100	 1	 AM: 2% in 10 days, 30 days net	 ZB19
100	 1	 AM: 3% in 10 days, 30 days net	 ZB20
100	 1	 AM: 4% in 15 days	 ZB21
100	 1	 AM: 3% in 30 days, 60 days net	 ZB22
100	 1	 AM: 2% in 30 days, 90 days net	 ZB23
100	 1	 AM: 2% in 30 days, 60 days net	 ZB24
100	 1	 AM: 2% in 10 days, 60 days net	 ZB25
100	 1	 AM: 2% in 60 days, 75 days net	 ZB26
100	 1	 AM: 2% in 30 days	 ZB27
100	 1	 AM: 30/60 days nett	 ZB31
100	 1	 AM: 30/60/90 days nett	 ZB32
100	 1	 AM: 30/60/90/120 days nett	 ZB33
100	 1	 AM: 30/60/90/120/150 days nett	 ZB34
100	 1	 AM: 30/60/90/120/150/180 days	 ZB35
100	 1	 AM: 60/90 days nett	 ZB61
100	 1	 AM: 60/90/120 days nett	 ZB62
100	 1	 AM: 60/90/120/150 days nett	 ZB63
100	 1	 AM: 60/90/120/150/180 day nett	 ZB64
100	 1	 AM: 90/120 day nett	 ZB91
100	 1	 AM: 90/120/150 day nett	 ZB92
100	 1	 AM: 30 days nett-Direct debit	 ZD30
100	 1	 AM: EOM+30 days-Direct debit	 ZD31
100	 1	 AM: 60 days nett-Direct debit	 ZD60
100	 1	 AM: End of month + 20 days	 ZE20
100	 1	 AM: End of month + 25 days	 ZE25
100	 1	 AM: End of month + 30 days	 ZE30
100	 1	 AM: End of month + 40 days	 ZE40
100	 1	 AM: End of month + 45 days	 ZE45
100	 1	 AM: End of month + 55 days	 ZE55
100	 1	 AM: End of month + 60 days	 ZE60
100	 1	 AM: End of month + 75 days	 ZE75
100	 1	 AM: End of month + 90 days	 ZE90
100	 1	 AM: 30 days end of month	 ZF01
100	 1	 AM: 30 days EOM the 5th	 ZF02
100	 1	 AM: 30 days EOM the 10th	 ZF03
100	 1	 AM: 30 days EOM the 15th	 ZF04
100	 1	 AM: 30 days EOM the 20th	 ZF05
100	 1	 AM: 60 days end of month	 ZF06
100	 1	 AM: 60 days EOM the 5th	 ZF07
100	 1	 AM: 60 days EOM the 10th	 ZF08
100	 1	 AM: 60 days EOM the 15th	 ZF09
100	 1	 AM: 90 days EOM the 20th	 ZF10
100	 1	 AM: 90 days end of month	 ZF11
100	 1	 AM: 90 days EOM the 5th	 ZF12
100	 1	 AM: 90 days EOM the 10th	 ZF13
100	 1	 AM: 90 days EOM the 15th	 ZF14
100	 1	 AM: 90 days EOM the 20th	 ZF15
100	 1	 AM: Advance Paym - before delv	 ZP00
100	 1	 AM: Cash on Delivery	 ZP01
100	 1	 AM: AC Netting	 ZP02
100	 1	 AM: Special Terms	 ZP03
100	 1	 AM: CREDITNOTA	 ZP04
100	 1	 AM: Periodic Transfer	 ZP05
100	 1	 AM: Direct Debit	 ZP06
100	 1	 AM: Reimbursment	 ZP07
100	 D	 	
100	 E	 	
100	 E	 	 0010
100	 E	 	 0011
100	 E	 	 0012
100	 E	 	 0014
100	 E	 	 0015
100	 E	 	 0016
100	 E	 	 0017
100	 E	 Within 5 days 3% cash discount	 IK00
100	 E	 16 days 2%, 31 days net	 LVT0
100	 E	 10 days 3%, 16  2%, 31 net	 MVT0
100	 E	 99% forever	 WALL
100	 E	 12 days net	 WL01
100	 E	 Advance payment	 Y000
100	 E	 Immediately due	 Y001
100	 E	 100%DP, 0%BD, 0%AD	 Y010
100	 E	 50%DP, 50%BD, 0%AD	 Y011
100	 E	 30%DP, 70%BD, 0%AD	 Y012
100	 E	 20%DP, 80%BD, 0%AD	 Y013
100	 E	 10%DP, 90%BD, 0%AD	 Y014
100	 E	 50%DP, 40%BD, 10%AD, 15D Net	 Y015
100	 E	 30%DP, 60%BD, 10%AD, 30D Net	 Y016
100	 E	 20%DP, 70%BD, 10%AD, 15D Net	 Y017
100	 E	 10%DP, 80%BD, 10%AD, 15D Net	 Y018
100	 E	 50%DP, 30%BD, 20%AD, 15D Net	 Y019
100	 E	 40%DP, 40%BD, 20%AD, 15D Net	 Y020
100	 E	 30%DP, 50%BD, 20%AD, 15D Net	 Y021
100	 E	 20%DP, 60%BD, 20%AD, 15D Net	 Y022
100	 E	 10%DP, 70%BD, 20%AD, 15D Net	 Y023
100	 E	 50%DP, 20%BD, 30%AD, 15D Net	 Y024
100	 E	 0%DP, 0%BD, 100%AD, 15D Net	 Y025
100	 E	 10%DP, 0%BD, 90%AD, 15D Net	 Y026
100	 E	 30%DP, 0%BD, 70%AD, 30D Net	 Y027
