Relation Acct. Ass. group, valuation class and G/L account


MANDT	 KTOSL	 BWMOD	 KOMOK	 KTGRD	 BKLAS	 ZDATEFROM	 FKBER_LONG	 HKONT
X	 X	 X	 X	 X	 X	 X	 	
MANDT-CLNT(3)	 CHAR3-CHAR(3)	 CHAR4-CHAR(4)	 KOMOK-CHAR(3)	 KTGRD-CHAR(2)	 BKLAS-CHAR(4)	 CHAR(10)	 FKBER-CHAR(16)	 SAKNR-CHAR(10)
100	 GBB	 0001	 AUF	 Z1	 3040	 01.01.2017	 	 0004211901
100	 GBB	 0001	 AUF	 Z2	 *	 01.01.2017	 	 0004261901
100	 GBB	 0001	 AUF	 Z2	 3040	 01.01.2017	 	 0004261901
100	 GBB	 0001	 AUF	 Z2	 3060	 01.01.2017	 	 0004261901
100	 GBB	 0001	 AUF	 Z2	 7900	 01.01.2017	 	 0004010006
100	 GBB	 0001	 AUF	 Z2	 7920	 01.01.2017	 	 0004010006
100	 GBB	 0001	 AUF	 Z3	 *	 01.01.2017	 	 0004262901
100	 GBB	 0001	 AUF	 Z3	 3040	 01.01.2017	 	 0004262901
100	 GBB	 0001	 AUF	 Z3	 3060	 01.01.2017	 	 0004262901
100	 GBB	 0001	 AUF	 Z3	 7900	 01.01.2017	 	 0004010006
100	 GBB	 0001	 AUF	 Z3	 7920	 01.01.2017	 	 0004010006
100	 GBB	 0001	 AUF	 Z4	 *	 01.01.2017	 	 0004263901
100	 GBB	 0001	 AUF	 Z4	 3040	 01.01.2017	 	 0004263901
100	 GBB	 0001	 AUF	 Z4	 3060	 01.01.2017	 	 0004263901
100	 GBB	 0001	 AUF	 Z4	 7900	 01.01.2017	 	 0004010006
100	 GBB	 0001	 AUF	 Z4	 7920	 01.01.2017	 	 0004010006
100	 GBB	 0001	 VBR	 Z1	 3040	 01.01.2017	 	 0004211901
100	 GBB	 0001	 VBR	 Z2	 *	 01.01.2017	 	 0004261901
100	 GBB	 0001	 VBR	 Z2	 3040	 01.01.2017	 	 0004261901
100	 GBB	 0001	 VBR	 Z2	 3060	 01.01.2017	 	 0004261901
100	 GBB	 0001	 VBR	 Z2	 3070	 01.01.2017	 	 0005960901
100	 GBB	 0001	 VBR	 Z2	 3200	 01.01.2017	 	 0004602901
100	 GBB	 0001	 VBR	 Z2	 3210	 01.01.2017	 	 0004310909
100	 GBB	 0001	 VBR	 Z2	 3220	 01.01.2017	 	 0004310908
100	 GBB	 0001	 VBR	 Z2	 3230	 01.01.2017	 	 0004261901
100	 GBB	 0001	 VBR	 Z2	 7900	 01.01.2017	 	 0004261901
100	 GBB	 0001	 VBR	 Z2	 7920	 01.01.2017	 	 0004261901
100	 GBB	 0001	 VBR	 Z3	 *	 01.01.2017	 	 0004262901
100	 GBB	 0001	 VBR	 Z3	 3040	 01.01.2017	 	 0004262901
100	 GBB	 0001	 VBR	 Z3	 3060	 01.01.2017	 	 0004262901
100	 GBB	 0001	 VBR	 Z3	 3070	 01.01.2017	 	 0005960901
100	 GBB	 0001	 VBR	 Z3	 3200	 01.01.2017	 	 0004602901
100	 GBB	 0001	 VBR	 Z3	 3210	 01.01.2017	 	 0004310909
100	 GBB	 0001	 VBR	 Z3	 3220	 01.01.2017	 	 0004310908
100	 GBB	 0001	 VBR	 Z3	 3230	 01.01.2017	 	 0004262901
100	 GBB	 0001	 VBR	 Z3	 7900	 01.01.2017	 	 0004262901
100	 GBB	 0001	 VBR	 Z3	 7920	 01.01.2017	 	 0004262901
100	 GBB	 0001	 VBR	 Z4	 *	 01.01.2017	 	 0004263901
100	 GBB	 0001	 VBR	 Z4	 3040	 01.01.2017	 	 0004263901
100	 GBB	 0001	 VBR	 Z4	 3060	 01.01.2017	 	 0004263901
100	 GBB	 0001	 VBR	 Z4	 3070	 01.01.2017	 	 0005960901
100	 GBB	 0001	 VBR	 Z4	 3200	 01.01.2017	 	 0004602901
100	 GBB	 0001	 VBR	 Z4	 3210	 01.01.2017	 	 0004310909
100	 GBB	 0001	 VBR	 Z4	 3220	 01.01.2017	 	 0004310908
100	 GBB	 0001	 VBR	 Z4	 3230	 01.01.2017	 	 0004263901
100	 GBB	 0001	 VBR	 Z4	 7900	 01.01.2017	 	 0004263901
100	 GBB	 0001	 VBR	 Z4	 7920	 01.01.2017	 	 0004263901
100	 GBB	 0002	 AUF	 Z1	 3040	 01.01.2017	 	 0004211901
100	 GBB	 0002	 AUF	 Z2	 *	 01.01.2017	 	 0004261901
100	 GBB	 0002	 AUF	 Z2	 3040	 01.01.2017	 	 0004261901
100	 GBB	 0002	 AUF	 Z2	 3060	 01.01.2017	 	 0004261901
100	 GBB	 0002	 AUF	 Z2	 7900	 01.01.2017	 	 0004010006
100	 GBB	 0002	 AUF	 Z2	 7920	 01.01.2017	 	 0004010006
100	 GBB	 0002	 AUF	 Z3	 *	 01.01.2017	 	 0004262901
100	 GBB	 0002	 AUF	 Z3	 3040	 01.01.2017	 	 0004262901
100	 GBB	 0002	 AUF	 Z3	 3060	 01.01.2017	 	 0004262901
100	 GBB	 0002	 AUF	 Z3	 7900	 01.01.2017	 	 0004010006
100	 GBB	 0002	 AUF	 Z3	 7920	 01.01.2017	 	 0004010006
100	 GBB	 0002	 AUF	 Z4	 *	 01.01.2017	 	 0004263901
100	 GBB	 0002	 AUF	 Z4	 3040	 01.01.2017	 	 0004263901
100	 GBB	 0002	 AUF	 Z4	 3060	 01.01.2017	 	 0004263901
100	 GBB	 0002	 AUF	 Z4	 7900	 01.01.2017	 	 0004010006
100	 GBB	 0002	 AUF	 Z4	 7920	 01.01.2017	 	 0004010006
100	 GBB	 0002	 VBR	 Z1	 3040	 01.01.2017	 	 0004211901
100	 GBB	 0002	 VBR	 Z2	 *	 01.01.2017	 	 0004261901
100	 GBB	 0002	 VBR	 Z2	 3040	 01.01.2017	 	 0004261901
100	 GBB	 0002	 VBR	 Z2	 3060	 01.01.2017	 	 0004261901
100	 GBB	 0002	 VBR	 Z2	 3070	 01.01.2017	 	 0005960901
100	 GBB	 0002	 VBR	 Z2	 3200	 01.01.2017	 	 0004602901
100	 GBB	 0002	 VBR	 Z2	 3210	 01.01.2017	 	 0004310909
100	 GBB	 0002	 VBR	 Z2	 3220	 01.01.2017	 	 0004310908
100	 GBB	 0002	 VBR	 Z2	 3230	 01.01.2017	 	 0004261901
100	 GBB	 0002	 VBR	 Z2	 7900	 01.01.2017	 	 0004261901
100	 GBB	 0002	 VBR	 Z2	 7920	 01.01.2017	 	 0004261901
100	 GBB	 0002	 VBR	 Z3	 *	 01.01.2017	 	 0004262901
100	 GBB	 0002	 VBR	 Z3	 3040	 01.01.2017	 	 0004262901
100	 GBB	 0002	 VBR	 Z3	 3060	 01.01.2017	 	 0004262901
100	 GBB	 0002	 VBR	 Z3	 3070	 01.01.2017	 	 0005960901
100	 GBB	 0002	 VBR	 Z3	 3200	 01.01.2017	 	 0004602901
100	 GBB	 0002	 VBR	 Z3	 3210	 01.01.2017	 	 0004310909
100	 GBB	 0002	 VBR	 Z3	 3220	 01.01.2017	 	 0004310908
100	 GBB	 0002	 VBR	 Z3	 3230	 01.01.2017	 	 0004262901
100	 GBB	 0002	 VBR	 Z3	 7900	 01.01.2017	 	 0004262901
100	 GBB	 0002	 VBR	 Z3	 7920	 01.01.2017	 	 0004262901
100	 GBB	 0002	 VBR	 Z4	 *	 01.01.2017	 	 0004263901
100	 GBB	 0002	 VBR	 Z4	 3040	 01.01.2017	 	 0004263901
100	 GBB	 0002	 VBR	 Z4	 3060	 01.01.2017	 	 0004263901
100	 GBB	 0002	 VBR	 Z4	 3070	 01.01.2017	 	 0005960901
100	 GBB	 0002	 VBR	 Z4	 3200	 01.01.2017	 	 0004602901
100	 GBB	 0002	 VBR	 Z4	 3210	 01.01.2017	 	 0004310909
100	 GBB	 0002	 VBR	 Z4	 3220	 01.01.2017	 	 0004310908
100	 GBB	 0002	 VBR	 Z4	 3230	 01.01.2017	 	 0004263901
100	 GBB	 0002	 VBR	 Z4	 7900	 01.01.2017	 	 0004263901
100	 GBB	 0002	 VBR	 Z4	 7920	 01.01.2017	 	 0004263901
