Functional area derivation table


MANDT	 KTOPL	 ZVALIDFROM	 ZVALIDTO	 ZACCFROM	 ZACCTO	 ZFUNC_AREA
X	 X	 X	 X	 X	 X	
MANDT-CLNT(3)	 KTOPL-CHAR(4)	 TTE_DT_VALIDFR-DATS(8)	 DATS-DATS(8)	 SAKNR-CHAR(10)	 SAKNR-CHAR(10)	 FKBER-CHAR(16)
100	 SCOA	 20161101	 99991231	 0004010001	 0004010001	 41111
100	 SCOA	 20161101	 99991231	 0004010002	 0004010002	 41111
100	 SCOA	 20161101	 99991231	 0004010003	 0004010003	 41111
100	 SCOA	 20161101	 99991231	 0004010005	 0004010005	 41111
100	 SCOA	 20161101	 99991231	 0004010006	 0004010006	 41111
100	 SCOA	 20161101	 99991231	 0004010011	 0004010011	 41111
100	 SCOA	 20161101	 99991231	 0004010013	 0004010013	 41111
100	 SCOA	 20161101	 99991231	 0004010020	 0004010020	 41111
100	 SCOA	 20161101	 99991231	 0004010050	 0004010050	 41111
100	 SCOA	 20161101	 99991231	 0004010051	 0004010051	 41111
100	 SCOA	 20161101	 99991231	 0004010052	 0004010052	 41111
100	 SCOA	 20161101	 99991231	 0004010053	 0004010053	 41111
100	 SCOA	 20161101	 99991231	 0004010054	 0004010054	 41111
100	 SCOA	 20161101	 99991231	 0004010055	 0004010055	 41111
100	 SCOA	 20161101	 99991231	 0004010056	 0004010056	 41111
100	 SCOA	 20161101	 99991231	 0004010057	 0004010057	 41111
100	 SCOA	 20161101	 99991231	 0004010058	 0004010058	 41111
100	 SCOA	 20161101	 99991231	 0004010901	 0004010901	 41111
100	 SCOA	 20161101	 99991231	 0004010906	 0004010906	 41111
100	 SCOA	 20161101	 99991231	 0004010913	 0004010913	 41111
100	 SCOA	 20161101	 99991231	 0004010950	 0004010950	 41111
100	 SCOA	 20161101	 99991231	 0004010951	 0004010951	 41111
100	 SCOA	 20161101	 99991231	 0004010952	 0004010952	 41111
100	 SCOA	 20161101	 99991231	 0004010991	 0004010991	 41111
100	 SCOA	 20161101	 99991231	 0004010992	 0004010992	 41111
100	 SCOA	 20161101	 99991231	 0004010993	 0004010993	 41111
