FSAU: Maintain Master data field information


MANDT	 ZMODULE	 SUBMOD	 TABNAME	 FIELDNAME	 SEQUENCE
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 ZINF_FSA_MOD_NAME-CHAR(20)	 ZINFY_FSA_MODULE_NAME-CHAR(20)	 AS4TAB-CHAR(30)	 FDNAME-CHAR(30)	 NUMC3-NUMC(3)
100	 CS	 NOTIFICATIONS	 VIQMEL	 EQUNR	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 KUNUM	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 MATNR	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 SHN_FUNCT_LOC	 000
100	 CS	 ORDERS	 PMSDO	 MATNR	 000
100	 FI	 ACCOUNTING ENTRIES	 BKPF	 BLART	 001
100	 FI	 ACCOUNTING ENTRIES	 BKPF	 WAERS	 002
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 KUNNR	 003
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 LIFNR	 004
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 UMSKS	 005
100	 MM	 INBND_DEL	 LIPS	 MATNR	 001
100	 MM	 INBND_DEL	 LIPS	 WERKS	 002
100	 MM	 MATERIAL_MASTER	 MARA	 MATNR	 001
100	 MM	 MATERIAL_MASTER	 MARC	 EKGRP	 004
100	 MM	 MATERIAL_MASTER	 MARC	 LGPRO	 003
100	 MM	 MATERIAL_MASTER	 MARC	 WERKS	 002
100	 MM	 PHY_INV_COUNT	 ISEG	 MATNR	 001
100	 MM	 PHY_INV_COUNT	 ISEG	 WERKS	 002
100	 MM	 PURCHASE	 EKKO	 BUKRS	 003
100	 MM	 PURCHASE	 EKKO	 EKGRP	 006
100	 MM	 PURCHASE	 EKKO	 EKORG	 005
100	 MM	 PURCHASE	 EKKO	 LIFNR	 004
100	 MM	 PURCHASE	 EKPO	 MATNR	 001
100	 MM	 PURCHASE	 EKPO	 WERKS	 002
100	 MM	 PURCHASE_REQISITION	 EBAN	 BADAT	 002
100	 MM	 PURCHASE_REQISITION	 EBAN	 BSART	 001
100	 MM	 VENDOR_MASTER	 LFA1	 KTOKK	 001
100	 MM	 VENDOR_MASTER	 LFM1	 EKORG	 002
100	 MM	 WM_MVT_TYPES	 LTBK	 BWART	 001
100	 MM	 WM_MVT_TYPES	 LTBK	 BWLVS	 002
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 BAUTL	 002
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 BEQUI	 004
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 BTPLN	 003
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 EQUNR	 001
100	 PP	 BOM	 STKO	 STLNR	 002
100	 PP	 BOM	 STKO	 STLTY	 001
100	 PP	 CONTROL_KEYS	 PLPO	 PLNNR	 002
100	 PP	 CONTROL_KEYS	 PLPO	 PLNTY	 003
100	 PP	 CONTROL_KEYS	 PLPO	 WERKS	 001
100	 PP	 ORDER_TYPES	 CAUFV	 AUART	 001
100	 PP	 ORDER_TYPES	 CAUFV	 PLNNR	 002
100	 PP	 PP_PLNG_STRG	 MARA	 MATNR	 001
100	 PP	 PP_PLNG_STRG	 MARC	 DISMM	 004
100	 PP	 PP_PLNG_STRG	 MARC	 WERKS	 002
100	 PP	 REPETITIVE	 BLPK	 MATNR	 001
100	 PP	 REPETITIVE	 BLPK	 PRTNR	 003
100	 PP	 REPETITIVE	 BLPK	 VERID	 002
100	 PP	 REPETITIVE	 BLPK	 WERKS	 004
100	 PP	 ROUTING	 MAPL	 PLNNR	 001
100	 PP	 ROUTING	 MAPL	 PLNTY	 002
100	 PP	 WORKCENTER	 CRHD	 ARBPL	 001
100	 PP	 WORKCENTER	 CRHD	 WERKS	 002
100	 QM	 INSPECTION_PLAN	 PLKO	 PLNNR	 001
100	 QM	 INSPECTION_PLAN	 PLKO	 PLNTY	 002
100	 QM	 INSPECTION_PLAN	 PLKO	 WERKS	 003
100	 SD	 DELIVERY	 LIKP	 FKAIV	 000
100	 SD	 DELIVERY	 LIKP	 KUNAG	 000
100	 SD	 DELIVERY	 LIKP	 KUNNR	 000
100	 SD	 DELIVERY	 LIKP	 LFART	 000
100	 SD	 DELIVERY	 LIKP	 TCODE	 000
100	 SD	 DELIVERY	 LIKP	 VBTYP	 000
100	 SD	 DELIVERY	 LIKP	 VSTEL	 000
100	 SD	 DOC	 VBAK	 KUNNR	 010
100	 SD	 ORDERS	 VBAK	 KUNNR	 001
100	 SD	 SALES ORDER	 VBAK	 AUART	 000
100	 SD	 SALES ORDER	 VBAP	 MATNR	 000
100	 SD	 SALES ORDER	 VBAP	 PSTYV	 000
