FSAU: Maintain the Module Details


MANDT	 ZMODULE	 SUBMOD	 DESCRIPTION	 SELTABLE	 SELFIELD
X	 X	 X	 	 	
MANDT-CLNT(3)	 ZINF_FSA_MOD_NAME-CHAR(20)	 ZINFY_FSA_MODULE_NAME-CHAR(20)	 TEXT40-CHAR(40)	 AS4TAB-CHAR(30)	 FDNAME-CHAR(30)
100	 CO	 CE MSTR	 Cost Element Master	 CSKB	 ERSDA
100	 CO	 CO DOC	 CO Business Process	 COBK	 BUDAT
100	 CO	 CS MSTR	 Cost Center Master	 CSKS	 ERSDA
100	 CO	 IO MSTR	 IO MASTER	 COAS	 ERDAT
100	 CO	 PC MSTR	 PROFIT CENTER MASTER	 CEPC	 ERSDA
100	 CS	 CONFIRMATIONS	 Service Order Confirmations Analysis	 AFRU	 ERSDA
100	 CS	 EQUIPMENT	 Equipment Analysis	 ITOB	 ERDAT
100	 CS	 FUNCTIONAL_LOCATIONS	 Functional Locations Analysis	 IFLOT	 ERDAT
100	 CS	 MAINTENANCE_PLAN	 Maintenance Plan Analysis	 MPOS	 ERSDT
100	 CS	 MEASURING_POINT	 Measuring Point and Measuring Documents	 IMPTT	 ERDAT
100	 CS	 NOTIFICATIONS	 CS-CM-SN Maintenance Notifications	 VIQMEL	 ERDAT
100	 CS	 ORDERS	 CS-SE Service Orders	 AUFK	 ERDAT
100	 CS	 PARTNER_FLOC	 Partner in Functional Location	 IFLOT	 ERDAT
100	 CS	 SERVICE_CONTRACTS	 Service Contract Analysis	 VBAK	 ERDAT
100	 CS	 SERVICE_INQUIRY	 Service Inquiry Analysis	 VBAK	 ERDAT
100	 CS	 SERVICE_PRODUCTS	 Service Products Analysis	 VBAK	 ERDAT
100	 CS	 SERVICE_QUOTATION	 Service Quotation Analysis	 VBAK	 ERDAT
100	 CS	 SERVICE_SALES_ORDER	 Service Sales Order Analysis	 VBAK	 ERDAT
100	 CS	 TASK_LIST	 Task List Analysis	 MAPL	 ANDAT
100	 FI	 AA AC MSTR	 ASSET CLASSES	 ANKA	 ERDAT
100	 FI	 AA DOC	 Asset Business Process	 ANEP	 BZDAT
100	 FI	 AA MSTR	 ASSET Master	 ANLA	 ERDAT
100	 FI	 ACCOUNTING ENTRIES	 Accounting Entries	 BKPF	 BUDAT
100	 FI	 AP MSTR	 AP Master	 LFA1	 ERDAT
100	 FI	 AR MSTR	 AR Master	 KNA1	 ERDAT
100	 FI	 BANK MSTR	 BANK Master	 BNKA	 ERDAT
100	 FI	 DOC	 Document Type/Business Process	 BKPF	 BUDAT
100	 FI	 GL MSTR	 GL Master	 SKA1	 ERDAT
100	 MM	 GOODS_MVMNT	 Goods Movements	 MKPF	 BUDAT
100	 MM	 INBND_DEL	 Inbound Deliveries Analysis	 LIKP	 ERDAT
100	 MM	 INVOICE VERIFICATION	 Invoice verification	 RBKP	 BLDAT
100	 MM	 MATERIAL_MASTER	 Material Master Analysis	 MARA	 ERSDA
100	 MM	 PHY_INV_COUNT	 Physical Inventory Counting	 IKPF	 BUDAT
100	 MM	 PURCHASE	 Purchase Status	 EKKO	 BEDAT
100	 MM	 PURCHASE_REQISITION	 Purchase_Reqisition	 EBAN	 BADAT
100	 MM	 VENDOR_MASTER	 Vendor Master	 LFA1	 ERDAT
100	 MM	 WAREHOUSE_MGMT	 Ware House Management	 LTAK	 BDATU
100	 MM	 WM_MVT_TYPES	 Ware House Management Movement Types	 LQUA	 WDATU
100	 PM	 EQUIPMENT	 EQUIPMENT MASTERDATA	 EQUI	 ERDAT
100	 PM	 PM_NOTIFICATIONS	 PM Notification Analysis	 VIQMEL	 ERDAT
100	 PM	 PM_ORDERS	 PM Order Analysis	 CAUFV	 ERDAT
100	 PP	 BOM	 Bill of Material_types	 STKO	 ANDAT
100	 PP	 CONTROL_KEYS	 List of Control Keys	 PLPO	 ANDAT
100	 PP	 ORDER_TYPES	 Order Types	 CAUFV	 ERDAT
100	 PP	 PP_PLNG_STRG	 PP Planning Strategies	 MARA	 ERSDA
100	 PP	 REPETITIVE	 Repetitive Management	 BLPK	 BUDAT
100	 PP	 ROUTING	 Routing	 MAPL	 ANDAT
100	 PP	 S&OP	 Sales and Operations Planning	 T445P	 CDAT
100	 PP	 WORKCENTER	 Workcenter Analysis	 CRHD	 AEDAT_VORA
100	 PS	 MASTERDATA	 PS MASTERDATA	 PROJ	 ERDAT
100	 PS	 SCHEDULING	 Scheduling data	 	 PSTRT
100	 QM	 INSPECTION_PLAN	 Inspection Plan Analysis	 PLKO	 ANDAT
100	 QM	 INSPECTION_TYPE	 Inspection Type Analysis	 QALS	 ENSTEHDAT
100	 QM	 MASTER_INSP_CHAR	 Master Inspection Characteristics	 PLMK	 ERSTELLDAT
100	 QM	 NOTIFICATIONS	 Quality Notification Analysis	 VIQMEL	 ERDAT
100	 QM	 QM_MATERIALS	 Material Master Analysis - QM View	 MARA	 ERSDA
100	 QM	 QUALITY_CERTIFICATES	 Quality Certificates	 	
100	 SD	 BILLING	 Billing	 VBRK	 ERDAT
100	 SD	 CREDIT_MGMNT	 Credit Management	 KNKK	 ERDAT
100	 SD	 CUSTOMER_MASTER	 Customer Master Details	 KNVV	 ERDAT
100	 SD	 DELIVERY	 Delivery and Picking	 LIKP	 ERDAT
100	 SD	 DOC	 Doc analaysis	 VBAK	 ERDAT
100	 SD	 DOCUMENT FLOW	 Document Flow Analysis	 VBFA	 ERDAT
100	 SD	 ORDERS	 Order Analysis	 VBAK	 ERDAT
100	 SD	 PACKING	 Handling Unit Usage	 VEKP	 ERDAT
100	 SD	 SALES ORDER	 Sales Order & Invoicing	 VBAK	 ERDAT
100	 SD	 SCHEDULE LINE	 Schedule line analysis	 VBEP	 EDATU
100	 SD	 THIRD PARTY	 Third Party Order Processing	 VBAP	 ERDAT
