FSAU: Maintain Table Relationships


MANDT	 ZMODULE	 SUBMOD	 LTAB	 LFIELD	 RTAB	 RFIELD
X	 X	 X	 X	 X	 X	 X
MANDT-CLNT(3)	 ZINF_FSA_MOD_NAME-CHAR(20)	 ZINFY_FSA_MODULE_NAME-CHAR(20)	 AS4TAB-CHAR(30)	 FDNAME-CHAR(30)	 AS4TAB-CHAR(30)	 FDNAME-CHAR(30)
100	 CO	 CE MSTR	 CSKB	 KSTAR	 CSKU	 KSTAR
100	 CO	 CO DOC	 COBK	 BELNR	 COBK	 BELNR
100	 CO	 CS MSTR	 CSKS	 KOSTL	 CSKS	 KOSTL
100	 CO	 IO MSTR	 COAS	 AUFNR	 COAS	 AUFNR
100	 CO	 PC MSTR	 CEPC	 PRCTR	 CEPCT	 PRCTR
100	 CS	 CONFIRMATIONS	 AFRU	 RUECK	 AFRU	 RUECK
100	 CS	 EQUIPMENT	 ITOB	 EQUNR	 ITOB	 EQUNR
100	 CS	 FUNCTIONAL_LOCATIONS	 IFLOT	 TPLNR	 ILOA	 TPLNR
100	 CS	 MAINTENANCE_PLAN	 MPOS	 WARPL	 MPOS	 WARPL
100	 CS	 MEASURING_POINT	 IMPTT	 POINT	 IMRG	 POINT
100	 CS	 NOTIFICATIONS	 VIQMEL	 QMART	 VIQMEL	 QMART
100	 CS	 NOTIFICATIONS	 VIQMEL	 QMNUM	 VIQMEL	 QMNUM
100	 CS	 ORDERS	 AUFK	 OBJNR	 AFIH	 /ISDFPS/OBJNR
100	 CS	 ORDERS	 AUFK	 OBJNR	 PMSDO	 OBJNR
100	 CS	 PARTNER_FLOC	 IFLOT	 OBJNR	 IHPA	 OBJNR
100	 CS	 SERVICE_CONTRACTS	 VBAK	 VBELN	 VEDA	 VBELN
100	 CS	 SERVICE_INQUIRY	 VBAK	 VBELN	 VBAK	 VBELN
100	 CS	 SERVICE_PRODUCTS	 VBAK	 VBELN	 VBAP	 VBELN
100	 CS	 SERVICE_PRODUCTS	 VBAP	 MATNR	 MARA	 MATNR
100	 CS	 SERVICE_QUOTATION	 VBAK	 VBELN	 VBAK	 VBELN
100	 CS	 SERVICE_SALES_ORDER	 VBAK	 VBELN	 VBAK	 VBELN
100	 CS	 TASK_LIST	 PLKO	 PLNNR	 PLPO	 PLNNR
100	 CS	 TASK_LIST	 PLKO	 PLNTY	 MAPL	 PLNTY
100	 FI	 AA AC MSTR	 ANKA	 ANLKL	 ANKT	 ANLKL
100	 FI	 AA DOC	 BSEG	 BELNR	 BSEG	 BELNR
100	 FI	 AA MSTR	 ANLA	 ANLN1	 ANLA	 ANLN1
100	 FI	 ACCOUNTING ENTRIES	 BKPF	 BELNR	 BSEG	 BELNR
100	 FI	 AP MSTR	 LFA1	 LIFNR	 LFA1	 LIFNR
100	 FI	 AR MSTR	 KNA1	 KUNNR	 KNA1	 KUNNR
100	 FI	 BANK MSTR	 BNKA	 BANKL	 BNKA	 BANKL
100	 FI	 DOC	 BKPF	 BLART	 BKPF	 BLART
100	 FI	 GL MSTR	 SKA1	 SAKNR	 SKAT	 SAKNR
100	 MM	 GOODS_MVMNT	 MKPF	 BLART	 T003T	 BLART
