Input Table for SLA


ZRECTYPE	 ZCONTENTS	 ZFLAG
X	 X	
CHAR5-CHAR(5)	 CHAR40-CHAR(40)	 CHAR1-CHAR(1)
MONTH	                                      11	
TRANS	 !SE_FICO_AGEING_BALANCE_BUS_AR	 X
TRANS	 !TRAN0001	 X
TRANS	 /1BCDWB/DBD301T	 X
TRANS	 /SSA/NXS	 X
TRANS	 /SSF/SAO_UTILS	 X
TRANS	 0VTC	 X
TRANS	 AOCO	 X
TRANS	 AS01	 X
TRANS	 CR03	 X
TRANS	 DMEE1	 X
TRANS	 FB01	 X
TRANS	 FB02	 X
TRANS	 FB03	 X
TRANS	 FB50	 X
TRANS	 FB60	 X
TRANS	 FB70	 X
TRANS	 FBV1	 X
TRANS	 FBZ0	 X
TRANS	 FBZP	 X
TRANS	 FDTA	 X
TRANS	 FF_5	 X
TRANS	 FI12	 X
TRANS	 FK03	 X
TRANS	 GGB0	 X
TRANS	 GGB1	 X
TRANS	 IA05	 X
TRANS	 IE03	 X
TRANS	 IL02	 X
TRANS	 IL03	 X
TRANS	 IP03	 X
TRANS	 IQS3	 X
TRANS	 IW32	 X
TRANS	 IW33	 X
TRANS	 IW40	 X
TRANS	 IW41	 X
TRANS	 IW42	 X
TRANS	 IW43	 X
TRANS	 IW45	 X
TRANS	 IW51	 X
TRANS	 IW52	 X
TRANS	 IW53	 X
TRANS	 IW73	 X
TRANS	 KE33	 X
TRANS	 KP26	 X
TRANS	 MB03	 X
TRANS	 MB52	 X
TRANS	 MC21	 X
TRANS	 MCSI	 X
TRANS	 ME21N	 X
TRANS	 ME23N	 X
TRANS	 ME59N	 X
TRANS	 MIR4	 X
TRANS	 MK03	 X
TRANS	 MM02	 X
TRANS	 MM03	 X
TRANS	 MainMenu	 X
TRANS	 OBBH	 X
TRANS	 OBBZ	 X
TRANS	 OIOL	 X
TRANS	 OKEON	 X
TRANS	 OMSY	 X
TRANS	 OOCU	 X
TRANS	 OVF3	 X
TRANS	 OVRQ	 X
TRANS	 OX09	 X
TRANS	 PFCG	 X
TRANS	 RSA5	 X
TRANS	 RSABAPPROGRAM	 X
TRANS	 RSPO0040	 X
TRANS	 RSTPDAMAIN	 X
TRANS	 RSVRSRS1	 X
TRANS	 RSVRSRS3	 X
TRANS	 RS_TESTFRAME_CALL	 X
