Contract Configuration Characteristics


MANDT	 ATNAM
X	 X
MANDT-CLNT(3)	 ATNAM-CHAR(30)
100	 ZAM_CONTRACT_AARH
100	 ZAM_CONTRACT_CALLHORIZON
100	 ZAM_CONTRACT_CMF_AERH_AARH
100	 ZAM_CONTRACT_CONDTYPE
100	 ZAM_CONTRACT_FIRST
100	 ZAM_CONTRACT_FIRST_NUM
100	 ZAM_CONTRACT_FIXED_QTY_VISIT
100	 ZAM_CONTRACT_ITEM_PLANT
100	 ZAM_CONTRACT_LAUNCH_OUT_DATES
100	 ZAM_CONTRACT_MEASUR_TOLERANCE
100	 ZAM_CONTRACT_NUMBER_OF_VISITS
100	 ZAM_CONTRACT_PARTS_COST
100	 ZAM_CONTRACT_SECOND
100	 ZAM_CONTRACT_SECOND_PERIOD
