Generated Table for View Z_ZCS_LANGUAGE


SPRAS	 LASPEZ	 LAHQ	 LAISO
X	 	 	
SPRAS-LANG(1)	 LASPEZ-CHAR(1)	 LAHQ-CHAR(1)	 LAISO-CHAR(2)
0	 S	 0	 SR
1	 D	 0	 ZH
2	 M	 0	 TH
3	 D	 0	 KO
4	 S	 0	 RO
5	 S	 0	 SL
6	 S	 0	 HR
7	 S	 4	 MS
8	 S	 0	 UK
9	 S	 0	 ET
A	 L	 0	 AR
B	 L	 0	 HE
C	 S	 4	 CS
D	 S	 1	 DE
E	 S	 1	 EN
F	 S	 2	 FR
G	 S	 0	 EL
H	 S	 4	 HU
I	 S	 2	 IT
J	 D	 2	 JA
K	 S	 3	 DA
L	 S	 0	 PL
M	 D	 0	 ZF
N	 S	 2	 NL
O	 S	 3	 NO
P	 S	 4	 PT
Q	 S	 0	 SK
R	 S	 3	 RU
S	 S	 2	 ES
T	 S	 0	 TR
U	 S	 3	 FI
V	 S	 3	 SV
W	 S	 4	 BG
X	 S	 0	 LT
Y	 S	 0	 LV
Z	 S	 0	 Z1
a	 S	 0	 AF
b	 S	 0	 IS
c	 S	 4	 CA
d	 S	 4	 SH
i	 S	 0	 ID
