AM: Group Activity types for Confirmation


MANDT	 WERKS	 ZREPTP	 LEARR	 GRUND	 ZCOLNR	 ZCOLNR2	 ZCOLNR3	 ZCOLNR4	 ZCOLNR5
X	 X	 X	 X	 X	 	 	 	 	
Client	 Plant	 AM: Type of HR-report	 Activity Type for Confirmation	 Reason for Variance	 AM: Column number	 AM: Column number	 AM: Column number	 AM: Column number	 AM: Column number
MANDT-CLNT(3)	 WERKS-CHAR(4)	 CHAR50-CHAR(50)	 LSTAR-CHAR(6)	 CO_AGRND-CHAR(4)	 ZCHAR3-CHAR(3)	 ZCHAR3-CHAR(3)	 ZCHAR3-CHAR(3)	 ZCHAR3-CHAR(3)	 ZCHAR3-CHAR(3)
100	 ADEA	 TIME REPORT	 ZAM001	 	 005	 	 	 	
100	 ADEA	 TIME REPORT	 ZAM001	 0001	 006	 	 	 	
100	 ADEA	 TIME REPORT	 ZAM001	 0002	 007	 	 	 	
100	 ADEA	 TIME REPORT	 ZAM010	 	 001	 	 	 	
100	 ADEA	 TIME REPORT	 ZAM019	 	 004	 	 	 	
100	 ADEA	 TIME REPORT	 ZAM020	 	 002	 	 	 	
100	 ADEA	 TIME REPORT	 ZAM025	 	 008	 	 	 	
100	 ADEA	 TIME REPORT	 ZAM025	 0001	 009	 	 	 	
100	 ADEA	 TIME REPORT	 ZAM025	 0002	 010	 	 	 	
100	 ADEA	 TIME REPORT	 ZAM026	 	 003	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM001	 	 002	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM001	 0001	 002	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM001	 0002	 004	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM001	 0003	 006	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM001	 0004	 008	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM004	 	 001	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM004	 0002	 003	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM004	 0003	 005	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM004	 0004	 007	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM033	 	 020	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM033	 0002	 020	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM033	 0003	 020	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZAM033	 0004	 020	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP001	 	 011	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP002	 	 012	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP003	 	 013	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP004	 	 014	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP005	 	 015	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP006	 	 009	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP007	 	 010	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP008	 	 016	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP009	 	 017	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP010	 	 018	 	 	 	
100	 AFRA	 LEGAL TIME MANAGEMENT	 ZNP011	 	 019	 	 	 	
100	 AFRA	 PROD ON FSE LEVEL	 ZAM001	 	 001	 004	 016	 017	 018
100	 AFRA	 PROD ON FSE LEVEL	 ZAM001	 0001	 001	 004	 016	 017	 018
100	 AFRA	 PROD ON FSE LEVEL	 ZAM001	 0002	 001	 004	 016	 017	 018
100	 AFRA	 PROD ON FSE LEVEL	 ZAM001	 0003	 001	 004	 016	 017	 018
100	 AFRA	 PROD ON FSE LEVEL	 ZAM001	 0004	 001	 004	 016	 017	 018
100	 AFRA	 PROD ON FSE LEVEL	 ZAM004	 	 005	 	 016	 017	 018
100	 AFRA	 PROD ON FSE LEVEL	 ZAM004	 0001	 005	 	 016	 017	 018
100	 AFRA	 PROD ON FSE LEVEL	 ZAM004	 0002	 005	 	 016	 017	 018
