AM: Airpower Priority Code texts


MANDT	 SPRAS	 BUKRS	 ZZAPC	 DESCR
X	 X	 X	 X	
Client	 Language Key	 Company Code	 AM: Airpower Priority Code	 Description
MANDT-CLNT(3)	 SPRAS-LANG(1)	 BUKRS-CHAR(4)	 ZZAPC-CHAR(2)	 TEXT30-CHAR(30)
100	 1	 ADEA	 BD	 Breakdown
100	 1	 ADEA	 CB	 Customer Backorder
100	 1	 ADEA	 UR	 Urgent
100	 1	 AFRA	 BD	 Breakdown
100	 1	 AFRA	 CB	 Customer Backorder
100	 1	 AFRA	 UR	 Urgent
100	 1	 BGAA	 BD	 Breakdown
100	 1	 BGAA	 CB	 Customer Backorder
100	 1	 BGAA	 RG	 Returned Goods
100	 1	 BGAA	 SR	 Stock Replenishment
100	 1	 BGAA	 UR	 Urgent
100	 1	 CHAA	 BD	 Breakdown
100	 1	 CHAA	 CB	 Customer Backorder
100	 1	 CHAA	 HF	 Hirefleet (AIP machines only)
100	 1	 CHAA	 SR	 Stock Replenishment
100	 1	 CHAA	 UR	 Urgent
100	 1	 CJAL	 Z1	 Normal
100	 1	 CJAL	 Z2	 Urgent
100	 1	 CJAL	 Z3	 Breakdown
100	 1	 CJAL	 Z4	 Normal
100	 1	 CODA	 Z1	 Normal
100	 1	 CODA	 Z2	 Urgent
100	 1	 CODA	 Z3	 Breakdown
100	 1	 CODA	 Z4	 Normal
100	 1	 CONA	 Z1	 Normal
100	 1	 CONA	 Z2	 Urgent
100	 1	 CONA	 Z3	 Breakdown
100	 1	 CONA	 Z4	 Normal
100	 1	 CPRA	 BD	 Breakdown
100	 1	 CPRA	 CB	 Customer Backorder
100	 1	 CPRA	 UR	 Urgent
100	 1	 CQCA	 Z1	 Normal
100	 1	 CQCA	 Z2	 Urgent
100	 1	 CQCA	 Z3	 Breakdown
100	 1	 CQCA	 Z4	 Normal
100	 1	 CQZA	 Z1	 Normal
100	 1	 CQZA	 Z2	 Urgent
100	 1	 CQZA	 Z3	 Breakdown
100	 1	 CQZA	 Z4	 Normal
100	 1	 ESAA	 BD	 Breakdown
100	 1	 ESAA	 CB	 Customer DDD Backorder
100	 1	 ESAA	 SR	 Stock Replenishment
100	 1	 ESAA	 UR	 Urgent
100	 1	 GBAA	 BD	 Breakdown
100	 1	 GBAA	 CB	 Customer Backorder
100	 1	 GBAA	 UR	 Urgent
100	 1	 HKGA	 Z1	 Normal
100	 1	 HKGA	 Z2	 Urgent
100	 1	 HKGA	 Z3	 Breakdown
100	 1	 HKGA	 Z4	 Normal
100	 1	 HKKA	 Z1	 Normal
100	 1	 HKKA	 Z2	 Urgent
100	 1	 HKKA	 Z3	 Breakdown
100	 1	 HKKA	 Z4	 Normal
100	 1	 IYAA	 BD	 Breakdown
100	 1	 IYAA	 CB	 Customer Backorder
100	 1	 IYAA	 UR	 Urgent
100	 1	 MRUA	 Z1	 Normal
100	 1	 MRUA	 Z2	 Urgent
100	 1	 MRUA	 Z3	 Breakdown
100	 1	 MRUA	 Z4	 Normal
100	 1	 NLAA	 BD	 Breakdown
100	 1	 NLAA	 CB	 Customer Backorder
100	 1	 NLAA	 UR	 Urgent
100	 1	 NNAA	 BD	 Breakdown
100	 1	 NNAA	 CB	 Customer Backorder
100	 1	 NNAA	 UR	 Urgent
100	 1	 POLA	 Z1	 Normal
100	 1	 POLA	 Z2	 Urgent
100	 1	 POLA	 Z3	 Breakdown
100	 1	 POLA	 Z4	 Normal
100	 1	 RUPA	 Z1	 Normal
100	 1	 RUPA	 Z2	 Urgent
100	 1	 RUPA	 Z3	 Breakdown
100	 1	 RUPA	 Z4	 Normal
100	 1	 SHTA	 Z1	 Normal
100	 1	 SHTA	 Z2	 Urgent
100	 1	 SHTA	 Z3	 Breakdown
100	 1	 SHTA	 Z4	 Normal
100	 1	 SSCA	 Z1	 Normal
100	 1	 SSCA	 Z2	 Urgent
100	 1	 SSCA	 Z3	 Breakdown
100	 1	 SSCA	 Z4	 Normal
100	 1	 XRAA	 Z1	 Normal
100	 1	 XRAA	 Z2	 Urgent
100	 1	 XRAA	 Z3	 Breakdown
100	 1	 XRAA	 Z4	 Normal
100	 E	 ADEA	 BD	 Breakdown
100	 E	 ADEA	 CB	 Customer Backorder
100	 E	 ADEA	 SR	 Stock Replenishment
100	 E	 ADEA	 UR	 Urgent
100	 E	 AFRA	 BD	 Breakdown
100	 E	 AFRA	 CB	 Customer Backorder
100	 E	 AFRA	 UR	 Urgent
100	 E	 BGAA	 BD	 Breakdown
100	 E	 BGAA	 CB	 Customer Backorder
100	 E	 BGAA	 RG	 Returned Goods
100	 E	 BGAA	 SR	 Stock Replenishment
100	 E	 BGAA	 UR	 Urgent
100	 E	 CHAA	 BD	 Breakdown
100	 E	 CHAA	 CB	 Customer Backorder
100	 E	 CHAA	 HF	 Hirefleet (AIP machines only)
100	 E	 CHAA	 SR	 Stock Replenishment
100	 E	 CHAA	 UR	 Urgent
100	 E	 CJAL	 SO	 Service Order
100	 E	 CJAL	 Z1	 Normal
100	 E	 CJAL	 Z2	 Urgent
100	 E	 CJAL	 Z3	 Breakdown
100	 E	 CJAL	 Z4	 Pick Up
100	 E	 CODA	 Z1	 Normal
100	 E	 CODA	 Z2	 Urgent
100	 E	 CODA	 Z3	 Breakdown
100	 E	 CODA	 Z4	 Pick Up
100	 E	 CONA	 SO	 Service Order
100	 E	 CONA	 Z1	 Normal
100	 E	 CONA	 Z2	 Urgent
100	 E	 CONA	 Z3	 Breakdown
100	 E	 CONA	 Z4	 Pick Up
100	 E	 CPRA	 BD	 Breakdown
100	 E	 CPRA	 CB	 Customer Backorder
100	 E	 CPRA	 UR	 Urgent
100	 E	 CQCA	 SO	 Service Order
100	 E	 CQCA	 Z1	 Normal
100	 E	 CQCA	 Z2	 Urgent
100	 E	 CQCA	 Z3	 Breakdown
100	 E	 CQCA	 Z4	 Pick Up
100	 E	 CQZA	 SO	 Service Order
100	 E	 CQZA	 Z1	 Normal
100	 E	 CQZA	 Z2	 Urgent
100	 E	 CQZA	 Z3	 Breakdown
100	 E	 CQZA	 Z4	 Pick Up
100	 E	 ESAA	 BD	 Breakdown
100	 E	 ESAA	 CB	 Customer DDD Backorder
100	 E	 ESAA	 SR	 Stock Replenishment
100	 E	 ESAA	 UR	 Urgent
100	 E	 GBAA	 BD	 Breakdown
100	 E	 GBAA	 CB	 Customer Backorder
100	 E	 GBAA	 UR	 Urgent
100	 E	 HKGA	 Z1	 Normal
100	 E	 HKGA	 Z2	 Urgent
100	 E	 HKGA	 Z3	 Breakdown
100	 E	 HKGA	 Z4	 Pick Up
100	 E	 HKKA	 Z1	 Normal
100	 E	 HKKA	 Z2	 Urgent
100	 E	 HKKA	 Z3	 Breakdown
100	 E	 HKKA	 Z4	 Pick Up
100	 E	 IYAA	 BD	 Breakdown
100	 E	 IYAA	 CB	 Customer Backorder
100	 E	 IYAA	 UR	 Urgent
100	 E	 MRUA	 Z1	 Normal
100	 E	 MRUA	 Z2	 Urgent
100	 E	 MRUA	 Z3	 Breakdown
100	 E	 MRUA	 Z4	 Pick Up
100	 E	 NLAA	 BD	 Breakdown
100	 E	 NLAA	 CB	 Customer Backorder
100	 E	 NLAA	 UR	 Urgent
100	 E	 NNAA	 BD	 Breakdown
100	 E	 NNAA	 CB	 Customer Backorder
100	 E	 NNAA	 UR	 Urgent
100	 E	 POLA	 Z1	 Normal
100	 E	 POLA	 Z2	 Urgent
100	 E	 POLA	 Z3	 Breakdown
100	 E	 POLA	 Z4	 Pick Up
100	 E	 RUPA	 Z1	 Normal
100	 E	 RUPA	 Z2	 Urgent
100	 E	 RUPA	 Z3	 Breakdown
100	 E	 RUPA	 Z4	 Pick Up
100	 E	 SHTA	 SO	 Service Order
100	 E	 SHTA	 Z1	 Normal
100	 E	 SHTA	 Z2	 Urgent
100	 E	 SHTA	 Z3	 Breakdown
100	 E	 SHTA	 Z4	 Pick Up
100	 E	 SSCA	 Z1	 Normal
100	 E	 SSCA	 Z2	 Urgent
100	 E	 SSCA	 Z3	 Breakdown
100	 E	 SSCA	 Z4	 Pick Up
100	 E	 XRAA	 Z1	 Normal
100	 E	 XRAA	 Z2	 Urgent
100	 E	 XRAA	 Z3	 Breakdown
100	 E	 XRAA	 Z4	 Pick Up
100	 L	 ADEA	 BD	 Breakdown
100	 L	 ADEA	 CB	 Customer Backorder
100	 L	 ADEA	 UR	 Urgent
100	 L	 AFRA	 BD	 Breakdown
100	 L	 AFRA	 CB	 Customer Backorder
100	 L	 AFRA	 UR	 Urgent
100	 L	 BGAA	 BD	 Breakdown
100	 L	 BGAA	 CB	 Customer Backorder
100	 L	 BGAA	 RG	 Returned Goods
100	 L	 BGAA	 SR	 Stock Replenishment
100	 L	 BGAA	 UR	 Urgent
100	 L	 CHAA	 BD	 Breakdown
100	 L	 CHAA	 CB	 Customer Backorder
100	 L	 CHAA	 HF	 Stock Replenishment
100	 L	 CHAA	 SR	 Stock Replenishment
100	 L	 CHAA	 UR	 Urgent
100	 L	 CJAL	 Z1	 Breakdown
100	 L	 CJAL	 Z2	 Customer Backorder
100	 L	 CJAL	 Z3	 Urgent
100	 L	 CJAL	 Z4	 Breakdown
100	 L	 CODA	 Z1	 Breakdown
100	 L	 CODA	 Z2	 Customer Backorder
100	 L	 CODA	 Z3	 Urgent
100	 L	 CODA	 Z4	 Breakdown
100	 L	 CONA	 Z1	 Breakdown
100	 L	 CONA	 Z2	 Customer Backorder
100	 L	 CONA	 Z3	 Urgent
100	 L	 CONA	 Z4	 Breakdown
100	 L	 CPRA	 BD	 Breakdown
100	 L	 CPRA	 CB	 Customer Backorder
100	 L	 CPRA	 UR	 Urgent
100	 L	 CQCA	 Z1	 Breakdown
100	 L	 CQCA	 Z2	 Customer Backorder
100	 L	 CQCA	 Z3	 Urgent
100	 L	 CQCA	 Z4	 Breakdown
100	 L	 CQZA	 Z1	 Breakdown
100	 L	 CQZA	 Z2	 Customer Backorder
100	 L	 CQZA	 Z3	 Urgent
100	 L	 CQZA	 Z4	 Breakdown
100	 L	 GBAA	 BD	 Breakdown
100	 L	 GBAA	 CB	 Customer Backorder
100	 L	 GBAA	 UR	 Urgent
100	 L	 HKGA	 Z1	 Breakdown
100	 L	 HKGA	 Z2	 Customer Backorder
100	 L	 HKGA	 Z3	 Urgent
100	 L	 HKGA	 Z4	 Breakdown
100	 L	 HKKA	 Z1	 Breakdown
100	 L	 HKKA	 Z2	 Customer Backorder
100	 L	 HKKA	 Z3	 Urgent
100	 L	 HKKA	 Z4	 Breakdown
100	 L	 IYAA	 BD	 Breakdown
100	 L	 IYAA	 CB	 Customer Backorder
100	 L	 IYAA	 UR	 Urgent
100	 L	 MRUA	 Z1	 Breakdown
100	 L	 MRUA	 Z2	 Customer Backorder
100	 L	 MRUA	 Z3	 Urgent
100	 L	 MRUA	 Z4	 Breakdown
100	 L	 NLAA	 BD	 Breakdown
100	 L	 NLAA	 CB	 Customer Backorder
100	 L	 NLAA	 UR	 Urgent
100	 L	 NNAA	 BD	 Breakdown
100	 L	 NNAA	 CB	 Customer Backorder
100	 L	 NNAA	 UR	 Urgent
100	 L	 POLA	 Z1	 Breakdown
100	 L	 POLA	 Z2	 Customer Backorder
