AM: Order consistency checks per order type


MANDT	 AUART	 DUM_EQUI_ALL	 DUM_TPLNR_ALL	 VBELN_OBL	 AUTO_CA
X	 X	 	 	 	
Client	 Order Type	 AM: Dummy equipment allowed	 AM: Dummy Functional Location Allowed	 AM: Contract obligatory	 AM: Automatic operation allocation for components
MANDT-CLNT(3)	 AUFART-CHAR(4)	 YESNO-CHAR(1)	 YESNO-CHAR(1)	 YESNO-CHAR(1)	 FLAG-CHAR(1)
100	 ZAM1	 X	 X	 X	 X
100	 ZAM2	 X	 X	 X	 X
100	 ZSM1	 	 	 X	 X
100	 ZSM2	 	 	 	 X
100	 ZSM3	 	 	 X	 X
100	 ZSM4	 	 	 	 X
100	 ZSM5	 X	 X	 	
100	 ZSM6	 	 	 	 X
